timestamp,emg_value_sensor1,emg_value_sensor2
1732002470.8704405,61,109
1732002470.8705306,61,109
1732002470.8706143,59,122
1732002470.8706973,61,127
1732002470.8707895,60,129
1732002470.8708735,59,124
1732002470.8709662,57,138
1732002470.8710608,56,138
1732002470.87118,56,148
1732002470.871272,57,151
1732002470.871364,56,154
1732002470.8714676,55,148
1732002470.8715615,55,145
1732002470.8716533,55,131
1732002470.8717444,57,125
1732002470.8718374,56,129
1732002470.8719282,59,139
1732002470.8720171,59,147
1732002470.8721035,59,150
1732002470.8722625,60,150
1732002470.8724134,59,136
1732002470.8725538,60,128
1732002470.8726969,60,127
1732002470.8728857,60,115
1732002470.873028,60,124
1732002470.8731847,60,121
1732002470.873327,59,134
1732002470.873461,60,153
1732002470.873585,62,136
1732002470.8737097,61,126
1732002470.8738368,60,152
1732002470.8739603,60,135
1732002470.8740838,60,119
1732002470.8742385,59,117
1732002470.87436,59,130
1732002470.8744743,60,119
1732002470.8745866,59,111
1732002470.874701,58,106
1732002470.8748143,58,107
1732002470.8748772,61,95
1732002470.875093,63,93
1732002470.875315,62,102
1732002470.8753877,61,123
1732002470.8754566,60,113
1732002470.8755248,59,101
1732002470.875586,58,98
1732002470.8756464,58,96
1732002470.8757148,59,109
1732002470.875783,60,100
1732002470.8758435,59,91
1732002470.8759112,58,115
1732002470.8759804,58,131
1732002470.876048,60,119
1732002470.876127,60,106
1732002470.8761966,60,111
1732002470.876264,61,107
1732002470.8763309,64,125
1732002470.8763993,65,125
1732002470.8764617,63,115
1732002470.8765242,63,122
1732002470.876586,63,124
1732002470.8766482,61,111
1732002470.8767107,60,121
1732002470.876773,60,128
1732002470.8768356,60,130
1732002470.876899,62,125
1732002470.8769612,63,119
1732002470.8770232,61,147
1732002470.8770895,63,138
1732002470.877164,62,122
1732002470.8772311,61,108
1732002470.8772988,61,111
1732002470.8773663,60,120
1732002470.877435,59,114
1732002470.8775022,58,104
1732002470.8775709,58,119
1732002470.87764,58,113
1732002470.8777142,58,118
1732002470.8777835,58,110
1732002470.8778503,57,111
1732002470.8779197,57,110
1732002470.8779888,59,101
1732002470.8780499,58,95
1732002470.8781273,58,101
1732002470.8781965,57,115
1732002470.8782637,55,133
1732002470.878332,54,135
1732002470.8783994,54,144
1732002470.878468,55,156
1732002470.8785355,55,150
1732002470.878604,55,132
1732002470.8786721,55,131
1732002470.8787405,57,136
1732002470.8788083,57,137
1732002470.8788762,56,125
1732002470.8789442,55,137
1732002470.8790128,55,132
1732002470.8790815,54,118
1732002470.8791578,54,112
1732002470.8792274,55,118
1732002470.8792965,56,120
1732002470.879365,56,106
1732002470.8794332,55,101
1732002470.8794932,57,94
1732002470.879562,57,89
1732002470.879623,58,84
1732002470.8796828,58,84
1732002470.8830664,60,94
1732002470.9130476,59,108
1732002470.9131844,62,108
1732002470.9132872,67,97
1732002471.0625255,66,117
1732002471.062667,66,132
1732002471.0628016,66,119
1732002471.062934,63,106
1732002471.0630665,63,110
1732002471.0632184,62,130
1732002471.0633516,62,140
1732002471.063484,62,151
1732002471.0636163,59,149
1732002471.0637496,59,152
1732002471.0638938,61,142
1732002471.0640397,59,127
1732002471.0642076,58,113
1732002471.0643518,59,110
1732002471.0644972,60,110
1732002471.2137127,58,133
1732002471.213856,58,131
1732002471.2139914,57,125
1732002471.2141552,57,135
1732002471.2142892,56,133
1732002471.2144213,56,120
1732002471.2145545,56,111
1732002471.2146873,56,107
1732002471.2148185,60,109
1732002471.214945,61,108
1732002471.2150657,62,115
1732002471.215197,62,110
1732002471.2153182,63,110
1732002471.2154398,62,103
1732002471.2155476,61,98
1732002471.3630826,61,115
1732002471.363245,61,113
1732002471.36337,63,106
1732002471.363492,61,113
1732002471.3636155,61,126
1732002471.3637419,61,123
1732002471.363876,61,111
1732002471.3640094,60,108
1732002471.3641589,59,135
1732002471.364293,61,134
1732002471.364427,59,123
1732002471.3645608,58,117
1732002471.3646946,59,139
1732002471.364827,59,141
1732002471.364951,57,124
1732002471.513386,56,121
1732002471.513517,56,116
1732002471.5136406,56,118
1732002471.5137632,60,104
1732002471.5138848,59,105
1732002471.5140116,59,122
1732002471.514169,59,117
1732002471.514302,59,119
1732002471.5144343,60,130
1732002471.5145676,58,118
1732002471.5147007,58,115
1732002471.5148315,58,111
1732002471.5149534,62,115
1732002471.5150738,63,107
1732002471.515206,61,102
1732002471.5238817,60,98
1732002471.5339713,59,90
1732002471.543836,60,81
1732002471.5538294,61,84
1732002471.6240559,60,108
1732002471.6241531,59,119
1732002471.6242242,57,118
1732002471.6242933,56,115
1732002471.6243618,55,109
1732002471.6244304,58,100
1732002471.6244924,57,89
1732002471.633856,56,85
1732002471.643821,55,82
1732002471.653846,55,85
1732002471.7039769,58,113
1732002471.7040195,59,114
1732002471.7040546,58,108
1732002471.7040894,57,106
1732002471.7041261,56,99
1732002471.7139735,57,92
1732002471.7240098,60,94
1732002471.7339494,59,89
1732002471.8043504,58,120
1732002471.8044531,58,118
1732002471.8045483,56,119
