timestamp,emg_value_sensor1,emg_value_sensor2
1731999741.1396766,61,16
1731999741.139735,63,16
1731999741.1397872,65,16
1731999741.1398394,64,16
1731999741.1398919,64,16
1731999741.1399431,63,16
1731999741.1399934,63,16
1731999741.1400526,62,16
1731999741.1401231,61,16
1731999741.14018,61,16
1731999741.1402354,61,16
1731999741.14029,63,16
1731999741.1403446,63,16
1731999741.1403997,64,16
1731999741.1404538,65,16
1731999741.1405084,64,16
1731999741.1405628,64,16
1731999741.140619,64,16
1731999741.1406734,63,16
1731999741.1407278,62,16
1731999741.1407819,62,16
1731999741.1408374,62,16
1731999741.140887,63,15
1731999741.1409388,63,16
1731999741.1409879,64,16
1731999741.1410384,64,16
1731999741.1410885,64,16
1731999741.141147,65,16
1731999741.141199,65,16
1731999741.1412494,66,16
1731999741.1413,66,16
1731999741.1413505,66,16
1731999741.141401,67,16
1731999741.141452,67,16
1731999741.1415024,67,16
1731999741.1415527,67,16
1731999741.1416032,66,16
1731999741.1416538,66,16
1731999741.141704,65,16
1731999741.1417542,64,16
1731999741.141806,64,16
1731999741.1418564,63,16
1731999741.141907,65,16
1731999741.141958,65,16
1731999741.142005,65,16
1731999741.1420517,65,16
1731999741.1420991,65,16
1731999741.1421516,65,16
1731999741.1421983,65,16
1731999741.1422455,65,16
1731999741.1422935,66,16
1731999741.1423407,65,16
1731999741.142388,65,16
1731999741.1424356,64,16
1731999741.1424828,65,16
1731999741.1425288,65,16
1731999741.142576,65,16
1731999741.1426227,66,16
1731999741.1426697,65,16
1731999741.142717,64,16
1731999741.1427646,64,16
1731999741.1428115,63,16
1731999741.1428587,63,16
1731999741.1429062,63,16
1731999741.1429534,62,16
1731999741.143003,61,16
1731999741.1430497,61,16
1731999741.1430943,62,16
1731999741.143143,60,16
1731999741.1431863,59,16
1731999741.1432295,60,16
1731999741.143273,60,16
1731999741.143317,59,16
1731999741.1433606,60,16
1731999741.1434042,60,16
1731999741.143449,60,16
1731999741.1434934,61,16
1731999741.143538,62,16
1731999741.1435814,62,16
1731999741.1436255,62,16
1731999741.143669,62,16
1731999741.143713,61,16
1731999741.1437573,62,16
1731999741.1438007,62,16
1731999741.1438441,64,16
1731999741.1438854,64,16
1731999741.1439269,64,16
1731999741.1439688,65,16
1731999741.1440105,65,16
1731999741.144052,65,16
1731999741.144093,65,16
1731999741.1441386,66,16
1731999741.14418,66,16
1731999741.1442227,66,16
1731999741.144264,69,16
1731999741.1443052,69,16
1731999741.144346,69,16
1731999741.1443875,71,16
1731999741.1444285,69,16
1731999741.1444702,68,16
1731999741.1449015,67,16
1731999741.1549919,65,16
1731999741.1649444,64,16
1731999741.1750183,64,16
1731999741.185094,63,16
1731999741.1951854,63,16
1731999741.2050982,63,16
1731999741.2151837,62,16
1731999741.225309,63,16
1731999741.2355053,63,16
1731999741.2451665,63,16
1731999741.2552357,65,16
1731999741.2652266,66,16
1731999741.275232,66,16
1731999741.2852924,66,16
1731999741.2952843,67,16
1731999741.3051648,67,16
1731999741.3153443,68,16
1731999741.3250115,68,16
1731999741.3350527,68,16
1731999741.3451378,69,16
1731999741.355278,70,16
1731999741.3654602,70,16
1731999741.3755212,71,16
1731999741.385439,71,16
1731999741.3954527,72,16
1731999741.4054687,72,16
1731999741.4154,71,16
1731999741.4255052,70,16
1731999741.4354901,70,16
1731999741.4455643,72,16
1731999741.4555757,72,16
1731999741.4654946,72,16
1731999741.4755054,71,16
1731999741.4856553,71,16
1731999741.4955938,70,16
1731999741.505465,70,16
1731999741.515476,71,16
1731999741.5254576,70,16
1731999741.535585,70,16
1731999741.5454416,69,16
1731999741.5555627,70,16
1731999741.5654979,70,16
1731999741.5756006,69,16
1731999741.5856805,69,16
1731999741.5956292,70,16
1731999741.6055613,70,16
1731999741.6156075,70,16
1731999741.6256402,70,16
1731999741.6356714,68,16
1731999741.6456172,69,16
1731999741.655729,68,16
1731999741.6657794,68,16
1731999741.6758018,67,16
1731999741.685836,66,16
1731999741.6956844,67,16
1731999741.7057648,67,16
1731999741.7158,67,16
1731999741.7258995,65,16
1731999741.7358892,65,16
1731999741.7459567,65,16
1731999741.7560444,65,16
1731999741.7660334,64,16
1731999741.7760782,63,16
1731999741.7862163,62,16
1731999741.796261,62,16
1731999741.806057,61,16
1731999741.8161829,61,16
1731999741.826064,61,16
1731999741.8360503,60,16
1731999741.8460286,60,16
1731999741.8560798,59,16
1731999741.8660939,60,16
1731999741.8760922,60,16
1731999741.8862083,60,16
1731999741.896186,59,16
1731999741.9062436,60,15
1731999741.9163437,60,16
1731999741.9261277,60,16
1731999741.9362001,59,16
1731999741.9461782,59,16
1731999741.9561994,60,15
1731999741.9662154,59,16
1731999741.9761767,59,16
1731999741.9864552,59,16
1731999741.9963741,59,15
1731999742.0063605,59,16
1731999742.016515,60,16
1731999742.0266333,59,16
1731999742.0365906,59,16
1731999742.0466876,59,16
1731999742.0566254,59,16
1731999742.066689,58,16
1731999742.0766792,59,16
1731999742.0866966,60,16
1731999742.0965097,59,16
1731999742.106574,59,16
1731999742.1167512,58,16
1731999742.1268017,58,16
1731999742.1366744,59,16
1731999742.1468158,59,16
1731999742.156696,59,16
1731999742.1666598,59,16
1731999742.176548,60,16
1731999742.1868472,61,16
1731999742.1968014,61,16
1731999742.2066007,61,16
1731999742.2166543,61,16
1731999742.2265956,60,16
1731999742.2367377,61,16
1731999742.2468972,61,16
1731999742.2568922,61,16
1731999742.2669442,61,16
1731999742.276972,60,16
1731999742.286884,60,16
1731999742.2970736,59,16
1731999742.3069952,60,16
1731999742.3174376,59,16
1731999742.3267534,60,16
1731999742.33677,61,16
1731999742.34683,62,16
1731999742.356895,60,16
1731999742.3668342,62,16
1731999742.3768914,63,16
1731999742.386888,63,16
1731999742.3969824,63,16
1731999742.407009,62,16
1731999742.4172554,62,16
1731999742.427139,63,16
1731999742.4370735,62,16
1731999742.4470716,62,16
1731999742.4570234,61,16
1731999742.4669485,62,16
1731999742.47697,61,16
1731999742.4870925,60,16
1731999742.4970534,60,16
1731999742.5070689,59,16
1731999742.5173585,60,16
1731999742.52721,61,16
1731999742.537194,61,16
1731999742.547132,61,16
1731999742.5572414,60,16
1731999742.5671937,61,16
1731999742.577134,61,16
1731999742.5873456,62,16
1731999742.597221,62,16
1731999742.6073465,64,16
1731999742.6174161,65,16
1731999742.627533,65,16
1731999742.63755,65,16
1731999742.6476264,65,16
1731999742.6573806,66,16
1731999742.6675265,65,16
1731999742.677554,65,16
1731999742.6875398,64,16
1731999742.6975288,66,16
1731999742.7076325,66,16
