timestamp,emg_value_sensor1,emg_value_sensor2
1732002038.8397496,71,119
1732002038.8398108,70,133
1732002038.8398678,69,128
1732002038.8399305,69,118
1732002038.8399878,68,128
1732002038.8400447,67,126
1732002038.8401015,69,118
1732002038.8401785,68,140
1732002038.840235,66,167
1732002038.840291,69,153
1732002038.8403482,69,139
1732002038.8404005,67,128
1732002038.8404524,66,124
1732002038.8405051,67,132
1732002038.840557,69,142
1732002038.840609,70,147
1732002038.8406608,68,151
1732002038.8407133,66,151
1732002038.8407652,70,135
1732002038.8408194,70,158
1732002038.8408713,70,182
1732002038.840923,71,180
1732002038.8409746,72,168
1732002038.841026,70,147
1732002038.8410776,68,135
1732002038.841133,69,135
1732002038.8411825,66,128
1732002038.8412313,67,119
1732002038.8412797,65,110
1732002038.8413281,73,108
1732002038.8413763,81,112
1732002038.8414247,78,143
1732002038.8414733,75,190
1732002038.8415222,72,224
1732002038.8415701,69,215
1732002038.8416178,71,192
1732002038.8416667,75,189
1732002038.841715,76,189
1732002038.8417633,79,188
1732002038.8418114,76,177
1732002038.8418596,73,166
1732002038.841908,70,151
1732002038.8419564,68,151
1732002038.8420043,68,158
1732002038.8420525,67,161
1732002038.8421047,64,159
1732002038.8421648,63,149
1732002038.8422115,73,139
1732002038.8422573,75,143
1732002038.8423018,72,185
1732002038.8423471,69,177
1732002038.8423927,68,169
1732002038.842438,70,220
1732002038.8424845,67,198
1732002038.84253,68,176
1732002038.842575,66,164
1732002038.842621,75,167
1732002038.842667,84,180
1732002038.8427122,80,165
1732002038.8427572,76,159
1732002038.8428023,73,145
1732002038.8428466,75,171
1732002038.8428917,75,175
1732002038.842938,71,174
1732002038.8429835,70,177
1732002038.8430302,71,173
1732002038.843076,71,155
1732002038.843129,70,138
1732002038.8431747,73,146
1732002038.84322,78,148
1732002038.8432655,77,143
1732002038.8433104,74,163
1732002038.843353,75,185
1732002038.8433964,73,168
1732002038.8434393,72,152
1732002038.8434823,69,135
1732002038.8435256,70,149
1732002038.8435717,69,190
1732002038.843615,68,170
1732002038.8436584,70,156
1732002038.8437018,80,155
1732002038.8437445,78,150
1732002038.8437872,75,144
1732002038.8438303,72,161
1732002038.843874,77,153
1732002038.8439167,81,139
1732002038.8439593,79,137
1732002038.8440025,75,128
1732002038.8440454,75,118
1732002038.844088,74,106
1732002038.844137,76,125
1732002038.84418,75,139
1732002038.8442235,73,150
1732002038.8442674,72,175
1732002038.8443103,69,181
1732002038.8443527,66,189
1732002038.8443959,65,193
1732002038.8444388,65,188
1732002038.8444815,63,175
1732002038.8445244,76,161
1732002038.8445673,81,188
1732002038.84461,78,172
1732002038.8446531,75,161
1732002038.8446958,73,148
1732002038.8447394,70,140
1732002038.8940988,68,124
1732002038.8941982,66,119
1732002038.894272,65,130
1732002038.8943458,72,126
1732002038.894423,76,125
1732002038.8944955,74,113
1732002038.8945677,72,125
1732002038.8946412,69,138
1732002038.894714,67,137
1732002038.8947866,69,135
1732002038.8948667,72,129
1732002038.8949392,72,132
1732002038.8950117,69,123
1732002038.8950834,67,115
1732002038.895163,64,109
1732002039.044446,63,107
1732002039.0445204,63,139
1732002039.0445876,68,155
1732002039.0446618,66,149
1732002039.044729,65,140
1732002039.0447943,70,125
1732002039.0448623,74,117
1732002039.0449271,73,107
1732002039.044993,71,105
1732002039.0450613,68,129
1732002039.045166,68,194
1732002039.045233,67,182
1732002039.0452948,66,167
1732002039.0453546,68,161
1732002039.045416,70,157
1732002039.1945264,80,159
1732002039.1945846,78,153
1732002039.1946366,75,143
1732002039.1946936,71,133
1732002039.1947417,72,129
1732002039.1947901,69,131
1732002039.194839,68,122
1732002039.1948867,68,121
1732002039.1949344,72,117
1732002039.1949816,70,119
1732002039.1950295,70,121
1732002039.1950772,72,119
1732002039.1951458,76,133
1732002039.1951954,78,151
1732002039.195242,83,163
1732002039.344767,81,180
1732002039.3448846,79,191
1732002039.3449945,76,198
1732002039.3451452,72,194
1732002039.345248,74,183
1732002039.3453395,76,183
1732002039.3454316,76,209
1732002039.345525,73,207
1732002039.3456151,76,189
1732002039.345705,73,188
1732002039.3457956,77,189
1732002039.3458862,81,167
1732002039.3459766,79,171
1732002039.346067,77,172
1732002039.3461707,76,189
1732002039.4949489,72,210
1732002039.4950225,75,203
1732002039.4950893,74,200
1732002039.4951916,73,190
1732002039.4952576,75,183
1732002039.495324,74,195
1732002039.4953966,71,183
1732002039.4954565,72,168
1732002039.4955194,74,160
1732002039.4955795,71,162
1732002039.4956398,69,156
1732002039.495701,70,155
1732002039.4957607,68,181
1732002039.4958205,67,165
1732002039.4958832,66,151
1732002039.6451755,66,147
1732002039.6452434,72,134
1732002039.6453056,74,128
1732002039.6453671,73,151
1732002039.6454248,72,156
1732002039.6454828,69,151
1732002039.6455448,69,160
1732002039.6456006,73,189
1732002039.6456563,71,182
1732002039.6457124,69,168
1732002039.645768,76,155
1732002039.645824,81,143
1732002039.6458793,81,147
1732002039.6459346,79,138
1732002039.6459906,75,133
1732002039.7953882,73,130
1732002039.795457,70,165
1732002039.7955186,68,179
1732002039.7955863,67,231
1732002039.7956462,72,212
1732002039.795708,74,193
1732002039.7957737,74,192
1732002039.7958345,73,191
1732002039.7958949,71,171
1732002039.7959552,68,160
1732002039.7960153,68,158
1732002039.796077,66,149
1732002039.7961624,65,134
1732002039.7962184,82,159
1732002039.7962766,81,203
1732002039.9454365,78,185
1732002039.9454892,81,164
1732002039.9455354,78,182
1732002039.9455812,79,183
1732002039.9456267,79,168
1732002039.945672,76,150
1732002039.9457176,75,145
1732002039.9457633,82,166
1732002039.9458082,81,202
1732002039.9458532,80,225
1732002039.945898,77,199
1732002039.9459429,74,174
1732002039.9459882,79,161
1732002039.946033,98,169
1732002039.9460783,95,169
1732002040.0957954,90,171
1732002040.0958815,84,162
1732002040.0959592,80,152
1732002040.0960376,80,140
1732002040.0961494,80,152
1732002040.0962238,77,152
1732002040.0962925,75,138
1732002040.096359,72,140
1732002040.0964284,72,133
1732002040.0964947,72,131
1732002040.0965605,77,155
1732002040.0966265,80,142
1732002040.0966923,82,147
1732002040.0967586,80,187
1732002040.0968242,77,227
1732002040.2456465,77,247
1732002040.2456975,77,244
1732002040.2457442,90,222
1732002040.2457898,87,201
1732002040.2458348,83,189
1732002040.24588,83,171
1732002040.2459254,83,155
1732002040.245971,81,141
1732002040.2460165,79,131
1732002040.2460623,79,129
1732002040.2461243,79,129
1732002040.246171,76,133
1732002040.246215,77,127
1732002040.2462604,74,131
1732002040.2463067,73,123
1732002040.3964415,73,127
1732002040.3965528,72,130
1732002040.3966482,71,145
1732002040.3967416,79,131
1732002040.3968332,79,124
1732002040.3969336,76,149
1732002040.3970258,74,139
1732002040.3971288,75,126
1732002040.3972185,73,125
1732002040.3972993,72,123
1732002040.397384,70,122
1732002040.397467,68,140
1732002040.3975537,69,153
1732002040.3976374,68,148
1732002040.3977299,66,162
1732002040.5463247,65,153
1732002040.5463874,73,144
1732002040.5464451,74,153
1732002040.5465076,75,140
1732002040.5465643,75,126
1732002040.5466204,79,122
1732002040.5466766,82,161
1732002040.5467322,80,153
1732002040.5467873,77,141
1732002040.5468426,74,134
1732002040.5468984,76,124
1732002040.5469537,80,112
1732002040.54701,77,130
1732002040.5470665,73,146
1732002040.5471287,70,132
1732002040.6966379,72,132
1732002040.6967192,72,132
1732002040.6967921,69,118
1732002040.696865,66,112
1732002040.6969368,73,112
1732002040.6970744,77,110
1732002040.6971827,74,121
1732002040.6972497,71,119
1732002040.6973226,71,115
1732002040.6973896,68,122
1732002040.697459,67,116
1732002040.6975286,71,115
1732002040.6975958,70,130
1732002040.6976616,69,132
1732002040.6977282,67,118
1732002040.8467765,68,117
