timestamp,emg_value_sensor1,emg_value_sensor2
1731999418.8714325,84,16
1731999418.8715487,86,16
1731999418.87166,86,16
1731999418.8717682,85,16
1731999418.8718774,85,16
1731999418.8719862,83,16
1731999418.8720956,82,16
1731999418.872217,81,16
1731999418.872324,84,16
1731999418.8724413,89,16
1731999418.8725576,87,16
1731999418.8726747,84,16
1731999418.872791,82,16
1731999418.8729076,79,16
1731999418.8730235,81,16
1731999418.8731537,81,16
1731999418.873309,80,16
1731999418.8734267,87,16
1731999418.873554,93,16
1731999418.8736706,93,16
1731999418.873787,94,16
1731999418.8739026,91,16
1731999418.874019,89,16
1731999418.8743038,87,16
1731999418.874381,85,16
1731999418.8744497,85,16
1731999418.874516,86,16
1731999418.8745823,90,16
1731999418.8746488,91,16
1731999418.8747158,89,16
1731999418.8747828,86,16
1731999418.8748496,83,16
1731999418.8749158,82,16
1731999418.8749843,90,16
1731999418.8750515,93,16
1731999418.8751283,92,16
1731999418.8751895,94,16
1731999418.8752491,94,16
1731999418.875309,90,16
1731999418.8753686,85,16
1731999418.8754282,84,16
1731999418.875489,82,16
1731999418.8755481,86,16
1731999418.8756077,92,16
1731999418.8756678,94,16
1731999418.875727,94,16
1731999418.8757863,90,16
1731999418.8758469,90,16
1731999418.8759065,87,16
1731999418.875969,88,16
1731999418.8760235,84,16
1731999418.8760781,85,16
1731999418.8761446,84,16
1731999418.876208,101,16
1731999418.8762717,109,16
1731999418.8763337,104,16
1731999418.8763883,99,16
1731999418.8764498,100,16
1731999418.876512,102,16
1731999418.8765664,99,16
1731999418.8766208,95,16
1731999418.876675,93,16
1731999418.8767285,96,16
1731999418.8767838,95,16
1731999418.876839,96,16
1731999418.8768966,97,16
1731999418.8769505,97,16
1731999418.8770049,92,16
1731999418.8770607,90,16
1731999418.8771176,89,16
1731999418.8771687,92,16
1731999418.8772182,99,16
1731999418.8772755,96,16
1731999418.877327,94,16
1731999418.8773775,96,16
1731999418.8774283,94,16
1731999418.8774788,95,16
1731999418.87753,91,16
1731999418.8775806,86,16
1731999418.877631,94,16
1731999418.8776877,102,16
1731999418.8777447,101,16
1731999418.8777957,97,16
1731999418.8778467,94,16
1731999418.877898,91,16
1731999418.8779497,90,16
1731999418.8779998,87,16
1731999418.8780518,85,16
1731999418.8781035,86,16
1731999418.8781629,86,16
1731999418.8782103,83,16
1731999418.8782578,82,16
1731999418.8783045,81,16
1731999418.878354,78,16
1731999418.8784013,77,16
1731999418.8784497,85,16
1731999418.8784971,91,16
1731999418.8785455,89,16
1731999418.878593,90,16
1731999418.8786397,90,16
1731999418.878687,88,16
1731999418.8843007,88,16
1731999418.894299,86,16
1731999418.904372,86,16
1731999418.9140904,83,16
1731999418.9243512,83,16
1731999418.9342659,97,16
1731999418.9744716,107,16
1731999418.9745557,104,16
1731999418.9746354,100,16
1731999418.974703,96,16
1731999418.984394,93,16
1731999418.9943,90,16
1731999419.0043924,88,16
1731999419.0142777,90,16
1731999419.0244417,94,16
1731999419.0344095,96,16
1731999419.044401,94,16
1731999419.0544233,93,16
1731999419.0644472,89,16
1731999419.0744965,87,16
1731999419.0847223,88,16
1731999419.094829,91,16
1731999419.1046865,91,16
1731999419.1147137,89,16
1731999419.1246498,87,16
1731999419.1348162,86,16
1731999419.1448867,87,16
1731999419.1547017,87,16
1731999419.1647494,92,16
1731999419.1748495,93,16
1731999419.1847603,94,16
1731999419.1947098,97,16
1731999419.2047663,92,16
1731999419.2148614,90,15
1731999419.2249968,86,16
1731999419.235073,95,16
1731999419.2452505,93,16
1731999419.255312,93,16
1731999419.2653337,89,16
1731999419.2752063,90,16
1731999419.285096,86,16
1731999419.2950737,83,16
1731999419.3050146,83,16
1731999419.3151314,85,16
1731999419.3251984,89,16
1731999419.3352337,87,16
1731999419.3454695,88,16
1731999419.3548396,86,16
1731999419.3649232,84,16
1731999419.3749793,86,16
1731999419.384895,88,16
1731999419.3950312,85,16
1731999419.4050488,86,16
1731999419.4150722,87,16
1731999419.4250546,84,16
1731999419.4350836,86,16
1731999419.4450643,88,16
1731999419.4551678,90,16
1731999419.4650578,88,16
1731999419.4752328,88,16
1731999419.4853387,90,16
1731999419.4952881,91,16
1731999419.5053105,94,16
1731999419.5151849,95,16
1731999419.5253284,94,16
1731999419.5352693,92,16
1731999419.5453608,91,16
1731999419.5553493,95,16
1731999419.5754967,103,16
1731999419.5755706,99,16
1731999419.585391,99,16
1731999419.5955136,95,16
1731999419.6054797,92,16
1731999419.6154633,94,16
1731999419.6254973,90,16
1731999419.6355429,89,16
1731999419.645368,97,16
1731999419.6756678,104,16
1731999419.6757495,100,16
1731999419.6758196,97,16
1731999419.6854215,94,16
1731999419.6954346,92,16
1731999419.7555783,102,16
1731999419.7556236,107,16
1731999419.7556665,104,16
1731999419.75571,105,16
1731999419.7557542,101,16
1731999419.755793,95,16
1731999419.7657514,94,16
1731999419.775814,96,16
1731999419.7858586,93,16
1731999419.7959745,94,16
1731999419.8056002,98,16
1731999419.815908,95,16
1731999419.825915,92,16
1731999419.8358734,93,16
1731999419.8458695,95,16
1731999419.8558912,92,16
1731999419.8658373,88,16
1731999419.8757536,87,16
1731999419.8860087,87,16
1731999419.895943,85,16
1731999419.9058733,86,16
1731999419.9159422,92,16
1731999419.925932,91,16
1731999419.9358752,89,16
1731999419.9459229,88,16
1731999419.9559865,86,16
1731999419.9659925,88,16
1731999419.9759917,90,16
1731999419.9858735,91,16
1731999419.9959066,93,16
1731999420.0061865,93,16
1731999420.016276,93,16
1731999420.026213,94,16
1731999420.0361454,91,16
1731999420.045986,90,16
1731999420.0559862,95,16
1731999420.0862985,102,16
1731999420.0863638,100,16
1731999420.086417,97,16
1731999420.095936,97,16
1731999420.1059945,93,16
1731999420.1163702,89,16
1731999420.1261902,91,16
1731999420.1362178,92,16
1731999420.146383,98,16
1731999420.1561048,99,16
1731999420.186153,100,16
1731999420.1862276,101,16
1731999420.1862824,98,16
1731999420.1961007,92,16
1731999420.2063541,92,16
1731999420.2162006,91,16
1731999420.226202,89,16
1731999420.2361186,91,16
1731999420.2463014,92,16
1731999420.256331,90,16
1731999420.2662978,94,16
1731999420.276206,93,16
1731999420.2863452,93,16
1731999420.2962599,90,16
1731999420.3064091,87,16
1731999420.3165789,89,16
1731999420.3263912,89,16
1731999420.3364027,87,16
1731999420.3465781,86,16
1731999420.3566234,85,16
1731999420.366631,89,16
1731999420.3766704,91,16
1731999420.3864741,91,16
1731999420.3966894,91,16
1731999420.4066842,88,16
1731999420.416639,90,16
1731999420.4266002,91,16
1731999420.4365563,95,16
1731999420.4464333,95,16
1731999420.456566,92,16
1731999420.4667625,96,16
1731999420.5369544,117,16
1731999420.5370128,119,16
1731999420.5370674,114,16
1731999420.5371397,110,16
1731999420.5371923,103,16
1731999420.5372453,100,16
1731999420.5372982,94,16
1731999420.5468326,93,16
1731999420.5569155,91,16
1731999420.5666735,91,16
1731999420.5768807,88,16
1731999420.586794,88,16
1731999420.5967178,85,16
1731999420.60696,84,16
1731999420.6169767,84,16
1731999420.6269867,83,16
1731999420.6370752,81,16
1731999420.6470375,80,16
1731999420.656909,84,16
1731999420.6672127,89,16
1731999420.6771035,86,16
1731999420.6871314,84,16
1731999420.6972854,86,16
1731999420.7071767,92,16
1731999420.7174718,99,16
1731999420.7269232,96,16
1731999420.736923,93,16
1731999420.7469294,89,16
1731999420.7571633,94,16
1731999420.767134,93,16
1731999420.7870598,100,16
1731999420.7871313,99,16
1731999420.7970538,99,16
1731999420.807023,94,16
1731999420.8171532,89,16
1731999420.8271425,86,16
1731999420.837237,83,16
1731999420.8473449,87,16
1731999420.8572938,85,16
1731999420.86726,88,16
1731999420.8773801,91,16
