timestamp,emg_value_sensor1,emg_value_sensor2
1732000930.565807,86,62
1732000930.5659516,86,66
1732000930.5660765,86,68
1732000930.5662386,86,62
1732000930.566364,87,57
1732000930.5664747,87,53
1732000930.5665567,85,54
1732000930.5666287,87,66
1732000930.5667021,87,72
1732000930.5667748,86,66
1732000930.5668478,87,61
1732000930.5669196,86,58
1732000930.5669913,85,58
1732000930.567062,87,63
1732000930.567157,87,63
1732000930.5672262,87,61
1732000930.567291,87,58
1732000930.5673566,88,58
1732000930.5674217,88,60
1732000930.5674865,87,59
1732000930.567552,88,57
1732000930.5676153,88,55
1732000930.5676792,88,52
1732000930.5677445,86,53
1732000930.567809,88,51
1732000930.5678747,88,51
1732000930.5679388,88,47
1732000930.5680013,85,60
1732000930.5680594,85,61
1732000930.5681317,85,58
1732000930.5681899,85,58
1732000930.5682478,85,54
1732000930.5683053,84,51
1732000930.5683637,83,53
1732000930.568422,83,62
1732000930.5684803,84,59
1732000930.568539,83,54
1732000930.5685964,82,54
1732000930.5686562,83,54
1732000930.5687149,82,60
1732000930.568773,82,55
1732000930.5688322,82,51
1732000930.5688894,82,59
1732000930.5689433,84,76
1732000930.568997,84,75
1732000930.5690498,84,68
1732000930.5691037,83,63
1732000930.569177,85,69
1732000930.5692315,85,74
1732000930.5692883,84,73
1732000930.5693426,84,67
1732000930.5693963,85,61
1732000930.5694509,85,56
1732000930.569505,93,53
1732000930.5695608,96,67
1732000930.569615,94,65
1732000930.569668,94,71
1732000930.5697217,92,67
1732000930.5697758,92,68
1732000930.5698295,89,62
1732000930.569884,90,61
1732000930.5699375,89,61
1732000930.5699897,89,62
1732000930.5700428,91,63
1732000930.570097,92,60
1732000930.5701678,91,63
1732000930.5702174,93,65
1732000930.5702674,95,63
1732000930.5703166,94,60
1732000930.5703664,94,58
1732000930.570416,93,55
1732000930.5704656,94,56
1732000930.5705142,95,55
1732000930.5705645,95,52
1732000930.5706148,94,59
1732000930.5706644,97,65
1732000930.570714,98,60
1732000930.5707674,99,55
1732000930.5708175,98,65
1732000930.5708673,95,67
1732000930.5709167,96,71
1732000930.570967,96,65
1732000930.5710173,95,59
1732000930.5710678,94,68
1732000930.5711334,94,71
1732000930.5711882,95,70
1732000930.5712416,94,62
1732000930.571296,95,57
1732000930.5713503,96,54
1732000930.5714047,95,64
1732000930.5714595,96,75
1732000930.571514,96,69
1732000930.5715678,95,64
1732000930.5716228,94,65
1732000930.5716777,94,68
1732000930.571733,95,73
1732000930.5717874,93,67
1732000930.5718422,93,60
1732000930.5718968,91,63
1732000930.5719514,92,69
1732000930.5720067,93,68
1732000930.579495,93,61
1732000930.5895734,92,62
1732000930.599433,93,65
1732000930.6094282,92,64
1732000930.6195247,94,62
1732000930.6294165,94,65
1732000930.639523,92,58
1732000930.6494858,95,58
1732000930.659551,95,55
1732000930.6695247,95,54
1732000930.6795459,94,49
1732000930.6897016,94,60
1732000930.699733,93,67
1732000930.7095933,94,70
1732000930.7196994,92,65
1732000930.7296712,93,64
1732000930.7396836,92,70
1732000930.7499664,91,65
1732000930.760075,92,63
1732000930.7700405,91,59
1732000930.7801592,93,59
1732000930.7900999,92,58
1732000930.7999756,94,54
1732000930.8098552,95,52
1732000930.8199253,93,55
1732000930.8301055,92,58
1732000930.839885,93,57
1732000930.8500485,94,61
1732000930.8599925,94,64
1732000930.870042,93,62
1732000930.8800054,95,62
1732000930.8899956,94,59
1732000930.8999748,92,57
1732000930.910057,91,56
1732000930.920039,91,76
1732000930.9300506,91,72
1732000930.9400742,91,69
1732000930.9500496,92,66
1732000930.9602332,92,68
1732000930.970071,93,64
1732000930.9801335,93,60
1732000930.990161,94,61
1732000931.0001948,94,62
1732000931.0101225,93,63
1732000931.0202322,92,58
1732000931.0303168,95,53
1732000931.040152,94,49
1732000931.05009,92,44
1732000931.0603998,92,49
1732000931.0702612,90,53
1732000931.080156,92,52
1732000931.0903664,90,51
1732000931.1002774,90,55
1732000931.1103327,90,57
1732000931.120314,90,52
1732000931.1302288,90,47
1732000931.1402588,90,53
1732000931.1504188,89,56
1732000931.1603796,90,57
1732000931.170423,89,59
1732000931.18038,91,57
1732000931.1903825,93,58
1732000931.200505,93,55
1732000931.210391,92,64
1732000931.2203314,94,64
1732000931.2302825,97,59
1732000931.240518,96,57
1732000931.2504225,96,64
1732000931.2603996,97,64
1732000931.270431,97,65
1732000931.28038,97,61
1732000931.2904894,97,69
1732000931.3006978,98,66
1732000931.3106282,98,65
1732000931.3406534,101,65
1732000931.34073,101,66
1732000931.3407907,99,61
1732000931.350634,99,60
1732000931.3605049,99,62
1732000931.3705277,97,58
1732000931.3806245,99,55
1732000931.3905332,97,70
1732000931.4006233,97,73
1732000931.4106057,97,68
1732000931.4206803,97,62
1732000931.4305263,97,59
1732000931.4407713,96,56
