timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733774666.5950801,164,109,5,69
1733774666.595252,165,109,5,67
1733774666.5954397,166,105,5,70
1733774666.5956073,163,100,5,69
1733774666.5957723,163,109,5,69
1733774666.5959437,163,129,5,69
1733774666.5961215,169,127,5,70
1733774666.5963717,168,117,5,72
1733774666.596534,167,118,5,69
1733774666.5966265,166,113,5,68
1733774666.5967183,167,108,5,71
1733774666.5968096,169,117,5,69
1733774666.5969076,168,124,5,69
1733774666.5970051,163,111,5,67
1733774666.5971024,160,103,5,67
1733774666.5971944,161,96,5,65
1733774666.5972998,166,112,5,64
1733774666.5973969,165,122,5,68
1733774666.5974934,161,120,5,70
1733774666.59759,159,109,5,71
1733774666.597682,159,97,5,69
1733774666.5977795,163,88,5,69
1733774666.5978777,165,90,5,69
1733774666.5979822,162,110,5,69
1733774666.598086,161,106,5,68
1733774666.5981905,167,112,5,72
1733774666.5983057,172,109,5,71
1733774666.5984101,171,101,5,71
1733774666.5985074,168,94,5,70
1733774666.5986109,168,84,6,73
1733774666.5987165,166,75,5,71
1733774666.5988224,167,94,5,69
1733774666.5989287,166,94,5,72
1733774666.5990431,163,103,5,70
1733774666.5991583,161,103,5,67
1733774666.5992718,160,119,5,68
1733774666.5993953,164,112,5,69
1733774666.5995092,162,101,5,69
1733774666.5996149,160,99,5,68
1733774666.5997174,159,91,5,67
1733774666.599814,162,81,5,68
1733774666.5999112,164,80,5,67
1733774666.6000154,162,105,5,69
1733774666.6001198,161,109,5,68
1733774666.6002247,161,105,5,67
1733774666.6003387,167,117,5,67
1733774666.6004434,173,110,5,68
1733774666.6005404,169,98,5,66
1733774666.6006374,170,87,5,65
1733774666.6007347,170,99,5,64
1733774666.600838,173,95,5,65
1733774666.6009355,175,88,5,66
1733774666.6010327,172,89,5,65
1733774666.6011314,169,93,5,64
1733774666.6012359,168,108,5,63
1733774666.6013608,171,115,5,67
1733774666.6014667,171,106,5,68
1733774666.6015728,166,103,5,66
1733774666.601677,162,103,5,69
1733774666.6017745,159,92,5,70
1733774666.6018786,163,101,5,74
1733774666.601978,162,100,5,76
1733774666.6020744,161,106,5,76
1733774666.602171,159,100,5,76
1733774666.602268,162,127,5,75
1733774666.6023724,166,128,5,78
1733774666.6024697,166,137,5,76
1733774666.6025662,165,141,5,75
1733774666.6026626,165,132,5,72
1733774666.6027591,167,119,5,72
1733774666.6028903,169,121,5,70
1733774666.6029801,169,134,5,69
1733774666.6030755,167,129,5,67
1733774666.6031654,164,122,5,68
1733774666.6032565,165,116,5,67
1733774666.6033535,170,117,5,72
1733774666.6034446,169,116,5,71
1733774666.603537,166,110,5,70
1733774666.6036272,165,113,5,70
1733774666.603717,165,108,5,67
1733774666.6038034,171,103,5,67
1733774666.6038868,167,110,6,66
1733774666.6039708,162,117,5,66
1733774666.6040542,157,121,5,67
1733774666.6041396,156,133,5,66
1733774666.6042242,161,139,5,66
1733774666.6043143,162,146,5,68
1733774666.6043992,162,147,5,71
1733774666.6044831,164,148,5,75
1733774666.6045668,161,152,5,74
