timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733771688.8217854,81,61,5,52
1733771688.8218913,83,56,5,50
1733771688.8219912,82,54,5,50
1733771688.8220892,84,51,5,50
1733771688.8221874,86,47,5,49
1733771688.8223019,82,50,5,50
1733771688.8224,85,67,5,51
1733771688.8224967,83,64,5,53
1733771688.8225946,83,62,5,53
1733771688.8226924,87,60,5,52
1733771688.8227844,84,55,5,51
1733771688.8228726,84,50,5,51
1733771688.8229613,83,53,5,50
1733771688.8230507,81,59,5,50
1733771688.8231387,83,55,5,49
1733771688.8232284,79,53,5,49
1733771688.8233244,77,64,5,49
1733771688.8234124,77,75,5,49
1733771688.8235023,76,69,5,49
1733771688.8235843,72,63,5,49
1733771688.8236659,71,80,5,49
1733771688.8237484,66,76,5,49
1733771688.8238301,66,71,5,48
1733771688.8239117,68,64,5,48
1733771688.823994,67,63,5,49
1733771688.8240762,68,65,5,48
1733771688.8241577,66,60,5,48
1733771688.82424,68,55,5,47
1733771688.824331,69,60,5,48
1733771688.8244128,70,59,5,49
1733771688.8244956,71,56,5,49
1733771688.8245785,69,53,5,49
1733771688.824661,70,58,5,48
1733771688.824745,72,72,5,50
1733771688.8248272,68,66,5,50
1733771688.824908,69,64,5,49
1733771688.8249974,66,60,5,48
1733771688.8250785,65,59,5,49
1733771688.8251605,66,60,5,50
1733771688.8252425,62,60,5,48
1733771688.8253293,63,54,5,48
1733771688.8254116,59,49,5,48
1733771688.8254933,60,45,5,48
1733771688.825575,62,43,5,49
1733771688.8256576,62,41,5,49
1733771688.8257375,63,38,5,48
1733771688.8258133,62,36,5,49
1733771688.8258896,64,35,5,53
1733771688.825966,66,43,6,52
1733771688.8260417,63,45,5,52
1733771688.8261175,65,57,5,54
1733771688.8261938,64,55,5,53
1733771688.82627,66,50,5,52
1733771688.8263547,69,46,5,54
1733771688.8264306,66,42,5,53
1733771688.826507,67,46,5,53
1733771688.8265772,64,45,5,52
1733771688.826649,64,44,5,52
1733771688.8267198,67,45,5,54
1733771688.8267899,64,51,5,58
1733771688.8268604,65,47,5,56
1733771688.8269315,61,50,5,55
1733771688.8270018,62,46,5,54
1733771688.827074,64,42,5,53
1733771688.8271456,61,40,5,52
1733771688.8272185,62,37,5,52
1733771688.8272965,59,35,5,51
1733771688.8273685,59,33,5,55
1733771688.8274398,63,43,5,58
1733771688.8275123,63,54,5,60
1733771688.8275838,64,49,5,58
1733771688.8276541,64,45,5,58
1733771688.8277242,66,42,5,57
1733771688.8277915,69,40,5,57
1733771688.8278584,69,40,5,58
1733771688.8279247,68,37,5,57
1733771688.8279915,68,34,5,56
1733771688.8280597,68,36,5,56
1733771688.8281267,69,39,5,59
1733771688.8281927,66,37,5,63
1733771688.8282588,65,35,5,62
1733771688.8283327,63,33,5,60
1733771688.828399,65,53,5,60
1733771688.8284652,65,53,5,60
1733771688.828533,63,49,5,59
1733771688.8285997,63,45,5,58
1733771688.8286664,62,50,5,58
1733771688.828733,64,47,5,58
1733771688.8287995,65,43,5,58
1733771688.8288658,63,40,5,58
1733771688.8289332,63,47,5,58
1733771688.8289998,62,62,5,62
1733771688.8290656,65,57,5,63
1733771688.8291326,67,51,5,62
1733771688.8291996,65,47,5,62
1733771688.8292665,67,44,5,63
1733771688.829341,67,41,5,62
1733771688.8294075,68,38,5,62
1733771688.8294742,69,36,4,60
1733771688.8295412,67,34,5,60
1733771688.8296084,68,41,5,59
1733771688.837583,65,47,5,58
1733771688.8477612,65,52,5,58
1733771688.8578048,67,51,5,56
1733771688.867803,63,47,5,56
1733771688.8778298,63,44,5,54
1733771688.8879132,60,42,5,54
1733771688.8978453,61,39,5,53
1733771688.907861,63,36,5,52
1733771688.9179735,61,34,5,52
1733771688.927888,61,34,5,52
1733771688.937891,60,45,5,52
1733771688.947946,64,54,5,52
1733771688.958025,66,53,5,53
1733771688.96803,67,48,5,55
1733771688.9780378,67,44,5,56
1733771688.988121,67,48,5,55
1733771688.9981072,69,56,5,55
1733771689.0080452,70,53,5,55
1733771689.0180502,70,56,5,53
1733771689.028013,70,62,5,53
1733771689.0381393,72,59,6,52
1733771689.0484235,76,54,5,52
1733771689.0579884,73,54,5,51
1733771689.0680501,75,62,5,51
1733771689.0781355,72,64,5,50
1733771689.0880783,75,59,5,50
1733771689.0983996,77,60,5,49
1733771689.1085653,78,54,5,49
1733771689.118619,83,49,5,48
1733771689.1286306,80,45,5,48
1733771689.1387553,83,44,5,47
1733771689.148816,85,46,5,48
1733771689.1588073,84,51,5,48
1733771689.1687589,90,48,5,50
1733771689.1788192,86,55,5,49
1733771689.1888273,87,54,5,48
1733771689.1987731,91,49,5,49
1733771689.2087774,87,46,5,48
1733771689.218946,91,49,5,48
1733771689.2288668,88,52,5,47
1733771689.2387998,89,48,5,48
1733771689.248875,92,44,5,48
1733771689.2588937,87,41,5,49
1733771689.2688496,89,55,5,48
1733771689.2789721,86,61,5,49
1733771689.2890496,85,57,5,49
1733771689.2989836,85,60,5,49
1733771689.3090324,83,63,5,48
1733771689.319057,86,57,5,48
1733771689.329107,80,57,5,48
1733771689.3389642,81,61,5,48
1733771689.3487244,81,57,5,48
1733771689.3586187,79,52,5,49
1733771689.3686204,80,47,5,52
1733771689.378637,77,44,5,51
1733771689.388621,79,42,5,51
1733771689.3987596,81,53,5,51
1733771689.4087691,79,49,5,52
1733771689.418773,80,56,5,55
1733771689.4287593,79,61,5,56
1733771689.438765,80,64,5,56
1733771689.4486196,85,58,5,54
1733771689.4587638,82,55,5,54
1733771689.4687026,83,54,5,54
1733771689.4787772,81,52,5,52
1733771689.4888394,80,48,5,52
1733771689.4990432,83,50,5,53
1733771689.5091887,78,56,5,53
1733771689.5190628,81,51,5,52
1733771689.5294807,78,47,5,50
1733771689.5391946,76,43,5,51
1733771689.549216,77,42,5,50
1733771689.5593672,75,39,4,50
1733771689.5692675,77,37,5,51
1733771689.5794916,76,35,5,51
1733771689.5894806,78,55,5,51
1733771689.599455,80,57,5,50
1733771689.6093252,79,52,5,52
1733771689.6193187,80,52,5,53
1733771689.629544,79,48,5,52
1733771689.639551,79,51,5,54
1733771689.6494377,81,78,5,54
1733771689.6595314,78,73,5,53
1733771689.6695933,77,67,5,53
1733771689.679604,75,63,5,52
1733771689.6894805,74,58,5,53
1733771689.699619,75,54,5,53
1733771689.7095535,71,51,5,54
1733771689.7196317,71,47,5,54
1733771689.729563,69,48,5,58
1733771689.7396657,68,66,5,56
1733771689.7495878,71,67,5,58
1733771689.7595599,69,60,5,60
1733771689.769641,71,55,5,60
1733771689.7796912,70,57,5,59
1733771689.7896895,72,55,5,58
1733771689.7996266,73,50,5,56
1733771689.8097005,70,52,5,56
1733771689.8197372,71,54,5,55
1733771689.82977,71,50,5,56
