timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733773155.4149625,88,22,5,76
1733773155.4150827,91,22,5,79
1733773155.4151964,83,22,5,80
1733773155.415335,83,22,6,81
1733773155.4154441,84,23,5,81
1733773155.4155543,86,23,6,78
1733773155.4156628,90,23,5,79
1733773155.4157724,92,26,5,92
1733773155.4158819,90,31,5,95
1733773155.4159918,93,31,5,90
1733773155.4161024,95,30,5,85
1733773155.4162104,96,29,5,83
1733773155.4163303,94,28,5,82
1733773155.4164484,110,27,5,86
1733773155.4165628,112,29,5,82
1733773155.4166715,109,28,5,78
1733773155.4167786,107,27,5,76
1733773155.416885,102,27,5,75
1733773155.4170406,100,26,5,81
1733773155.4171398,98,26,5,82
1733773155.417254,105,27,5,89
1733773155.4173706,103,26,5,85
1733773155.4174697,98,27,6,83
1733773155.41756,96,26,5,83
1733773155.4176505,97,25,5,92
1733773155.4177477,97,25,5,87
1733773155.4178388,98,26,5,86
1733773155.4179294,95,25,5,88
1733773155.4180284,106,24,5,92
1733773155.418127,112,26,5,92
1733773155.4182265,113,25,5,87
1733773155.4183369,110,25,5,86
1733773155.4184349,107,25,5,83
1733773155.418527,105,25,5,82
1733773155.4186187,104,25,5,81
1733773155.4187083,102,24,5,80
1733773155.4188,102,24,5,80
1733773155.4188838,96,24,5,79
1733773155.4189677,96,23,5,79
1733773155.4190512,96,23,5,75
1733773155.4191356,95,23,6,75
1733773155.4192197,95,23,5,80
1733773155.4193091,89,24,5,76
1733773155.419387,88,23,5,74
1733773155.4194646,87,23,5,70
1733773155.4195433,83,23,6,71
1733773155.419622,80,24,5,69
1733773155.4197,78,24,5,74
1733773155.419778,80,24,5,75
1733773155.4198556,85,25,5,72
1733773155.4199336,87,25,5,71
1733773155.4200106,94,25,5,71
1733773155.4200885,97,24,5,69
1733773155.4201672,96,23,5,68
1733773155.420245,98,25,5,79
1733773155.4203403,100,25,5,82
1733773155.420418,97,25,5,79
1733773155.4204967,96,24,5,75
1733773155.4205709,95,24,5,74
1733773155.420644,97,23,5,70
1733773155.420723,102,22,5,67
1733773155.4209108,99,23,5,65
1733773155.4210014,99,22,5,64
1733773155.4210758,97,22,5,62
1733773155.42116,99,22,5,70
1733773155.4212394,103,24,5,75
1733773155.4213276,101,24,5,72
1733773155.4214005,97,23,5,68
1733773155.4214728,98,25,5,73
1733773155.4215455,96,26,5,74
1733773155.421618,97,26,5,74
1733773155.4216905,96,25,5,70
1733773155.4217646,95,25,5,67
1733773155.4218376,97,25,5,69
1733773155.4219124,91,29,5,76
1733773155.42198,95,29,5,77
1733773155.4220471,93,28,5,75
1733773155.4221175,94,27,5,70
1733773155.4221854,95,26,5,69
1733773155.4222534,95,26,5,68
1733773155.422327,96,26,5,66
1733773155.4223945,92,25,5,65
