timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733770753.4427006,87,53,5,90
1733770753.4428267,88,48,5,87
1733770753.4429436,89,47,5,84
1733770753.4430614,93,48,5,80
1733770753.4431803,88,52,5,78
1733770753.4433134,83,52,5,82
1733770753.4434268,85,52,5,90
1733770753.4435356,81,50,5,98
1733770753.4436505,79,47,5,91
1733770753.4437537,76,43,5,91
1733770753.4438581,80,41,5,87
1733770753.4439645,82,44,5,83
1733770753.4440682,78,53,5,84
1733770753.4441733,78,51,5,87
1733770753.444277,76,54,5,98
1733770753.4443865,78,49,5,95
1733770753.4444518,84,51,5,92
1733770753.4445171,86,63,5,87
1733770753.444582,85,61,5,81
1733770753.4446464,83,56,5,78
1733770753.4447105,81,54,5,87
1733770753.4447796,81,50,5,82
1733770753.4448476,80,46,5,78
1733770753.444916,75,53,5,80
1733770753.4449844,74,54,5,81
1733770753.4450521,75,51,5,76
1733770753.4451208,77,47,5,73
1733770753.4451892,75,46,5,81
1733770753.445258,76,44,5,84
1733770753.4453335,75,41,5,86
1733770753.4454012,74,50,5,81
1733770753.4454694,76,53,5,76
1733770753.4455366,74,54,5,74
1733770753.445604,70,50,5,73
1733770753.4456718,69,46,5,71
1733770753.4457397,75,43,5,79
1733770753.4458077,80,46,5,78
1733770753.4458766,80,54,5,75
1733770753.4459486,82,54,5,73
1733770753.4460225,82,52,5,72
1733770753.446095,84,47,5,71
1733770753.446168,83,44,5,68
1733770753.4462402,82,51,5,75
1733770753.446317,78,50,5,84
1733770753.4463892,78,46,5,84
1733770753.4464617,79,45,5,79
1733770753.446534,77,56,5,78
1733770753.4466066,76,51,5,74
1733770753.4466786,73,47,5,72
1733770753.4467516,72,58,5,76
1733770753.4468272,71,55,5,87
1733770753.446905,76,52,5,84
1733770753.4469836,73,49,5,80
1733770753.447062,72,56,5,74
1733770753.4471405,71,58,5,72
1733770753.447218,72,63,5,72
1733770753.4473014,71,58,5,83
1733770753.4473789,72,58,5,82
1733770753.447456,73,56,5,83
1733770753.4475336,73,58,5,83
1733770753.4476113,74,53,5,83
1733770753.4476883,75,56,5,79
1733770753.4477654,75,52,5,78
1733770753.447843,77,54,5,76
1733770753.4479203,86,56,5,85
1733770753.4479983,85,56,5,83
1733770753.4480755,84,58,5,83
1733770753.4481528,81,59,5,87
1733770753.4482305,80,54,5,81
1733770753.448312,82,50,5,77
1733770753.448389,80,49,5,73
1733770753.44847,78,50,5,75
