timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733772122.988544,68,116,5,50
1733772122.9886746,66,110,5,49
1733772122.988795,63,110,5,49
1733772122.9889116,63,113,5,49
1733772122.9890304,65,105,5,49
1733772122.9891279,66,96,5,49
1733772122.9892242,66,95,5,48
1733772122.989339,66,130,5,48
1733772122.9894435,66,122,4,48
1733772122.9895492,68,118,5,48
1733772122.989654,72,107,5,47
1733772122.9897506,70,99,5,47
1733772122.989847,67,95,5,46
1733772122.9899435,68,106,4,47
1733772122.9900386,67,130,4,46
1733772122.990134,66,122,5,46
1733772122.9902296,66,119,5,46
1733772122.9903297,67,109,5,45
1733772122.9904187,68,97,5,46
1733772122.9905074,68,87,5,46
1733772122.9905953,67,88,4,48
1733772122.9906836,66,92,5,48
1733772122.9907722,65,96,5,49
1733772122.99086,67,99,5,51
1733772122.9909494,68,129,4,50
1733772122.9910378,70,116,4,50
1733772122.9911258,73,107,5,50
1733772122.991207,74,98,5,49
1733772122.9913006,74,100,5,49
1733772122.9913821,75,98,5,49
1733772122.9914634,74,96,5,50
1733772122.9915514,72,125,5,49
1733772122.991639,70,133,5,50
1733772122.9917274,69,130,5,49
1733772122.9918149,70,122,5,49
1733772122.9919043,74,114,5,50
1733772122.9919856,71,124,5,49
1733772122.9920669,68,120,5,48
1733772122.9921484,67,123,5,51
1733772122.9922304,67,118,5,50
1733772122.9923182,66,105,5,50
1733772122.9923942,65,96,4,50
1733772122.9924698,65,87,5,51
1733772122.9925456,64,81,5,52
1733772122.992725,61,95,5,52
1733772122.9928098,62,99,5,52
1733772122.9928892,61,128,5,53
1733772122.9929674,64,127,5,52
1733772122.9930456,66,121,5,53
1733772122.9931233,66,116,5,54
1733772122.9932017,68,140,5,54
1733772122.9933012,68,148,5,53
1733772122.9933825,65,137,5,53
1733772122.9934623,68,124,5,53
1733772122.9935408,69,126,5,52
1733772122.993619,69,114,5,52
1733772122.993697,66,126,5,52
1733772122.9937754,63,121,5,52
1733772122.9938545,64,115,5,52
1733772122.9939303,63,126,5,51
1733772122.9940033,66,126,5,52
1733772122.994077,65,118,4,54
1733772122.9941502,63,114,5,52
1733772122.9942236,64,110,5,51
1733772122.9943027,67,104,5,51
1733772122.994377,69,103,5,51
1733772122.9944506,70,117,5,50
1733772122.994524,71,116,5,50
1733772122.9945972,72,103,5,51
1733772122.9946709,75,120,5,50
1733772122.9947438,77,132,5,50
1733772122.9948168,74,117,5,51
1733772122.9948897,73,104,4,50
1733772122.9949632,73,106,4,52
1733772122.995032,73,112,5,52
1733772122.995101,71,123,5,51
1733772122.9951692,68,136,5,52
1733772122.9952412,69,125,5,53
1733772122.9953163,70,122,5,52
1733772122.9953852,70,114,5,52
1733772122.9954536,68,103,4,51
1733772122.9955223,65,103,5,50
1733772122.9955914,64,140,5,50
1733772122.9956603,65,128,5,50
1733772122.9957294,67,118,5,49
1733772122.9957986,67,112,5,50
1733772122.995868,68,112,5,49
1733772122.995937,69,117,5,49
1733772122.9960058,71,121,6,48
1733772122.996075,75,116,5,48
1733772122.9961443,78,110,5,48
1733772122.9962144,75,106,5,48
1733772122.9962835,74,98,5,48
1733772122.9963536,74,101,5,48
1733772122.9964855,73,116,5,49
1733772122.9965549,71,106,5,49
1733772122.9966242,72,106,5,49
1733772122.996694,71,104,5,48
1733772122.9967582,70,95,5,48
1733772122.9968228,71,94,5,49
1733772122.9968932,65,115,5,49
1733772123.0065658,63,121,5,51
1733772123.016626,64,112,5,52
1733772123.026604,63,117,5,54
1733772123.0366414,65,115,5,55
1733772123.046761,64,104,5,55
1733772123.0568542,63,93,5,55
1733772123.066674,60,97,5,55
1733772123.0768065,62,135,5,54
1733772123.0868886,65,130,5,53
1733772123.096865,64,117,5,54
1733772123.1067934,64,114,5,55
1733772123.1167996,65,109,5,57
1733772123.1270046,68,100,5,57
1733772123.1371489,70,102,5,58
1733772123.147159,69,118,5,57
1733772123.1571233,68,104,5,57
1733772123.1670752,67,93,5,58
1733772123.1773283,73,100,5,57
1733772123.1873221,72,112,5,57
1733772123.197405,71,117,5,59
1733772123.207505,70,119,5,61
1733772123.2174475,66,120,5,62
1733772123.2275572,66,112,5,63
1733772123.2373376,66,107,5,65
1733772123.2474327,64,104,5,64
1733772123.257484,67,107,5,64
1733772123.267672,69,104,5,64
1733772123.2776175,68,108,4,64
1733772123.2876503,68,116,5,63
1733772123.2974777,64,126,5,64
1733772123.3075655,66,122,5,65
1733772123.317686,67,113,5,64
1733772123.3276403,71,129,5,65
1733772123.3377278,72,115,5,65
1733772123.347648,69,102,5,64
1733772123.3573036,70,93,5,65
1733772123.367451,65,110,5,65
1733772123.3773954,67,112,5,66
1733772123.3873055,68,106,5,67
1733772123.3973737,65,110,5,67
1733772123.4073322,64,98,5,67
1733772123.4172962,62,87,5,67
1733772123.4275513,61,81,5,67
1733772123.4374006,61,82,5,66
1733772123.4473324,60,80,5,65
1733772123.457388,59,73,5,66
1733772123.4674187,57,96,5,64
1733772123.4775324,61,106,5,64
1733772123.4874735,62,97,5,65
1733772123.4975908,60,102,5,67
1733772123.5075865,61,114,5,68
1733772123.5175836,60,112,5,69
1733772123.5275235,63,99,5,68
1733772123.5376308,63,101,5,67
1733772123.5475767,64,93,5,66
1733772123.5576065,65,84,5,67
1733772123.5676215,65,89,5,66
1733772123.577682,67,110,5,64
1733772123.587702,65,113,5,67
1733772123.597933,65,120,5,66
1733772123.6079175,65,125,5,67
1733772123.617923,64,115,5,66
1733772123.627917,67,106,5,67
1733772123.6378713,67,146,5,65
1733772123.647945,70,179,5,65
1733772123.6579628,67,167,5,66
1733772123.66801,64,153,5,65
1733772123.6780314,65,134,5,66
1733772123.6881068,65,132,5,65
1733772123.698065,66,143,5,63
1733772123.7080786,65,129,5,64
1733772123.7180896,67,116,5,64
1733772123.7281265,68,105,5,66
1733772123.738112,68,110,5,65
1733772123.7481422,66,115,5,65
1733772123.7581384,67,120,5,66
1733772123.7681642,68,123,5,68
1733772123.778214,69,128,5,69
1733772123.7882466,68,118,5,70
1733772123.7982311,66,110,5,69
1733772123.8083394,67,105,5,70
1733772123.8183973,67,103,5,71
1733772123.828351,67,113,5,73
1733772123.8383992,66,117,5,73
1733772123.8483248,63,135,5,74
1733772123.8583717,66,123,5,75
1733772123.8685248,66,113,5,75
1733772123.8784924,68,103,5,73
1733772123.8885634,66,92,5,74
1733772123.8985355,63,83,5,74
1733772123.9085321,63,81,5,73
1733772123.9186358,62,107,5,71
1733772123.92863,64,123,5,71
1733772123.9384997,63,124,5,73
1733772123.9485593,66,112,5,71
1733772123.9585502,66,124,5,72
1733772123.9687989,68,126,5,72
1733772123.979013,72,111,5,70
1733772123.9888134,69,105,5,69
