timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1733774049.4512465,91,150,5,59
1733774049.4514537,91,133,5,59
1733774049.4516208,94,120,5,58
1733774049.45179,95,120,4,58
1733774049.4519553,97,113,5,60
1733774049.452122,98,105,5,62
1733774049.452274,97,98,5,62
1733774049.4524496,95,98,5,61
1733774049.4526138,96,114,5,60
1733774049.4527786,98,110,5,61
1733774049.452941,96,113,5,64
1733774049.4531052,93,118,5,62
1733774049.45327,93,109,5,60
1733774049.4534714,92,117,5,61
1733774049.4536378,93,106,5,60
1733774049.453803,94,105,5,58
1733774049.453966,92,103,5,57
1733774049.45413,90,101,5,58
1733774049.4543033,89,99,5,58
1733774049.454459,94,95,5,57
1733774049.4546232,93,118,5,59
1733774049.454789,93,118,5,58
1733774049.4549537,93,116,5,58
1733774049.4551165,91,119,5,57
1733774049.4552922,95,114,5,57
1733774049.4554586,97,114,5,56
1733774049.4556215,97,116,5,55
1733774049.4557872,96,118,5,54
1733774049.4559507,96,116,5,54
1733774049.4561138,98,129,5,54
1733774049.4562907,99,124,5,53
1733774049.4564555,99,120,5,54
1733774049.4566188,99,132,5,55
1733774049.4567845,98,123,5,55
1733774049.4569504,99,127,5,57
1733774049.4571133,98,116,5,56
1733774049.4572911,96,104,5,58
1733774049.4574547,95,112,5,61
1733774049.4576178,91,123,5,64
1733774049.4577818,92,122,5,63
1733774049.4579458,91,111,5,63
1733774049.458109,90,113,5,63
1733774049.458273,89,108,5,63
1733774049.4584513,90,123,5,62
1733774049.4586146,96,112,5,63
1733774049.4587789,96,116,5,61
1733774049.4589438,95,124,5,61
1733774049.4591079,94,115,5,59
1733774049.4592721,95,120,5,59
1733774049.4594638,100,114,5,61
1733774049.45963,99,109,5,59
1733774049.4597955,98,148,5,60
1733774049.4599743,100,133,5,58
1733774049.4601407,99,122,5,58
1733774049.4603317,100,113,5,57
1733774049.4604971,99,113,5,58
1733774049.460661,96,111,5,57
1733774049.460826,97,111,5,56
1733774049.460988,96,114,5,56
1733774049.4611523,97,116,5,56
1733774049.4613292,96,115,5,55
1733774049.4614954,94,112,5,55
1733774049.4616601,94,112,5,55
1733774049.4618058,93,107,5,55
1733774049.4619493,96,102,5,55
1733774049.4620948,97,100,5,54
1733774049.46224,95,108,5,53
1733774049.4623961,94,113,5,52
1733774049.4625394,96,127,5,51
1733774049.4626842,99,119,5,51
1733774049.462839,101,116,5,51
1733774049.4630008,99,155,5,51
1733774049.4631777,100,145,5,51
1733774049.4633658,103,132,5,52
1733774049.4635427,103,122,5,51
1733774049.463719,102,114,5,51
1733774049.4638827,100,118,5,52
1733774049.464015,99,112,5,52
1733774049.4641547,100,114,5,54
1733774049.4643025,101,123,5,54
1733774049.464438,100,134,5,56
1733774049.4645677,96,121,5,55
1733774049.4647007,96,138,5,54
1733774049.464828,97,127,5,55
1733774049.464958,99,119,5,55
1733774049.465077,99,116,5,55
1733774049.4651933,95,116,5,55
1733774049.4653213,96,113,5,57
1733774049.4654377,96,107,5,57
1733774049.465544,97,98,5,60
1733774049.4656527,99,89,5,58
1733774049.46576,96,87,5,58
1733774049.4658673,97,100,5,58
1733774049.4659662,99,97,5,59
1733774049.4660654,99,90,5,59
1733774049.4661722,102,87,5,59
1733774049.4662902,100,82,5,59
1733774049.4663992,101,99,5,59
1733774049.4665127,102,102,5,59
1733774049.4666119,99,99,5,58
1733774049.4667256,101,107,5,57
1733774049.4716122,97,116,5,56
1733774049.481566,97,105,5,55
1733774049.49139,98,119,5,55
1733774049.5015109,97,118,5,55
1733774049.5116928,100,123,5,55
1733774049.5215976,95,118,5,56
1733774049.5317101,98,110,5,56
1733774049.5417552,101,119,5,55
1733774049.5517051,101,113,5,55
1733774049.5618994,103,120,5,56
1733774049.5716934,99,111,5,56
1733774049.5819683,103,124,5,54
1733774049.5919821,103,112,5,53
1733774049.601911,101,109,4,54
1733774049.6118019,105,137,5,54
1733774049.6217422,102,146,5,54
1733774049.631826,106,137,5,54
1733774049.6420295,108,140,5,53
1733774049.6518006,106,134,5,53
1733774049.6618426,105,145,5,52
1733774049.6719162,101,138,5,52
1733774049.6819382,101,142,5,53
1733774049.6918936,101,147,5,56
1733774049.7020488,100,130,5,55
1733774049.7119324,97,116,5,55
1733774049.721921,95,115,5,53
1733774049.731882,96,115,5,53
1733774049.7419016,98,113,5,52
1733774049.7518904,97,108,4,52
1733774049.7618022,96,109,5,52
1733774049.7718797,95,112,5,52
1733774049.7820687,98,112,5,53
1733774049.7921014,99,116,5,52
1733774049.802063,99,119,5,52
1733774049.8121276,102,106,5,51
1733774049.8221383,102,101,5,52
1733774049.8321397,116,97,5,54
1733774049.8421032,116,93,5,53
1733774049.8521535,111,97,5,53
1733774049.8623245,107,111,5,54
1733774049.8722954,107,119,5,54
1733774049.8822613,108,108,5,54
1733774049.8922353,104,102,5,54
1733774049.9023218,103,105,5,53
1733774049.9122283,98,103,5,54
1733774049.9223,96,98,5,57
1733774049.9322553,96,92,5,56
1733774049.9422255,97,97,4,55
1733774049.952288,95,105,5,55
1733774049.9621594,94,99,5,54
1733774049.9723926,93,110,5,55
1733774049.9825723,94,106,5,56
1733774049.992414,94,107,5,55
1733774050.0024154,93,97,5,53
1733774050.0124235,93,105,5,54
1733774050.0224557,93,111,5,54
1733774050.032405,97,112,5,54
1733774050.0424542,100,102,5,55
1733774050.052531,98,102,5,56
1733774050.0625453,98,110,5,56
1733774050.072433,98,99,5,55
1733774050.0826256,103,106,5,56
1733774050.0926125,105,113,5,65
1733774050.102701,102,116,5,64
1733774050.1127326,103,105,5,63
1733774050.1226301,99,97,5,61
1733774050.1326525,97,107,5,59
1733774050.142604,96,98,5,58
1733774050.1525667,95,94,5,55
1733774050.1626627,95,109,5,55
1733774050.1727161,93,105,5,57
1733774050.1827116,94,105,5,55
1733774050.1926208,91,94,5,54
1733774050.2025683,90,84,5,53
1733774050.212602,89,83,5,53
1733774050.2225623,90,81,5,54
1733774050.2326567,93,104,5,53
1733774050.242683,97,98,5,56
1733774050.2526639,95,92,5,54
1733774050.2627354,97,90,5,54
1733774050.2726877,96,90,5,53
1733774050.2826715,98,83,5,52
1733774050.2927902,102,77,5,51
1733774050.3026822,99,87,5,54
1733774050.3128908,100,90,5,54
1733774050.3227227,98,87,5,54
1733774050.3329268,98,83,5,53
1733774050.342844,95,78,5,53
1733774050.3527925,92,79,5,53
1733774050.3628821,94,89,5,53
1733774050.3729756,92,91,5,53
1733774050.3830032,93,113,5,56
1733774050.393064,96,128,4,58
1733774050.40306,94,129,5,58
1733774050.4130015,95,118,5,56
1733774050.4230654,94,108,5,55
1733774050.433097,98,105,5,55
1733774050.4430666,99,106,5,55
1733774050.4531007,98,102,5,57
