timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734653720.9059234,12,83,90,3
1734653720.9060116,13,78,87,3
1734653720.9060955,12,79,84,3
1734653720.9061854,12,75,86,3
1734653720.9062617,13,85,87,3
1734653720.9063396,13,86,89,3
1734653720.9064162,13,84,86,3
1734653720.9064932,13,80,85,3
1734653720.9065704,13,73,82,3
1734653720.9066484,13,73,78,3
1734653720.906725,14,66,73,3
1734653720.906808,14,62,78,3
1734653720.906886,16,62,81,3
1734653720.9069622,17,78,96,3
1734653720.9070456,16,98,105,4
1734653720.907121,16,91,98,3
1734653720.9072087,16,103,107,3
1734653720.9072948,18,100,101,5
1734653720.9073718,18,89,100,6
1734653720.907451,18,83,107,5
1734653720.9075274,18,90,110,5
1734653720.9076107,18,110,132,5
1734653720.9076936,19,113,162,4
1734653720.907781,22,131,174,4
1734653720.9078639,23,167,189,4
1734653720.907947,26,208,220,8
1734653720.908029,28,208,222,7
1734653720.9081123,30,206,237,8
1734653720.9081943,31,383,331,9
1734653720.9082785,31,389,300,9
1734653720.9083571,35,409,288,8
1734653720.908437,36,497,342,8
1734653720.9085143,37,477,318,7
1734653720.9085925,36,483,303,7
1734653720.9086697,38,597,398,7
1734653720.9087474,36,579,375,7
1734653720.9088285,39,548,354,7
1734653720.9089057,39,519,364,7
1734653720.908983,40,510,401,6
1734653720.9090607,40,468,394,6
1734653720.9091372,39,461,402,5
1734653720.909215,41,499,410,6
1734653720.9092927,38,499,430,7
1734653720.9093652,42,521,466,7
1734653720.9094372,42,534,487,7
1734653720.9095101,40,507,458,8
1734653720.9095833,38,504,448,7
1734653720.9096618,40,448,400,11
1734653720.9097407,42,433,406,11
1734653720.9098217,41,421,375,12
1734653720.9098997,41,416,350,11
1734653720.9099777,41,423,337,10
1734653720.9100497,40,410,344,8
1734653720.9101233,41,431,345,8
1734653720.910196,43,443,354,8
1734653720.9102736,42,470,353,10
1734653720.910351,43,432,328,10
1734653720.9104242,42,398,304,11
1734653720.9104981,43,403,285,10
1734653720.9105666,41,394,291,9
1734653720.9106402,39,397,270,10
1734653720.9107087,38,389,260,9
1734653720.9107804,35,390,298,8
1734653720.9108493,35,397,322,7
1734653720.910918,33,369,299,9
1734653720.9109879,35,400,294,9
1734653720.911056,35,370,284,9
1734653720.9111247,38,414,298,8
1734653720.9111986,38,375,282,10
1734653720.9112687,37,339,266,9
1734653720.9113371,37,352,263,8
1734653720.9114068,34,336,251,8
1734653720.9114761,34,346,250,7
1734653720.9115465,32,329,244,8
1734653720.9116158,35,331,273,7
1734653720.9116845,37,340,263,8
1734653720.9117587,41,333,255,16
1734653720.9118407,40,311,239,16
1734653720.9119146,37,304,258,15
1734653720.9119885,34,339,278,13
1734653720.912063,34,360,278,12
1734653720.912137,34,367,296,12
1734653720.9121683,35,343,277,11
1734653720.9121954,35,343,263,10
1734653720.9122221,38,332,294,14
1734653720.9122488,36,302,289,12
1734653720.91228,35,320,264,13
1734653720.9123075,35,331,267,12
1734653720.9123368,33,321,265,11
1734653720.9123669,34,398,304,11
1734653720.9123945,33,370,310,10
1734653720.9124274,31,343,293,10
1734653720.9124548,32,372,304,10
1734653720.9124813,33,345,277,9
1734653720.9125102,37,349,248,11
1734653720.9125376,41,380,287,12
1734653720.9125648,43,389,301,12
1734653720.9125926,40,385,305,12
1734653720.9126196,38,344,299,11
1734653720.912647,39,368,287,13
1734653720.9126742,40,399,330,13
1734653720.9220417,43,373,318,13
1734653720.9321015,43,378,322,13
1734653720.942057,43,371,321,12
1734653720.9520807,42,340,295,12
1734653720.9621499,41,350,303,12
1734653720.9720087,40,363,322,11
1734653720.9820356,39,349,367,11
1734653720.9920292,39,398,397,13
1734653721.002374,37,359,365,12
1734653721.0123622,37,318,340,12
1734653721.0226095,38,307,314,11
1734653721.0323403,36,364,328,11
1734653721.042418,35,363,307,11
1734653721.0521605,35,332,310,9
1734653721.0622315,32,328,291,9
1734653721.0722673,31,303,282,8
1734653721.0822766,35,388,289,12
1734653721.0921967,36,388,290,11
1734653721.1022782,37,358,275,10
1734653721.1121602,39,325,247,8
1734653721.122129,42,313,226,8
1734653721.1321845,43,307,219,8
1734653721.1420815,41,279,216,7
1734653721.1521924,40,334,252,7
1734653721.1619983,38,338,259,6
1734653721.1721482,37,345,258,7
1734653721.182136,38,356,255,6
1734653721.1921704,35,315,255,6
1734653721.2022583,39,340,269,10
1734653721.2122197,41,322,256,10
1734653721.222126,40,327,259,9
1734653721.2321305,39,312,248,9
1734653721.2420552,38,385,277,8
1734653721.2521462,36,353,282,7
1734653721.261985,33,373,276,7
1734653721.2721121,31,392,299,6
1734653721.2821174,33,398,352,5
1734653721.2920177,31,350,317,8
1734653721.3020718,32,310,282,8
1734653721.31206,52,282,261,8
1734653721.322114,66,274,267,13
1734653721.332133,67,281,282,17
1734653721.3422098,63,331,302,16
1734653721.3520536,62,373,339,14
1734653721.362175,56,348,305,12
1734653721.3721805,50,318,316,11
1734653721.382109,47,291,313,10
1734653721.3921077,47,259,286,9
1734653721.4021392,46,235,268,10
1734653721.412154,43,243,256,14
