timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671148.4996016,23,43,67,3
1734671148.499973,23,40,63,3
1734671148.500267,23,37,61,3
1734671148.5005355,24,34,58,3
1734671148.5008209,24,32,59,3
1734671148.501093,25,30,68,3
1734671148.5013583,26,29,65,3
1734671148.5015972,25,29,70,3
1734671148.5021315,23,36,67,3
1734671148.5023134,23,37,65,3
1734671148.5024295,23,35,63,2
1734671148.5025423,23,35,64,3
1734671148.5026553,23,33,65,3
1734671148.5027661,24,31,64,2
1734671148.5029032,24,30,62,3
1734671148.503014,25,28,59,3
1734671148.5031185,25,27,57,3
1734671148.503219,23,33,66,3
1734671148.5033185,22,38,79,3
1734671148.5034258,21,45,87,3
1734671148.5035346,21,43,102,3
1734671148.5036328,19,54,96,3
1734671148.5037403,19,63,103,3
1734671148.5038629,19,84,112,3
1734671148.5039694,18,84,108,3
1734671148.504078,19,95,144,3
1734671148.5041914,18,108,160,3
1734671148.5042958,20,118,162,3
1734671148.5044012,20,134,194,3
1734671148.5045054,22,146,196,3
1734671148.5046115,22,156,196,4
1734671148.5047157,21,162,200,4
1734671148.504825,26,177,214,4
1734671148.5049324,27,194,201,6
1734671148.5050385,26,187,208,8
1734671148.5051425,28,214,239,7
1734671148.505244,29,225,246,8
1734671148.5053408,34,215,290,8
1734671148.5054376,33,208,288,8
1734671148.5055337,35,206,278,8
1734671148.505631,37,201,284,7
1734671148.5057287,35,183,256,6
1734671148.5058317,36,176,246,6
1734671148.5059288,38,171,243,5
1734671148.5060265,40,157,229,5
1734671148.5061164,38,160,232,5
1734671148.5062063,37,162,241,8
1734671148.5062962,38,185,234,7
1734671148.5063865,37,185,233,7
1734671148.5064752,39,187,240,6
1734671148.5065644,37,184,264,6
1734671148.5066535,38,183,281,6
1734671148.506744,38,184,259,5
1734671148.506842,37,174,246,4
1734671148.507107,36,165,234,4
1734671148.5072045,35,169,221,4
1734671148.5072947,33,177,216,4
1734671148.5073793,33,161,225,6
1734671148.5074637,34,165,262,8
1734671148.5075483,33,151,249,8
1734671148.5076337,34,178,258,8
1734671148.5077193,33,199,260,7
1734671148.5078187,31,189,246,6
1734671148.5079074,30,174,265,6
1734671148.5079918,29,158,244,5
1734671148.5080805,28,144,231,5
1734671148.5081615,29,133,224,5
1734671148.5082428,28,122,227,7
1734671148.5083237,27,121,245,6
1734671148.5084019,27,132,229,6
1734671148.5084813,27,139,235,6
1734671148.5085607,27,148,217,6
1734671148.508641,25,131,196,5
1734671148.5087204,27,125,190,5
1734671148.5088098,26,117,181,4
1734671148.5088937,25,126,180,4
1734671148.5089724,25,125,224,4
1734671148.509054,25,131,210,4
1734671148.5091329,26,147,199,4
1734671148.509212,24,162,235,5
1734671148.5092936,23,172,229,4
1734671148.5093687,23,158,213,4
1734671148.509442,23,152,205,4
1734671148.5095172,23,158,198,4
1734671148.509591,22,143,190,4
1734671148.5096653,23,132,179,4
1734671148.5097387,25,122,183,4
1734671148.5098162,25,125,177,4
1734671148.5098898,26,139,181,4
1734671148.5099635,25,130,178,4
1734671148.5100384,25,125,169,4
1734671148.510112,23,117,184,3
1734671148.5101864,23,129,187,3
1734671148.5102606,24,124,180,3
1734671148.5103343,22,133,185,3
1734671148.5104108,23,120,173,3
1734671148.5104856,21,111,177,3
1734671148.5105605,21,116,180,4
1734671148.5106368,21,118,202,4
1734671148.510711,23,127,191,4
1734671148.5107863,22,132,183,4
1734671148.5119138,23,143,194,4
1734671148.522006,23,137,192,3
1734671148.531971,24,126,179,3
1734671148.5420382,23,123,169,3
1734671148.5521507,24,119,160,3
1734671148.5619981,25,109,164,3
1734671148.5720232,26,110,166,3
1734671148.582036,25,128,200,3
1734671148.5919924,24,157,184,4
1734671148.602344,23,152,172,4
1734671148.6121383,23,152,172,3
1734671148.6221652,24,145,167,4
1734671148.6321788,22,134,168,4
1734671148.6421828,24,119,156,3
1734671148.6520617,25,123,150,3
1734671148.6621969,25,119,161,4
1734671148.672167,24,118,160,4
1734671148.6821754,24,106,149,4
1734671148.6920366,23,136,147,4
1734671148.7023337,25,134,193,4
1734671148.7122962,24,127,200,4
1734671148.7222002,23,120,180,4
1734671148.7323208,22,109,163,4
1734671148.7423034,24,114,171,4
1734671148.752246,24,124,194,4
1734671148.7621293,23,115,191,3
1734671148.7721927,23,102,172,4
1734671148.7823641,27,169,197,4
1734671148.7923868,26,169,195,4
1734671148.8022919,25,153,211,3
1734671148.8118193,24,136,204,4
1734671148.821764,23,129,185,4
1734671148.8317127,25,168,203,3
1734671148.841868,23,158,207,3
1734671148.851956,24,140,191,3
1734671148.8619597,23,134,191,4
1734671148.8721828,25,152,221,3
1734671148.882205,24,141,241,4
1734671148.8921986,24,132,229,3
1734671148.9022021,26,118,205,3
1734671148.9121199,27,144,203,3
1734671148.922257,26,152,217,3
1734671148.9321752,25,143,204,3
1734671148.9416358,24,137,200,3
1734671148.951569,23,164,199,3
1734671148.9617198,23,149,196,3
1734671148.9719312,22,140,183,3
1734671148.9820018,22,125,172,3
1734671148.9920595,21,121,166,3
1734671149.0019982,21,111,159,4
