timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734651768.0765073,23,30,71,3
1734651768.076607,24,35,76,3
1734651768.076693,23,34,73,3
1734651768.0768156,23,35,71,3
1734651768.0769012,23,33,68,3
1734651768.0769858,23,34,73,3
1734651768.0770705,23,36,69,3
1734651768.0771558,23,34,67,3
1734651768.0772398,23,35,68,3
1734651768.0773253,24,33,66,3
1734651768.0774095,23,31,63,3
1734651768.0774937,22,30,61,3
1734651768.0775769,22,28,68,3
1734651768.0776615,21,27,65,3
1734651768.077741,21,26,61,3
1734651768.0778322,21,25,59,3
1734651768.0779092,22,26,61,3
1734651768.0779877,23,26,71,3
1734651768.0780654,23,24,69,3
1734651768.0781436,23,24,68,3
1734651768.0782235,22,23,63,3
1734651768.078301,22,24,59,3
1734651768.078379,22,24,54,3
1734651768.0784578,21,24,54,3
1734651768.0785353,21,23,53,3
1734651768.0786097,20,23,59,3
1734651768.078682,22,23,56,7
1734651768.0787559,22,26,54,8
1734651768.0788429,23,35,55,8
1734651768.0789227,40,35,55,16
1734651768.0790021,45,32,57,17
1734651768.0790813,49,33,63,20
1734651768.0791595,55,31,61,22
1734651768.079239,61,32,58,19
1734651768.079318,56,61,57,17
1734651768.0793962,54,72,59,19
1734651768.0794752,64,71,59,27
1734651768.0795517,62,70,55,27
1734651768.0796244,66,69,55,30
1734651768.079698,64,74,57,31
1734651768.0797765,67,68,55,29
1734651768.079856,66,71,54,28
1734651768.0799303,66,81,55,26
1734651768.080005,64,85,55,28
1734651768.0800784,62,81,56,26
1734651768.0801523,67,82,54,24
1734651768.0802257,68,98,54,23
1734651768.080307,66,100,53,21
1734651768.0803864,61,113,56,19
1734651768.080465,60,122,58,18
1734651768.0805447,60,124,61,21
1734651768.0806196,57,131,59,19
1734651768.0806935,54,141,59,19
1734651768.0807693,67,151,64,28
1734651768.0808527,63,150,64,25
1734651768.0809283,59,165,67,23
1734651768.0810027,58,169,69,20
1734651768.0810778,54,170,83,18
1734651768.081152,52,158,84,17
1734651768.0812263,52,190,81,16
1734651768.0813005,52,188,77,15
1734651768.0813744,51,189,72,17
1734651768.0814488,48,176,70,17
1734651768.0815244,51,209,67,19
1734651768.081599,49,223,65,16
1734651768.081675,50,227,66,15
1734651768.0817444,51,229,70,14
1734651768.0818288,51,251,72,13
1734651768.0818987,48,232,83,12
1734651768.0819685,60,219,84,18
1734651768.0820386,60,245,83,19
1734651768.082109,63,261,81,20
1734651768.0821793,58,265,78,20
1734651768.0822513,57,271,95,18
1734651768.0823221,52,268,92,16
1734651768.0823932,47,269,96,14
1734651768.0824635,46,277,94,13
1734651768.0825381,46,275,90,12
1734651768.0826097,51,250,85,15
1734651768.0826802,53,238,82,16
1734651768.0827513,50,244,78,18
1734651768.0828373,49,239,74,17
1734651768.0829124,51,316,76,15
1734651768.0829887,51,325,80,15
1734651768.083064,49,315,86,13
1734651768.0831397,54,317,92,15
1734651768.0832148,52,284,87,16
1734651768.0832903,54,251,82,18
1734651768.0833652,52,224,78,18
1734651768.083439,48,249,77,16
1734651768.0835133,45,231,77,16
1734651768.0835881,43,221,83,14
1734651768.0836256,43,230,83,13
1734651768.0836515,43,222,79,13
1734651768.0836768,45,212,79,18
1734651768.0837028,46,203,76,21
1734651768.083728,52,213,78,27
1734651768.0837538,55,243,81,31
1734651768.0837827,50,237,79,27
1734651768.0838082,47,222,76,25
1734651768.083834,46,250,90,22
1734651768.0931003,49,290,115,19
1734651768.1030357,49,255,113,17
1734651768.1129978,46,227,105,15
1734651768.122955,45,201,97,15
1734651768.1328173,44,214,94,16
1734651768.1428432,42,209,90,17
1734651768.152852,43,211,93,17
1734651768.1633945,43,273,115,15
1734651768.173338,45,304,117,13
1734651768.1834137,49,291,108,14
1734651768.1934004,65,309,112,20
1734651768.2031589,63,323,140,20
1734651768.213241,66,285,138,23
1734651768.223117,61,265,131,22
1734651768.2329679,55,237,121,21
1734651768.2430887,52,233,112,22
1734651768.252856,50,251,110,20
1734651768.2629383,53,256,114,18
1734651768.2728596,55,263,110,19
1734651768.283021,56,259,104,19
1734651768.2933013,53,290,112,17
1734651768.303413,54,286,109,22
1734651768.3131318,54,298,102,23
1734651768.3232281,54,284,95,22
1734651768.3330414,51,267,94,20
1734651768.3430905,51,262,92,18
1734651768.3531642,50,243,89,17
1734651768.3630056,46,226,91,16
1734651768.373262,42,213,94,13
1734651768.38311,41,229,89,12
1734651768.3931441,41,243,88,12
1734651768.403084,49,270,108,13
1734651768.4131467,51,272,108,15
1734651768.4232914,51,262,100,13
1734651768.4331152,52,242,93,15
1734651768.4430864,53,224,89,13
1734651768.4532137,50,219,89,13
1734651768.4631171,46,234,99,11
1734651768.4731102,47,220,109,14
1734651768.483271,50,216,115,13
1734651768.4931355,48,203,119,16
1734651768.5031757,54,191,119,20
1734651768.513111,58,180,125,23
1734651768.5232441,58,198,120,20
1734651768.533317,59,205,124,18
1734651768.5433986,62,207,127,25
1734651768.5531695,59,252,125,23
1734651768.5631623,62,274,127,23
1734651768.5729353,65,266,123,24
1734651768.5828214,69,249,127,22
