timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734668785.7577124,29,32,80,3
1734668785.7578616,28,30,76,3
1734668785.7579758,28,33,72,3
1734668785.7580845,27,35,73,3
1734668785.758187,26,33,71,3
1734668785.7582886,26,36,72,3
1734668785.7583892,25,42,70,3
1734668785.7584903,24,40,71,3
1734668785.758592,23,36,70,3
1734668785.7586944,23,34,67,3
1734668785.7588067,22,38,85,3
1734668785.7589085,22,40,85,3
1734668785.7590096,21,37,82,3
1734668785.7591043,20,34,77,3
1734668785.759196,20,32,72,3
1734668785.759288,20,30,73,3
1734668785.7593815,19,29,73,3
1734668785.7594743,19,27,71,3
1734668785.7595656,19,27,69,3
1734668785.7596588,20,26,67,3
1734668785.7597504,20,26,66,3
1734668785.7598476,20,25,66,3
1734668785.759941,20,28,62,3
1734668785.760031,20,40,62,3
1734668785.7601163,21,47,67,3
1734668785.7602012,21,45,66,3
1734668785.7602878,21,43,65,3
1734668785.7603729,21,39,64,3
1734668785.7604587,21,37,67,3
1734668785.7605438,20,34,65,3
1734668785.7606285,19,32,65,3
1734668785.760714,19,30,65,3
1734668785.7608078,19,29,64,3
1734668785.7608929,19,27,60,3
1734668785.760978,19,26,61,3
1734668785.761063,20,26,61,3
1734668785.7611423,20,27,60,3
1734668785.7612221,20,26,60,3
1734668785.7613003,20,37,61,3
1734668785.76138,21,37,60,3
1734668785.7614586,20,35,62,3
1734668785.7615383,20,34,61,3
1734668785.761619,20,32,60,3
1734668785.7616973,20,31,60,3
1734668785.7617767,20,29,65,3
1734668785.761861,21,28,69,3
1734668785.76194,21,27,73,3
1734668785.7620196,21,27,88,3
1734668785.762099,22,36,95,3
1734668785.7621865,22,116,115,3
1734668785.7622793,25,117,126,4
1734668785.7623641,25,118,141,4
1734668785.76245,27,126,149,6
1734668785.762537,28,132,197,6
1734668785.7626224,29,150,231,6
1734668785.7627141,29,224,233,13
1734668785.7628121,30,224,247,14
1734668785.7629051,29,231,252,13
1734668785.762996,32,224,239,12
1734668785.7630868,34,223,293,12
1734668785.763179,33,243,326,11
1734668785.7632709,38,338,351,13
1734668785.7633646,37,339,352,12
1734668785.7634504,42,317,407,15
1734668785.7635365,40,286,403,14
1734668785.7636247,41,271,373,14
1734668785.763662,47,266,397,14
1734668785.7636895,46,249,394,16
1734668785.7637184,43,242,415,14
1734668785.7637455,43,246,399,15
1734668785.7637727,39,232,374,13
1734668785.7638028,39,228,363,11
1734668785.7638304,45,224,412,14
1734668785.7638597,44,211,415,13
1734668785.7638874,45,232,401,17
1734668785.7639148,44,237,454,19
1734668785.7639427,44,237,455,18
1734668785.763971,43,261,441,16
1734668785.7639987,41,254,423,14
1734668785.7640264,42,244,452,13
1734668785.764054,43,224,441,11
1734668785.7640815,45,251,414,15
1734668785.7641094,44,250,387,15
1734668785.7641373,48,239,368,17
1734668785.7641654,54,236,359,16
1734668785.7641928,62,238,337,16
1734668785.7642205,60,233,332,16
1734668785.7642484,58,231,328,18
1734668785.7642782,53,215,355,16
1734668785.7643068,56,210,379,14
1734668785.764335,58,201,369,13
1734668785.7643735,56,198,376,12
1734668785.764402,55,187,385,12
1734668785.7644324,50,187,362,11
1734668785.764461,53,196,427,10
1734668785.7644875,66,187,408,9
1734668785.7645156,64,198,415,10
1734668785.7645452,74,217,455,13
1734668785.7645738,71,199,450,11
1734668785.764603,66,190,424,10
1734668785.764631,63,182,401,11
1734668785.7720258,60,170,371,14
1734668785.7820816,67,196,395,16
1734668785.7920563,68,195,386,16
1734668785.8020287,63,185,376,14
1734668785.811967,59,176,372,13
1734668785.8219824,64,182,377,12
1734668785.8321137,69,186,464,14
1734668785.8421786,72,189,451,14
1734668785.852194,72,202,414,17
1734668785.8623314,65,188,382,15
1734668785.8722725,60,180,366,13
1734668785.88225,58,223,424,12
1734668785.892238,53,265,406,11
1734668785.902116,49,235,417,9
1734668785.9122152,46,220,451,9
1734668785.9221878,52,203,466,8
1734668785.9318497,59,200,442,8
1734668785.9420323,57,188,459,13
1734668785.9520447,85,186,459,15
1734668785.962052,83,187,447,16
1734668785.9720783,78,264,479,17
1734668785.9821641,73,262,471,15
1734668785.9922225,66,246,449,13
1734668786.0021462,62,223,416,12
1734668786.012119,57,218,410,11
1734668786.0221303,62,245,428,10
1734668786.032011,61,238,406,10
1734668786.0418117,69,215,393,13
1734668786.051856,67,225,421,12
1734668786.0616922,67,237,409,13
1734668786.0717583,63,225,398,13
1734668786.0816853,56,205,383,12
1734668786.0919697,62,204,447,11
1734668786.1019282,63,229,489,11
1734668786.1121166,59,225,461,12
1734668786.1222527,74,204,421,11
1734668786.132008,71,225,422,10
1734668786.1420343,65,269,469,12
1734668786.1519535,75,274,440,11
1734668786.1620219,77,279,418,13
1734668786.1720374,73,246,386,12
1734668786.1820517,69,235,396,10
1734668786.1920125,64,227,454,11
1734668786.2018332,62,247,432,10
1734668786.2118776,60,228,391,9
1734668786.2219977,59,220,365,12
1734668786.2320125,55,210,377,12
1734668786.241999,53,200,429,11
1734668786.251875,53,192,416,10
1734668786.2618966,60,176,393,9
