timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734650402.0438554,16,49,88,3
1734650402.0439632,17,47,83,3
1734650402.044072,17,43,77,3
1734650402.0441723,17,40,75,3
1734650402.0442731,17,36,73,3
1734650402.0443733,18,50,76,3
1734650402.0444736,18,51,72,3
1734650402.0445735,19,47,67,3
1734650402.0446763,19,46,65,3
1734650402.044781,18,49,77,3
1734650402.0448723,19,46,84,3
1734650402.0449634,20,46,81,3
1734650402.0450542,21,46,84,3
1734650402.045145,21,43,80,3
1734650402.045236,22,39,80,3
1734650402.0453272,22,37,76,3
1734650402.045418,22,35,73,3
1734650402.0455089,21,34,71,3
1734650402.0455995,21,35,74,3
1734650402.0456905,24,33,81,3
1734650402.0457802,23,36,84,3
1734650402.0458639,22,46,92,3
1734650402.0459483,21,43,85,3
1734650402.0460315,19,42,81,3
1734650402.0461159,18,44,79,3
1734650402.0461998,18,42,75,3
1734650402.0462828,17,41,72,3
1734650402.0463662,19,40,79,2
1734650402.0464497,19,41,75,3
1734650402.0465338,18,39,79,3
1734650402.0466175,18,42,83,3
1734650402.0467007,18,43,89,3
1734650402.046791,18,42,88,3
1734650402.0468736,17,40,82,3
1734650402.0469518,16,37,77,3
1734650402.0470288,16,35,77,3
1734650402.0471067,16,32,74,3
1734650402.0471852,17,38,72,3
1734650402.0472631,17,50,80,3
1734650402.0473413,17,48,96,3
1734650402.0474255,20,49,100,2
1734650402.0475104,21,45,102,2
1734650402.047588,22,42,98,3
1734650402.047667,21,40,94,3
1734650402.047741,20,38,99,3
1734650402.047832,21,35,93,4
1734650402.0479064,23,37,92,4
1734650402.0479803,23,45,91,4
1734650402.048053,23,60,88,3
1734650402.0481322,23,67,105,4
1734650402.0482109,28,66,109,9
1734650402.0482898,32,62,114,9
1734650402.0483754,46,57,126,13
1734650402.0484612,49,54,128,15
1734650402.0485468,65,51,164,20
1734650402.0486317,65,48,178,21
1734650402.0487165,72,46,174,21
1734650402.0488045,67,44,206,21
1734650402.0488842,76,50,204,23
1734650402.048964,74,49,216,22
1734650402.0490437,71,49,274,19
1734650402.0491292,103,53,283,26
1734650402.04921,97,52,300,23
1734650402.04929,95,50,309,20
1734650402.0493696,92,61,334,18
1734650402.0494494,84,61,399,16
1734650402.0495288,76,58,384,18
1734650402.049608,74,64,410,18
1734650402.0496879,73,66,389,16
1734650402.0497625,68,70,364,19
1734650402.0498424,67,85,333,24
1734650402.0499172,64,82,354,23
1734650402.0499928,59,79,362,20
1734650402.050069,62,75,380,18
1734650402.050145,60,78,389,16
1734650402.0502203,67,78,368,16
1734650402.0502708,73,72,369,19
1734650402.0503,71,85,374,18
1734650402.050326,68,84,369,17
1734650402.0503523,70,84,407,14
1734650402.0503814,66,84,388,13
1734650402.050407,75,77,357,13
1734650402.0504324,69,83,387,11
1734650402.0504584,65,85,414,10
1734650402.0504842,71,84,380,14
1734650402.0505114,66,120,475,12
1734650402.0505385,67,119,453,14
1734650402.050566,66,110,417,13
1734650402.0505934,68,105,453,15
1734650402.0506203,68,106,444,13
1734650402.050648,67,100,459,12
1734650402.0506737,75,94,456,12
1734650402.0506992,70,95,426,11
1734650402.0507255,64,90,386,10
1734650402.0507512,70,97,375,12
1734650402.0507805,67,104,383,11
1734650402.0508084,70,100,388,10
1734650402.0508337,69,94,384,10
1734650402.050858,66,93,380,9
1734650402.0508833,72,95,398,10
1734650402.0509098,69,96,365,9
1734650402.0614433,67,89,413,8
1734650402.0710392,62,88,371,8
1734650402.0809042,60,84,351,9
1734650402.0911632,57,87,371,9
1734650402.1011145,54,93,359,8
1734650402.1111999,57,88,349,10
1734650402.1214056,61,87,367,14
1734650402.1313093,58,84,357,12
1734650402.1415339,57,79,347,11
1734650402.1513805,53,79,372,10
1734650402.161252,49,78,374,9
1734650402.1712313,46,78,373,9
1734650402.181464,43,90,344,9
1734650402.1913893,42,93,352,7
1734650402.2016082,41,115,319,8
1734650402.211428,50,109,342,8
1734650402.2215593,60,103,336,11
1734650402.2316864,59,100,317,12
1734650402.2416244,61,97,328,11
1734650402.2518392,58,89,308,11
1734650402.2614903,62,83,312,10
1734650402.271501,56,77,315,9
1734650402.2815006,53,77,312,8
1734650402.2914045,56,78,332,7
1734650402.3014596,55,83,365,7
1734650402.311416,57,82,349,7
1734650402.321266,67,80,349,11
1734650402.3315783,61,78,352,13
1734650402.3414948,58,73,327,12
1734650402.3515437,55,76,369,12
1734650402.3616095,52,82,365,11
1734650402.3714375,52,81,422,10
1734650402.381404,52,85,393,11
1734650402.3914814,54,83,381,12
1734650402.4014895,51,82,361,10
1734650402.4115474,51,83,341,10
1734650402.4213886,50,88,364,9
1734650402.431465,46,82,359,8
1734650402.4414768,60,84,350,13
1734650402.451397,74,89,385,22
1734650402.461526,71,85,398,20
1734650402.4715009,67,87,371,17
1734650402.4814484,61,85,371,15
1734650402.49131,57,93,364,13
1734650402.5014207,58,88,356,12
1734650402.5114288,63,90,353,11
1734650402.5213966,62,85,356,11
1734650402.5314496,66,81,375,11
1734650402.541382,63,75,376,10
1734650402.551363,71,74,354,12
