timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734652411.2628949,13,19,107,3
1734652411.263073,13,19,108,3
1734652411.2632434,14,19,106,3
1734652411.2634094,16,21,118,3
1734652411.2635784,16,22,121,3
1734652411.2637255,18,22,124,3
1734652411.2638843,20,22,122,3
1734652411.2640312,20,22,124,3
1734652411.2641776,20,32,163,3
1734652411.2643244,21,41,163,2
1734652411.2644706,21,41,150,3
1734652411.264616,21,39,157,3
1734652411.2647598,24,52,185,8
1734652411.2649083,25,56,204,11
1734652411.2650378,24,61,207,9
1734652411.2651784,25,66,203,10
1734652411.2653081,25,63,211,9
1734652411.2654371,30,61,209,9
1734652411.2655659,31,55,190,9
1734652411.2656813,34,54,180,9
1734652411.2658136,48,52,172,13
1734652411.2659378,48,47,181,12
1734652411.2660623,47,48,185,10
1734652411.266187,48,46,174,11
1734652411.2663107,48,46,161,10
1734652411.266436,52,45,210,10
1734652411.266561,67,44,250,17
1734652411.2666867,71,48,269,17
1734652411.2668326,71,45,261,15
1734652411.2669506,66,48,270,13
1734652411.267065,59,48,280,12
1734652411.267179,53,44,307,10
1734652411.2672837,49,42,304,9
1734652411.2673905,48,39,284,8
1734652411.2674954,45,39,296,8
1734652411.2676013,42,40,275,7
1734652411.2677064,41,42,287,6
1734652411.267812,37,42,269,6
1734652411.2679114,36,47,254,5
1734652411.2680073,35,51,257,5
1734652411.2681034,34,53,267,5
1734652411.268201,32,50,240,8
1734652411.268297,30,53,238,7
1734652411.268394,29,49,218,7
1734652411.2684908,32,50,239,6
1734652411.2685888,33,52,239,6
1734652411.2686777,32,50,223,5
1734652411.268766,30,52,203,5
1734652411.2688754,28,59,211,5
1734652411.2689645,27,58,214,5
1734652411.2690527,26,56,209,4
1734652411.2691414,27,57,210,4
1734652411.26923,26,57,219,4
1734652411.2693205,26,56,227,4
1734652411.2694094,26,58,253,4
1734652411.2694979,26,58,299,4
1734652411.2695868,26,55,271,3
1734652411.2696753,30,54,249,4
1734652411.2697647,31,52,224,4
1734652411.2698247,29,54,216,4
1734652411.2698524,27,57,218,3
1734652411.269876,26,56,204,3
1734652411.2698996,26,53,195,3
1734652411.269923,26,56,200,3
1734652411.2699468,26,54,205,3
1734652411.269971,25,54,220,3
1734652411.2699943,24,53,203,3
1734652411.2700179,27,50,200,3
1734652411.2700417,33,46,183,3
1734652411.270065,32,44,176,3
1734652411.2700913,30,50,171,3
1734652411.270116,27,47,192,3
1734652411.2701423,27,49,192,3
1734652411.2701674,26,51,206,3
1734652411.2701912,25,49,204,3
1734652411.2702153,24,47,186,3
1734652411.2702389,26,47,209,3
1734652411.270265,25,46,209,3
1734652411.2702897,27,43,198,3
1734652411.270314,26,41,185,3
1734652411.2703385,24,40,167,3
1734652411.2703629,23,39,164,3
1734652411.270387,23,39,166,3
1734652411.2704144,21,41,158,3
1734652411.2704384,21,39,148,3
1734652411.2704623,21,38,159,3
1734652411.2704859,20,36,163,3
1734652411.270512,20,34,161,3
1734652411.2705355,19,35,150,3
1734652411.2705588,19,33,147,3
1734652411.2705817,20,36,144,3
1734652411.2706053,21,37,146,2
1734652411.2706285,21,41,153,3
1734652411.2706518,20,39,161,3
1734652411.2706754,22,40,151,3
1734652411.2706988,25,38,146,3
1734652411.2707222,27,41,194,3
1734652411.2707453,26,41,185,3
1734652411.270769,25,39,179,3
1734652411.2707963,28,40,191,3
1734652411.2708194,28,39,171,3
1734652411.27424,26,37,162,3
1734652411.2841654,25,36,164,3
1734652411.294161,25,35,166,3
1734652411.3041205,24,35,153,3
1734652411.314137,23,35,142,3
1734652411.3242614,23,34,177,3
1734652411.3342533,23,38,164,3
1734652411.3443253,23,36,147,3
1734652411.354339,26,35,164,3
1734652411.364638,30,33,152,3
1734652411.3744957,31,32,144,3
1734652411.3843715,29,30,132,3
1734652411.3944662,31,29,137,2
1734652411.404489,31,29,144,3
1734652411.4145322,31,31,159,3
1734652411.4244711,29,32,181,3
1734652411.434463,28,31,179,3
1734652411.4444087,27,31,160,3
1734652411.4545524,26,30,174,3
1734652411.4644194,27,30,172,3
1734652411.4744594,27,29,183,3
1734652411.4844048,27,28,166,2
1734652411.4944825,26,27,168,3
1734652411.5044599,25,31,161,3
1734652411.514457,27,37,165,3
1734652411.5244553,25,40,182,3
1734652411.5344684,23,38,172,3
1734652411.5444744,23,37,177,3
1734652411.554478,22,34,178,3
1734652411.5645475,23,32,165,3
1734652411.5745306,23,32,149,3
1734652411.5844636,22,31,135,3
1734652411.5943415,21,29,129,3
1734652411.604398,19,27,137,3
1734652411.6144292,21,30,152,3
1734652411.624591,20,31,140,3
1734652411.634393,20,32,132,3
1734652411.6445017,20,35,143,3
1734652411.6545162,20,33,146,3
1734652411.6645303,20,33,149,3
1734652411.6745777,23,32,169,3
1734652411.684661,23,32,174,3
1734652411.6943655,21,31,156,3
1734652411.704254,21,30,144,3
1734652411.7143276,20,29,149,3
1734652411.7244542,20,31,154,3
1734652411.7342339,20,32,149,3
1734652411.744215,20,30,137,3
1734652411.7541206,20,30,148,3
1734652411.7643127,20,29,156,3
