timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734669704.096584,19,39,83,3
1734669704.0967805,19,53,83,3
1734669704.0970054,19,50,82,3
1734669704.097157,20,45,76,3
1734669704.0973165,21,41,76,3
1734669704.0974803,23,38,76,3
1734669704.0976603,22,36,100,3
1734669704.097849,25,40,105,3
1734669704.0979965,25,41,98,3
1734669704.098147,24,43,92,3
1734669704.0982983,25,40,86,3
1734669704.09845,26,37,83,3
1734669704.0985982,25,34,78,3
1734669704.0987418,27,33,76,4
1734669704.0988798,29,38,80,4
1734669704.0990036,31,39,76,4
1734669704.0991282,32,37,76,4
1734669704.0992677,35,35,79,4
1734669704.099409,39,33,79,5
1734669704.0995545,46,32,86,5
1734669704.099713,68,33,82,18
1734669704.0998716,69,36,93,16
1734669704.1000154,70,33,97,15
1734669704.1001575,69,31,99,15
1734669704.1003118,71,30,114,19
1734669704.1004663,68,31,117,22
1734669704.1006103,62,32,119,19
1734669704.1007674,59,34,135,18
1734669704.10087,57,37,153,16
1734669704.100957,56,39,159,14
1734669704.101045,55,42,158,13
1734669704.1011314,51,47,165,12
1734669704.1012309,53,52,157,11
1734669704.101319,52,58,153,11
1734669704.1014075,49,60,147,10
1734669704.1014948,50,56,149,10
1734669704.1015809,51,51,145,10
1734669704.1016624,51,47,151,9
1734669704.1017516,55,51,164,14
1734669704.1018443,54,62,157,14
1734669704.1019273,60,60,146,16
1734669704.1020098,58,70,153,15
1734669704.1020932,55,77,160,13
1734669704.1021287,50,72,152,11
1734669704.1021566,47,73,168,10
1734669704.1021798,45,81,171,9
1734669704.1022034,50,74,164,9
1734669704.1022272,55,68,148,9
1734669704.1022522,55,62,140,11
1734669704.1022773,55,60,146,13
1734669704.1023026,50,60,156,12
1734669704.1023276,47,61,172,11
1734669704.1023512,44,62,177,9
1734669704.1023753,42,68,180,9
1734669704.1023984,44,68,179,8
1734669704.1024232,45,63,184,8
1734669704.1024578,42,58,166,7
1734669704.102491,50,67,187,9
1734669704.1025248,53,75,225,9
1734669704.10256,51,71,218,12
1734669704.102585,46,65,201,11
1734669704.1026099,50,60,185,10
1734669704.1026335,49,74,176,9
1734669704.1026576,47,78,168,8
1734669704.1026952,50,72,173,8
1734669704.1027317,45,73,171,7
1734669704.1027553,42,73,167,7
1734669704.102779,48,67,162,7
1734669704.1028078,51,61,150,6
1734669704.1028311,47,55,140,6
1734669704.102855,49,54,167,7
1734669704.102878,50,58,168,7
1734669704.102902,46,54,158,7
1734669704.1029255,50,58,158,7
1734669704.1029496,49,75,184,7
1734669704.1029732,48,78,178,7
1734669704.1029968,45,72,173,9
1734669704.1030219,42,69,173,8
1734669704.1030457,47,63,169,7
1734669704.1030724,55,57,162,7
1734669704.1030977,52,55,149,8
1734669704.1031258,49,51,160,11
1734669704.1031508,45,47,152,10
1734669704.1031764,42,49,149,10
1734669704.1032002,45,50,159,9
1734669704.1032238,43,59,164,8
1734669704.1032474,50,58,178,9
1734669704.103271,51,55,175,8
1734669704.1032946,47,51,169,7
1734669704.1033185,56,47,164,8
1734669704.1033442,55,50,184,10
1734669704.1033707,52,49,181,10
1734669704.103395,48,49,174,9
1734669704.1034203,47,50,180,8
1734669704.1034439,45,67,195,8
1734669704.1034677,43,71,191,7
1734669704.1034913,41,67,179,6
1734669704.1035154,40,61,172,6
1734669704.1035395,45,56,161,6
1734669704.1035633,53,50,148,6
1734669704.103587,54,48,141,8
1734669704.113182,53,53,176,8
1734669704.1232574,50,53,174,7
1734669704.1331494,44,60,168,6
1734669704.143105,43,61,174,6
1734669704.1532156,39,63,184,6
1734669704.1631606,37,67,170,5
1734669704.1733983,46,62,160,6
1734669704.1833804,44,61,164,5
1734669704.1933005,42,57,163,7
1734669704.2036517,41,52,151,7
1734669704.2136078,41,48,136,8
1734669704.2236488,39,45,132,9
1734669704.233445,38,46,142,8
1734669704.243492,37,52,144,7
1734669704.2533855,35,56,152,6
1734669704.2633553,40,56,149,6
1734669704.2734752,40,55,150,6
1734669704.2834508,40,56,139,6
1734669704.2933536,44,51,127,7
1734669704.3034728,47,47,117,8
1734669704.3137007,44,44,110,11
1734669704.3237484,51,49,126,13
1734669704.333772,48,45,165,12
1734669704.3436632,44,49,168,11
1734669704.3535857,43,60,172,9
1734669704.363491,41,63,158,9
1734669704.373418,40,58,146,9
1734669704.3834655,39,56,148,9
1734669704.393629,41,60,151,9
1734669704.4034517,42,55,147,8
1734669704.413217,51,56,170,8
1734669704.4231517,50,60,160,7
1734669704.4331717,48,57,154,8
1734669704.443125,43,59,167,7
1734669704.4534056,42,58,166,6
1734669704.4632423,44,61,192,7
1734669704.4731796,42,62,184,8
1734669704.4834414,45,57,168,8
1734669704.4934285,45,53,156,9
1734669704.5036213,45,48,151,8
1734669704.5135968,43,58,157,8
1734669704.523554,42,57,172,7
1734669704.5335875,41,55,165,8
1734669704.5436523,40,53,166,9
1734669704.5535858,42,50,189,8
1734669704.5633662,45,49,184,8
1734669704.5734534,42,46,172,7
1734669704.5833747,43,49,179,8
1734669704.5933526,43,48,168,8
1734669704.6035976,41,47,162,7
