timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734657151.0273762,33,36,74,51
1734657151.0275016,32,34,73,51
1734657151.0276299,32,32,75,53
1734657151.0277364,31,34,70,51
1734657151.0278833,32,33,65,51
1734657151.0279913,31,34,74,52
1734657151.0280993,32,33,73,55
1734657151.0282056,33,35,69,56
1734657151.0283127,33,36,68,57
1734657151.0284212,33,35,73,58
1734657151.0285265,34,37,74,61
1734657151.028633,35,39,68,60
1734657151.028739,36,39,63,62
1734657151.028853,37,37,60,63
1734657151.028949,38,35,57,65
1734657151.029046,39,35,61,66
1734657151.0291426,41,36,61,65
1734657151.0292385,41,36,58,67
1734657151.029334,41,41,56,69
1734657151.0294309,42,41,61,69
1734657151.029528,43,43,62,69
1734657151.029626,42,41,59,68
1734657151.0297232,42,38,57,70
1734657151.029827,43,36,54,67
1734657151.0299175,43,35,63,66
1734657151.0300074,43,35,67,67
1734657151.030097,43,34,66,70
1734657151.030187,42,33,66,66
1734657151.0302775,43,35,63,66
1734657151.0303671,43,35,65,67
1734657151.0304565,43,33,62,69
1734657151.0305452,43,32,58,69
1734657151.0306363,43,32,59,66
1734657151.0307202,42,30,74,67
1734657151.0308087,42,29,72,71
1734657151.0308912,42,29,70,68
1734657151.0309744,41,28,69,65
1734657151.031057,40,27,66,65
1734657151.0311399,41,26,64,69
1734657151.0312223,41,27,62,68
1734657151.0313046,56,26,63,66
1734657151.031388,56,27,60,67
1734657151.0314717,55,25,64,69
1734657151.0315557,53,25,64,70
1734657151.0316389,51,24,65,72
1734657151.0317228,50,25,62,73
1734657151.0318055,50,24,68,75
1734657151.0318823,49,25,64,74
1734657151.0319605,48,24,71,73
1734657151.0320387,47,24,69,75
1734657151.0321162,47,24,68,78
1734657151.0321946,46,24,65,77
1734657151.032272,46,24,65,77
1734657151.0323508,46,24,74,79
1734657151.0324287,46,23,70,82
1734657151.0325058,46,22,66,82
1734657151.0325837,46,22,63,83
1734657151.0326607,45,22,63,83
1734657151.0327404,45,22,64,84
1734657151.0328174,44,21,65,82
1734657151.032889,44,21,63,81
1734657151.0329611,44,20,68,82
1734657151.0329938,43,20,67,83
1734657151.033016,43,20,63,81
1734657151.0330384,43,20,62,82
1734657151.0330613,44,19,65,83
1734657151.0330837,44,20,65,84
1734657151.033106,44,20,66,83
1734657151.0331283,45,20,64,83
1734657151.0331507,45,19,61,83
1734657151.0331733,45,20,65,84
1734657151.0331955,43,19,70,80
1734657151.033218,42,19,66,77
1734657151.0332403,41,19,63,75
1734657151.0332625,41,21,66,74
1734657151.0332854,41,21,76,73
1734657151.0333102,41,20,73,73
1734657151.033336,41,20,70,73
1734657151.033358,42,20,66,75
1734657151.0333807,41,19,66,74
1734657151.0334039,41,21,65,74
1734657151.0334265,40,21,69,74
1734657151.0334487,42,22,67,77
1734657151.0334713,42,22,62,77
1734657151.0334935,42,22,64,76
1734657151.033516,41,23,63,77
1734657151.0335388,41,25,66,79
1734657151.033561,40,26,70,76
1734657151.0335832,41,26,66,74
1734657151.0336056,41,25,64,72
1734657151.0336282,42,24,67,76
1734657151.0336506,40,24,69,73
1734657151.0336733,39,26,67,69
1734657151.033696,39,26,63,70
1734657151.0337188,38,25,60,73
1734657151.0337415,38,26,57,72
1734657151.0337641,39,28,56,72
1734657151.0337882,39,27,56,73
1734657151.0338109,40,26,60,76
1734657151.0338333,40,28,72,75
1734657151.033856,40,30,74,74
1734657151.043724,40,29,72,72
1734657151.053589,39,28,70,75
1734657151.0635042,40,26,68,73
1734657151.0735462,39,27,70,71
1734657151.0835881,40,27,66,72
1734657151.0935194,40,27,63,75
1734657151.103772,41,27,58,74
1734657151.1138957,42,27,55,74
1734657151.1239078,42,26,52,74
1734657151.1338155,43,25,51,77
1734657151.1439743,44,25,48,77
1734657151.1539552,45,27,48,75
1734657151.1639228,46,27,49,77
1734657151.1740232,46,26,55,80
1734657151.1837976,48,26,54,78
1734657151.1939042,47,35,61,78
1734657151.2037628,47,39,75,78
1734657151.2139702,46,38,82,80
1734657151.2237012,46,37,89,77
1734657151.2337134,47,35,83,76
1734657151.2438982,47,34,76,76
1734657151.2539072,47,30,74,80
1734657151.2637477,46,30,70,77
1734657151.2739124,46,29,67,73
1734657151.2838335,45,28,65,71
1734657151.2938757,45,28,63,74
1734657151.3038325,44,26,57,70
1734657151.3139312,44,26,58,68
1734657151.3238587,44,25,61,69
1734657151.3338497,43,23,59,72
1734657151.3438706,42,23,58,68
1734657151.353952,40,23,65,63
1734657151.3637536,40,23,63,63
1734657151.3738582,41,23,61,67
1734657151.3838105,40,24,60,66
1734657151.393925,39,24,59,65
1734657151.4039154,40,24,57,66
1734657151.4138532,39,23,59,69
1734657151.423839,38,26,69,66
1734657151.4339015,38,25,66,63
1734657151.4439445,38,24,62,65
1734657151.4539292,38,23,60,67
1734657151.4639242,37,23,58,67
1734657151.4738867,37,23,58,64
1734657151.483761,37,24,64,65
1734657151.4937627,37,24,67,68
1734657151.5036983,37,24,65,64
1734657151.5137563,36,23,61,61
1734657151.5237203,36,23,58,62
1734657151.5338187,36,22,55,67
