timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734657332.2915113,21,46,76,3
1734657332.291589,20,43,79,3
1734657332.2916753,21,52,82,3
1734657332.2917483,20,62,80,3
1734657332.2918448,19,66,80,3
1734657332.2919183,20,60,76,3
1734657332.2919912,21,56,75,3
1734657332.2920632,22,52,71,3
1734657332.292136,23,50,73,3
1734657332.292209,25,48,84,3
1734657332.292281,26,56,82,3
1734657332.2923536,26,60,79,3
1734657332.2924254,25,57,77,3
1734657332.2924986,25,53,72,3
1734657332.2925663,25,51,80,3
1734657332.2926335,23,52,84,3
1734657332.2927008,23,54,95,3
1734657332.2927682,23,55,89,3
1734657332.2928407,22,50,89,3
1734657332.2929144,21,47,102,3
1734657332.292988,21,58,130,3
1734657332.2930608,20,69,124,3
1734657332.2931335,22,66,118,5
1734657332.2932081,25,63,116,5
1734657332.2932813,36,63,119,5
1734657332.2933547,43,78,141,4
1734657332.2934287,42,76,135,4
1734657332.2935083,39,100,134,4
1734657332.2935777,43,93,143,4
1734657332.2936463,44,89,154,4
1734657332.293715,43,93,166,5
1734657332.2937953,43,124,207,8
1734657332.29387,43,119,194,9
1734657332.2939444,43,116,195,9
1734657332.2940207,42,131,220,8
1734657332.2940953,41,157,218,7
1734657332.2941694,50,206,283,9
1734657332.2942436,54,211,287,9
1734657332.2943172,61,231,314,9
1734657332.2943919,64,260,305,8
1734657332.2944713,62,328,319,11
1734657332.2945511,58,291,295,11
1734657332.294631,59,303,322,13
1734657332.2947109,73,313,291,12
1734657332.294793,79,318,270,12
1734657332.294873,76,360,294,11
1734657332.294954,73,357,347,11
1734657332.2950342,70,368,337,10
1734657332.295114,69,477,346,12
1734657332.2951925,76,455,349,15
1734657332.2952757,85,424,328,14
1734657332.2953548,93,442,309,13
1734657332.2954342,87,491,344,13
1734657332.295514,78,439,326,12
1734657332.2955937,73,478,322,11
1734657332.2956727,73,491,344,12
1734657332.295752,71,494,384,11
1734657332.2958376,70,444,375,10
1734657332.2959166,67,540,445,12
1734657332.2959952,91,557,457,12
1734657332.2960744,96,566,449,11
1734657332.2961533,91,580,440,10
1734657332.2962282,85,622,457,9
1734657332.296308,84,613,464,11
1734657332.296387,80,669,469,11
1734657332.2964706,81,715,439,16
1734657332.2965515,78,635,407,19
1734657332.29663,89,625,430,19
1734657332.296709,86,613,432,19
1734657332.296793,83,548,387,18
1734657332.296876,80,486,359,16
1734657332.296955,80,488,371,18
1734657332.2970347,73,484,377,17
1734657332.297114,72,464,362,16
1734657332.2971942,69,417,364,16
1734657332.2972755,66,402,343,15
1734657332.2973564,65,390,340,15
1734657332.2974372,76,396,334,15
1734657332.2975175,87,463,339,17
1734657332.297598,80,508,352,16
1734657332.297677,75,481,328,14
1734657332.297756,71,565,323,13
1734657332.29784,67,598,326,16
1734657332.297921,60,535,295,16
1734657332.298002,62,475,269,15
1734657332.2980824,59,483,265,16
1734657332.2981517,63,491,271,15
1734657332.2981813,60,438,250,14
1734657332.2982094,56,394,238,12
1734657332.2982388,54,418,253,12
1734657332.2982671,55,475,290,11
1734657332.2982953,56,436,325,16
1734657332.298324,54,419,346,14
1734657332.2983525,54,430,347,13
1734657332.298381,52,442,327,12
1734657332.2984097,55,416,320,11
1734657332.298437,56,425,322,10
1734657332.2984643,64,529,354,10
1734657332.29849,62,580,343,9
1734657332.2985156,58,592,350,8
1734657332.2985425,59,637,393,14
1734657332.3083143,56,615,433,15
1734657332.3182938,55,547,415,14
1734657332.3283157,58,514,403,13
1734657332.3383465,55,501,399,13
1734657332.3482852,52,517,392,12
1734657332.3581817,48,484,362,13
1734657332.368421,46,486,349,14
1734657332.378621,44,460,350,12
1734657332.388875,46,465,361,11
1734657332.3986232,46,420,325,10
1734657332.408531,50,457,338,15
1734657332.4188542,53,440,316,14
1734657332.4285583,52,450,308,12
1734657332.4386923,49,454,313,12
1734657332.4485517,47,482,307,11
1734657332.4589367,46,477,368,13
1734657332.468644,47,479,365,13
1734657332.4789333,45,447,353,12
1734657332.4889348,53,392,319,12
1734657332.498943,51,358,313,12
1734657332.5088832,53,453,323,11
1734657332.5189505,54,463,324,11
1734657332.5288622,55,428,323,10
1734657332.5386152,51,437,305,8
1734657332.548552,53,417,298,9
1734657332.558564,54,424,318,16
1734657332.5689864,55,388,309,17
1734657332.5788825,51,355,285,17
1734657332.5889077,52,346,283,15
1734657332.5989025,53,375,292,13
1734657332.6086707,50,365,325,12
1734657332.6185932,49,434,357,13
1734657332.6286256,48,437,362,12
1734657332.638675,47,400,335,13
1734657332.6488621,52,393,324,14
1734657332.658493,57,383,298,14
1734657332.6684964,57,387,277,15
1734657332.6785026,58,394,270,13
1734657332.6884596,61,548,367,11
1734657332.6984305,57,538,388,11
1734657332.7085245,53,512,357,10
1734657332.7185454,49,452,319,11
1734657332.728664,53,477,344,13
1734657332.7387662,56,502,365,12
1734657332.748851,54,459,355,12
1734657332.7588258,54,436,319,15
1734657332.7688978,50,386,310,14
1734657332.7787492,47,375,303,13
1734657332.7885287,45,373,327,12
1734657332.7984178,45,381,321,11
