timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734668628.5625393,27,43,96,3
1734668628.5627382,27,40,98,3
1734668628.562979,27,41,93,3
1734668628.5631611,28,44,88,2
1734668628.5633461,28,45,91,3
1734668628.563531,30,47,99,3
1734668628.563691,29,46,94,3
1734668628.563876,29,46,100,3
1734668628.564044,31,43,101,3
1734668628.5641997,34,40,94,3
1734668628.5643559,35,38,90,3
1734668628.5644975,35,35,85,3
1734668628.5646372,35,33,84,3
1734668628.564775,36,33,84,3
1734668628.5649219,35,34,81,3
1734668628.565061,35,38,92,3
1734668628.5651963,34,44,90,3
1734668628.565334,34,41,85,3
1734668628.5654674,33,38,85,3
1734668628.5655885,32,47,85,3
1734668628.5657086,32,51,86,3
1734668628.5658379,34,57,94,3
1734668628.5659602,36,56,93,3
1734668628.566083,35,52,90,3
1734668628.566207,34,55,86,3
1734668628.5663297,33,50,83,3
1734668628.5664504,31,47,85,3
1734668628.5665646,31,47,90,3
1734668628.566674,31,44,97,3
1734668628.5667834,30,47,96,3
1734668628.5669005,29,53,96,3
1734668628.5670102,29,48,90,3
1734668628.567119,31,51,94,3
1734668628.5672302,30,65,92,3
1734668628.5673354,30,74,92,3
1734668628.5674345,31,72,96,3
1734668628.5675433,30,75,101,3
1734668628.5676408,29,69,99,4
1734668628.5677505,29,63,110,4
1734668628.5678647,27,58,110,4
1734668628.5679736,28,52,105,4
1734668628.568084,30,65,124,3
1734668628.5681918,30,68,118,4
1734668628.5683005,28,61,110,3
1734668628.5684037,30,58,123,3
1734668628.5685017,31,54,117,3
1734668628.5686016,30,57,114,3
1734668628.5687013,30,54,110,3
1734668628.5688045,28,48,105,3
1734668628.568828,29,46,110,3
1734668628.5688515,33,43,109,3
1734668628.568875,35,45,105,3
1734668628.568899,38,48,106,4
1734668628.568925,44,45,104,4
1734668628.568952,46,45,100,5
1734668628.5689762,44,52,108,7
1734668628.5690014,46,48,104,12
1734668628.5690253,54,46,97,11
1734668628.569049,54,53,93,12
1734668628.5690727,67,65,94,18
1734668628.5690982,81,72,105,24
1734668628.5691257,95,119,125,28
1734668628.5691533,99,131,136,32
1734668628.5691805,96,126,147,29
1734668628.569209,101,133,152,34
1734668628.5692396,111,131,188,41
1734668628.5692685,113,147,191,37
1734668628.5692973,115,193,194,43
1734668628.5693264,112,219,227,46
1734668628.5693576,112,225,225,48
1734668628.5693882,107,251,216,43
1734668628.5694175,105,238,221,41
1734668628.5694487,114,212,230,50
1734668628.5694778,112,233,222,51
1734668628.569507,116,212,217,49
1734668628.5695384,110,199,221,45
1734668628.5695677,107,255,210,46
1734668628.569598,105,274,205,42
1734668628.5696278,109,247,192,42
1734668628.569657,110,243,178,38
1734668628.569687,104,219,169,35
1734668628.5697148,99,206,190,30
1734668628.569744,100,220,184,29
1734668628.5697744,102,213,181,32
1734668628.5698085,117,206,163,32
1734668628.5698376,124,188,159,35
1734668628.5698688,119,186,153,32
1734668628.5698974,108,186,141,29
1734668628.5699286,100,211,143,26
1734668628.5699594,97,213,159,25
1734668628.5699902,114,231,170,36
1734668628.5700207,104,217,171,32
1734668628.5700634,109,192,164,34
1734668628.5700936,106,174,168,34
1734668628.5701225,104,168,179,35
1734668628.570152,105,161,167,37
1734668628.5701818,99,149,157,32
1734668628.5702126,106,165,156,34
1734668628.5702426,110,253,189,32
1734668628.5702755,103,276,231,29
1734668628.5703056,94,258,218,25
1734668628.5797102,89,229,196,30
1734668628.5897481,86,207,185,33
1734668628.5996711,92,184,170,34
1734668628.6097126,93,163,164,36
1734668628.6199255,86,147,150,33
1734668628.6298838,95,145,149,32
1734668628.6398542,96,153,161,32
1734668628.650033,89,223,177,29
1734668628.6596124,82,216,182,25
1734668628.669671,78,217,195,24
1734668628.6795912,75,214,199,21
1734668628.6898952,79,192,194,21
1734668628.699931,89,171,186,21
1734668628.7098384,87,153,172,18
1734668628.719911,81,140,159,17
1734668628.729702,77,128,146,16
1734668628.739732,74,161,143,14
1734668628.7498376,76,179,179,18
1734668628.7598295,78,209,220,20
1734668628.7699351,84,203,208,19
1734668628.7799122,80,227,218,17
1734668628.7901325,78,208,214,18
1734668628.8001611,79,191,197,16
1734668628.810108,89,171,179,20
1734668628.8199186,95,152,175,24
1734668628.8300738,88,142,164,22
1734668628.840106,87,150,154,21
1734668628.8501334,86,171,170,19
1734668628.8600686,79,248,194,17
1734668628.8700578,77,241,212,18
1734668628.879467,79,232,193,18
1734668628.889399,84,256,201,22
1734668628.8994396,90,242,198,25
1734668628.9094172,88,217,184,24
1734668628.9195337,83,190,170,22
1734668628.9298732,74,172,171,19
1734668628.9396715,71,171,162,17
1734668628.949666,80,188,168,18
1734668628.9597495,87,223,191,16
1734668628.9694872,89,226,197,14
1734668628.9798534,81,210,188,15
1734668628.989863,77,186,170,13
1734668628.9996707,85,167,165,12
1734668629.0096629,87,155,174,13
1734668629.0196838,86,154,165,17
1734668629.0297573,80,147,151,15
1734668629.0397646,79,134,144,13
1734668629.0496993,74,130,132,12
1734668629.05962,73,156,145,12
1734668629.0697246,99,264,220,21
