timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734656270.5702376,18,43,100,3
1734656270.570365,19,62,113,3
1734656270.5704882,19,59,124,3
1734656270.5706081,20,64,118,3
1734656270.5707262,24,60,113,3
1734656270.5708828,25,61,119,3
1734656270.5710034,26,61,117,5
1734656270.571132,28,61,130,5
1734656270.5712745,27,82,119,5
1734656270.5714087,29,85,119,9
1734656270.5715518,30,82,150,11
1734656270.5717049,47,83,191,20
1734656270.571859,48,78,231,22
1734656270.5719872,52,88,227,19
1734656270.572114,57,92,212,18
1734656270.5722427,57,91,201,15
1734656270.5723703,58,94,201,14
1734656270.5724978,76,94,215,29
1734656270.572626,81,99,218,29
1734656270.5727623,80,103,220,27
1734656270.5728981,83,96,226,24
1734656270.5730128,78,91,224,21
1734656270.5731285,80,93,208,19
1734656270.573244,81,93,192,24
1734656270.5733602,85,87,205,29
1734656270.573476,87,83,198,27
1734656270.573591,98,78,191,29
1734656270.5737069,91,77,189,25
1734656270.5738306,88,78,183,22
1734656270.5739398,80,75,206,20
1734656270.5740457,75,94,208,17
1734656270.5741584,84,100,238,21
1734656270.574264,76,93,239,18
1734656270.5743778,76,100,352,16
1734656270.5744917,82,101,395,16
1734656270.5745971,98,93,361,15
1734656270.5747032,98,86,390,13
1734656270.5748165,95,83,377,15
1734656270.5749214,88,77,351,17
1734656270.5750206,80,88,353,15
1734656270.5751245,73,121,380,13
1734656270.5752292,70,112,358,13
1734656270.575334,64,110,353,12
1734656270.5754383,75,109,347,11
1734656270.5755424,87,105,340,12
1734656270.5756388,93,98,337,12
1734656270.5757363,87,95,387,15
1734656270.57584,86,88,357,19
1734656270.5759437,81,103,363,22
1734656270.576037,79,98,337,23
1734656270.576134,86,102,309,31
1734656270.576231,89,109,350,28
1734656270.5763273,89,122,364,26
1734656270.5764256,96,111,348,24
1734656270.5765219,95,103,348,21
1734656270.576612,90,99,321,22
1734656270.5767024,90,91,347,21
1734656270.5767982,85,97,355,20
1734656270.5768955,76,125,325,19
1734656270.5769913,74,128,320,16
1734656270.577088,77,130,315,15
1734656270.5771806,71,123,328,14
1734656270.5772705,78,114,325,15
1734656270.5773609,89,109,307,23
1734656270.5774512,89,117,312,21
1734656270.5775423,91,114,357,24
1734656270.5776322,89,102,319,23
1734656270.5777159,83,92,309,22
1734656270.5778143,75,129,354,20
1734656270.5779045,70,140,363,18
1734656270.5779963,64,128,362,17
1734656270.5780854,64,113,356,19
1734656270.57817,75,111,363,18
1734656270.57825,72,99,338,17
1734656270.578329,74,94,325,21
1734656270.5784087,79,97,301,25
1734656270.5784943,75,107,326,22
1734656270.5785825,72,105,331,20
1734656270.5786672,67,108,328,18
1734656270.5787523,69,118,328,15
1734656270.5788414,69,121,332,15
1734656270.5789263,69,108,336,15
1734656270.579006,65,99,321,15
1734656270.5790858,65,92,328,14
1734656270.579166,64,86,322,12
1734656270.579246,71,78,326,16
1734656270.5793319,66,109,345,20
1734656270.5794215,69,120,358,20
1734656270.5795062,65,134,351,20
1734656270.5795906,61,125,342,17
1734656270.5796754,60,115,318,17
1734656270.5797606,61,116,332,17
1734656270.5798497,64,113,311,15
1734656270.5799358,62,111,285,14
1734656270.580021,60,100,298,18
1734656270.5801015,57,90,298,19
1734656270.5801816,60,96,317,16
1734656270.5802672,54,105,311,15
1734656270.5803528,52,105,300,13
1734656270.5804374,50,103,330,12
1734656270.5805233,52,106,368,16
1734656270.5879884,52,96,324,16
1734656270.597933,58,89,303,16
1734656270.6078887,59,102,363,19
1734656270.6180408,57,106,341,20
1734656270.6280277,52,98,320,21
1734656270.6381023,47,102,309,18
1734656270.6480355,46,94,333,17
1734656270.6581886,45,105,313,16
1734656270.6680903,46,98,304,15
1734656270.6784208,51,93,320,13
1734656270.6882777,69,86,314,12
1734656270.6982872,68,85,297,12
1734656270.7085593,64,102,279,12
1734656270.7185664,60,107,337,12
1734656270.7285628,59,110,361,12
1734656270.7385128,55,105,330,11
1734656270.748543,51,109,322,10
1734656270.758546,58,115,291,10
1734656270.7682543,60,108,315,10
1734656270.7781522,60,99,321,12
1734656270.7883196,58,94,288,13
1734656270.7984517,55,97,318,15
1734656270.8084664,50,112,309,13
1734656270.8183007,49,132,339,12
1734656270.8284185,48,130,325,10
1734656270.8384023,45,133,338,12
1734656270.8483465,43,139,333,13
1734656270.8584013,54,127,325,12
1734656270.8682163,57,112,328,13
1734656270.8781607,57,102,319,16
1734656270.8883438,53,100,297,18
1734656270.8985727,51,123,281,16
1734656270.9081585,50,152,309,19
1734656270.9182372,47,147,305,17
1734656270.928234,45,133,298,15
1734656270.9382794,51,124,288,18
1734656270.948315,51,130,328,16
1734656270.9581244,52,125,311,15
1734656270.9683406,49,114,276,15
1734656270.9784694,47,107,263,13
1734656270.9884994,46,105,301,14
1734656270.998456,51,107,287,13
1734656271.0083947,51,113,268,12
1734656271.0185735,47,124,259,11
1734656271.0284102,47,114,268,11
1734656271.0383198,45,116,262,9
1734656271.048422,47,111,296,9
1734656271.0581295,46,99,303,9
1734656271.068136,48,96,307,8
1734656271.0780563,50,103,282,8
