timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734669056.373418,17,34,65,3
1734669056.373499,17,31,63,3
1734669056.3735752,17,35,68,3
1734669056.3736544,17,46,66,3
1734669056.3737411,16,45,63,3
1734669056.3738658,16,43,60,3
1734669056.3739471,16,41,62,3
1734669056.3740273,16,39,60,3
1734669056.3741071,15,36,60,3
1734669056.3741868,15,34,57,3
1734669056.3742661,14,32,55,3
1734669056.3743455,14,33,54,3
1734669056.3744245,14,32,52,3
1734669056.3745046,20,30,51,7
1734669056.3745844,24,30,54,8
1734669056.3746636,25,28,51,8
1734669056.37475,27,33,51,12
1734669056.374839,52,48,64,21
1734669056.3749213,72,67,66,27
1734669056.3750026,70,82,65,25
1734669056.3750892,70,126,69,24
1734669056.3751755,75,120,69,23
1734669056.375261,77,123,78,24
1734669056.375347,75,125,75,22
1734669056.375433,70,116,70,20
1734669056.37552,69,118,67,21
1734669056.375606,67,125,70,22
1734669056.375689,67,122,69,20
1734669056.3757699,61,147,86,19
1734669056.3758552,57,148,89,17
1734669056.3759358,81,144,92,24
1734669056.3760223,86,138,114,28
1734669056.3761075,86,139,113,26
1734669056.3761969,81,166,109,23
1734669056.3762825,76,197,118,24
1734669056.376368,70,194,117,24
1734669056.3764532,64,181,125,24
1734669056.376539,64,215,122,24
1734669056.376625,64,298,124,22
1734669056.376711,63,322,113,21
1734669056.3768067,65,293,118,21
1734669056.376889,79,309,117,22
1734669056.3769877,77,304,124,20
1734669056.3770688,73,294,126,18
1734669056.3771493,66,261,124,16
1734669056.3772306,62,234,121,17
1734669056.377311,58,242,117,20
1734669056.3773916,56,293,136,22
1734669056.3774714,52,281,129,19
1734669056.3775527,58,313,153,18
1734669056.3776333,59,336,156,21
1734669056.3777144,56,298,141,21
1734669056.3777993,55,262,131,20
1734669056.3778806,61,235,124,26
1734669056.3779614,56,231,122,23
1734669056.3780425,59,263,129,20
1734669056.3781226,54,246,123,18
1734669056.3782036,51,245,127,17
1734669056.3782852,50,268,121,18
1734669056.378366,47,263,120,16
1734669056.3784463,44,253,123,15
1734669056.378528,43,233,117,17
1734669056.378609,48,212,107,18
1734669056.378691,49,204,105,18
1734669056.3787718,47,209,110,15
1734669056.3788595,45,223,117,13
1734669056.3789403,47,234,116,12
1734669056.3790224,44,237,131,11
1734669056.3791034,41,231,139,12
1734669056.3791838,41,204,130,12
1734669056.379265,52,200,124,16
1734669056.3793478,52,190,117,15
1734669056.379428,52,168,107,14
1734669056.3795116,48,148,104,15
1734669056.3795927,46,185,119,13
1734669056.3796742,48,194,135,13
1734669056.3797572,45,187,131,12
1734669056.3798392,43,200,123,11
1734669056.379866,42,184,117,10
1734669056.3798907,41,168,110,9
1734669056.3799171,43,157,111,12
1734669056.3799489,42,165,106,12
1734669056.3799777,42,176,113,14
1734669056.3800058,45,206,114,15
1734669056.3800342,47,243,122,14
1734669056.3800628,44,229,119,12
1734669056.380091,45,211,121,13
1734669056.3801193,43,201,116,13
1734669056.3801515,41,193,110,12
1734669056.3801785,39,175,106,14
1734669056.3802054,37,174,106,13
1734669056.3802328,37,167,116,13
1734669056.3802595,37,170,141,12
1734669056.3802872,36,224,144,11
1734669056.3803144,35,236,141,10
1734669056.3803413,38,227,145,12
1734669056.3803682,42,225,145,14
1734669056.3803954,39,197,140,12
1734669056.3804226,40,175,128,13
1734669056.3804529,39,157,124,13
1734669056.3804817,41,178,135,13
1734669056.387149,41,193,137,12
1734669056.3973565,38,187,130,11
1734669056.4073405,41,169,118,10
1734669056.4170961,41,187,127,10
1734669056.4271946,41,175,135,10
1734669056.4372573,37,172,129,10
1734669056.446921,37,154,119,9
1734669056.4570806,35,139,108,8
1734669056.4671037,37,124,113,9
1734669056.4772117,42,177,151,8
1734669056.4871666,43,185,148,8
1734669056.4971235,45,172,135,7
1734669056.507217,47,198,148,7
1734669056.5175552,50,210,165,7
1734669056.5275311,55,190,152,8
1734669056.5375314,52,178,137,8
1734669056.547576,49,160,125,9
1734669056.557299,47,145,117,9
1734669056.567455,45,177,112,9
1734669056.5774705,45,196,108,8
1734669056.5873451,43,197,109,7
1734669056.5972998,40,180,111,7
1734669056.6072738,39,221,110,6
1734669056.6172647,38,210,112,6
1734669056.6272528,38,190,105,5
1734669056.6373174,43,190,99,10
1734669056.6473963,42,194,96,15
1734669056.6573813,41,216,100,13
1734669056.6672714,41,203,98,13
1734669056.6773078,39,197,93,12
1734669056.6871476,37,209,103,10
1734669056.697105,37,217,109,9
1734669056.707126,34,194,103,8
1734669056.7171254,41,179,106,9
1734669056.7270262,41,179,129,8
1734669056.7370827,41,166,122,10
1734669056.7471554,39,161,113,12
1734669056.7571254,36,141,102,11
1734669056.7671547,38,138,127,10
1734669056.7771635,38,156,148,9
1734669056.7870784,37,165,155,9
1734669056.7970912,41,164,144,8
1734669056.8069017,38,146,129,7
1734669056.8169823,38,137,118,9
1734669056.826987,44,141,136,17
1734669056.8370612,45,158,141,15
1734669056.8470986,41,148,132,13
1734669056.857122,44,137,121,13
1734669056.8670108,44,141,131,12
1734669056.87702,43,163,151,11
