timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734672685.8870664,18,50,101,61
1734672685.8873124,17,46,96,55
1734672685.8875296,17,49,91,51
1734672685.8877418,17,54,86,46
1734672685.8879669,17,49,85,41
1734672685.8881826,18,53,96,37
1734672685.8884072,19,48,102,32
1734672685.8886065,22,49,97,30
1734672685.8888264,29,59,125,29
1734672685.8890412,36,64,122,33
1734672685.8892536,39,57,132,31
1734672685.8894649,42,56,140,27
1734672685.8896618,68,55,141,25
1734672685.8898668,68,51,140,27
1734672685.8900633,66,54,155,26
1734672685.8902733,139,57,192,58
1734672685.8904793,140,56,195,69
1734672685.8906755,137,53,191,64
1734672685.890877,159,50,221,64
1734672685.891074,151,52,222,60
1734672685.89127,137,49,274,55
1734672685.891466,141,53,295,48
1734672685.891651,128,51,300,45
1734672685.8918402,124,54,298,40
1734672685.892026,118,64,337,42
1734672685.8922136,117,66,353,38
1734672685.8923924,116,71,327,35
1734672685.892571,124,83,335,32
1734672685.8926463,115,83,363,29
1734672685.8927243,106,89,420,26
1734672685.8928072,103,93,416,24
1734672685.8928905,108,107,419,27
1734672685.8929765,119,238,474,217
1734672685.8930607,126,288,486,296
1734672685.8931453,132,272,525,262
1734672685.8932307,135,292,502,301
1734672685.8933165,130,265,473,273
1734672685.893401,124,248,465,241
1734672685.8934858,125,236,471,217
1734672685.8935707,123,220,495,197
1734672685.8936546,120,223,491,215
1734672685.8937387,111,208,457,199
1734672685.893837,101,203,436,181
1734672685.893924,105,190,420,160
1734672685.894008,109,182,416,147
1734672685.8940916,101,167,393,136
1734672685.8941753,106,157,357,123
1734672685.8942552,99,148,334,115
1734672685.8943336,93,158,377,133
1734672685.8944156,86,157,356,125
1734672685.8944943,78,150,346,114
1734672685.894572,79,158,408,102
1734672685.8946457,91,149,419,96
1734672685.8947196,91,138,413,91
1734672685.894805,108,131,390,80
1734672685.8948872,102,138,389,79
1734672685.8949604,95,137,398,74
1734672685.895034,90,136,395,69
1734672685.8951073,82,132,396,65
1734672685.8951807,84,133,410,59
1734672685.8952537,83,127,397,57
1734672685.895327,80,118,438,53
1734672685.8954015,79,114,428,50
1734672685.8954747,74,108,415,51
1734672685.895548,68,118,411,78
1734672685.895623,65,110,425,71
1734672685.8956962,73,105,405,64
1734672685.8957648,79,94,383,60
1734672685.8958368,81,91,365,59
1734672685.895907,75,92,345,59
1734672685.8959749,71,85,330,55
1734672685.8960438,77,85,329,50
1734672685.8961124,77,94,337,46
1734672685.8961864,76,104,324,44
1734672685.8962553,71,96,320,41
1734672685.8963242,69,97,342,36
1734672685.896397,71,109,357,37
1734672685.896472,77,128,343,37
1734672685.8965456,73,134,325,39
1734672685.8966193,67,128,351,38
1734672685.8966925,60,122,350,35
1734672685.8967667,55,117,313,32
1734672685.8968446,53,132,309,28
1734672685.8969202,59,144,357,25
1734672685.8969939,71,134,372,24
1734672685.8970675,69,121,373,26
1734672685.897141,74,121,364,25
1734672685.8972144,74,118,361,24
1734672685.8972878,69,110,375,26
1734672685.897361,68,104,365,23
1734672685.8974354,63,127,384,22
1734672685.8975096,60,133,420,20
1734672685.897584,58,124,403,18
1734672685.8976588,74,112,380,21
1734672685.8977334,84,120,341,27
1734672685.897813,81,132,369,27
1734672685.8978968,95,300,407,335
1734672685.8979766,98,356,442,440
1734672685.898056,94,323,438,391
1734672685.8981357,88,289,437,352
1734672685.8982162,93,263,454,318
1734672685.9045982,92,239,428,288
1734672685.9145253,85,214,402,262
1734672685.9246306,84,188,399,235
1734672685.9348626,82,174,371,217
1734672685.9446008,84,184,389,194
1734672685.954533,81,173,384,182
1734672685.964715,78,155,372,167
1734672685.974653,71,142,364,153
1734672685.9846685,71,132,335,142
1734672685.9946895,76,121,350,131
1734672686.0049813,76,120,347,123
1734672686.0150144,72,145,345,152
1734672686.0249698,67,134,334,139
1734672686.035022,67,132,310,130
1734672686.0450206,64,120,293,122
1734672686.0551207,59,115,281,112
1734672686.0649526,59,121,314,107
1734672686.0747788,57,113,300,99
1734672686.0849097,54,103,309,92
1734672686.0947793,54,108,309,84
1734672686.1049058,55,102,299,81
1734672686.1147504,69,102,302,75
1734672686.1250577,69,102,310,70
1734672686.1349554,76,101,300,66
1734672686.1449015,70,103,294,64
1734672686.1548553,69,103,287,59
1734672686.1647475,68,93,272,56
1734672686.1749492,69,108,264,90
1734672686.1847703,68,111,318,84
1734672686.194771,65,113,351,78
1734672686.2048178,69,109,330,72
1734672686.2144425,69,99,311,68
1734672686.2246802,65,92,298,62
1734672686.234688,80,94,294,58
1734672686.2448125,75,95,287,57
1734672686.2548423,69,89,306,53
1734672686.2648742,68,86,294,49
1734672686.2749417,73,101,327,47
1734672686.2848673,67,107,313,43
1734672686.2945876,63,99,306,40
1734672686.3048532,61,92,293,37
1734672686.3147433,63,97,302,34
1734672686.3247283,59,99,326,32
1734672686.3348734,68,98,323,29
1734672686.3449094,63,88,301,27
1734672686.3547065,62,81,279,25
1734672686.3647792,66,86,285,22
1734672686.3747623,67,119,338,21
1734672686.3848608,64,115,327,19
1734672686.3948643,60,104,294,18
