timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671703.9113102,41,22,76,3
1734671703.9115155,39,21,70,3
1734671703.9117177,40,21,66,3
1734671703.9119532,37,21,64,3
1734671703.9121447,36,21,63,2
1734671703.9123275,35,20,59,3
1734671703.9125104,35,20,57,3
1734671703.9126923,36,20,72,3
1734671703.912887,36,20,76,3
1734671703.9130695,36,20,72,3
1734671703.9132411,35,20,74,2
1734671703.9134078,35,20,72,3
1734671703.9135761,35,20,68,3
1734671703.9137437,33,20,63,3
1734671703.9139216,31,20,61,3
1734671703.9140906,29,20,63,4
1734671703.914251,28,21,70,3
1734671703.9144058,26,22,65,3
1734671703.9145606,25,22,61,3
1734671703.9147153,24,22,61,3
1734671703.9148786,23,24,57,3
1734671703.9150338,23,24,54,3
1734671703.915189,22,23,70,3
1734671703.9153438,21,24,75,3
1734671703.9154983,21,24,72,3
1734671703.9156528,22,27,99,3
1734671703.9158168,21,27,99,3
1734671703.9159849,21,27,105,3
1734671703.9161518,20,26,101,3
1734671703.916319,19,25,102,3
1734671703.9164734,19,25,99,3
1734671703.9166427,18,24,107,3
1734671703.9168184,17,24,108,3
1734671703.917143,17,24,114,2
1734671703.9171715,18,25,114,3
1734671703.917196,20,28,132,3
1734671703.9172206,20,31,143,3
1734671703.917245,20,30,139,3
1734671703.9172692,19,30,133,3
1734671703.917293,19,28,126,3
1734671703.9173172,19,27,117,3
1734671703.9173417,18,26,113,3
1734671703.9173658,18,25,107,3
1734671703.9173894,18,27,105,3
1734671703.9174137,18,37,109,3
1734671703.917437,20,55,126,3
1734671703.9174614,23,78,158,3
1734671703.9174852,22,81,168,3
1734671703.9175112,29,103,213,3
1734671703.917537,29,128,234,3
1734671703.917563,29,169,233,3
1734671703.9175887,28,214,282,4
1734671703.917615,30,225,278,7
1734671703.9176412,31,265,266,7
1734671703.917667,31,280,298,7
1734671703.9176924,31,281,291,6
1734671703.917718,31,257,371,6
1734671703.9177434,32,253,409,6
1734671703.917772,33,265,422,5
1734671703.9178064,32,286,414,5
1734671703.9178324,31,270,384,5
1734671703.9178612,34,261,388,14
1734671703.9178894,35,297,422,13
1734671703.9179213,33,305,417,14
1734671703.9179506,33,273,372,11
1734671703.9179807,30,260,368,10
1734671703.9180071,34,341,419,9
1734671703.9180334,32,313,411,8
1734671703.9180608,31,283,393,8
1734671703.9180872,30,260,427,7
1734671703.918114,31,271,435,6
1734671703.9181406,31,280,411,7
1734671703.9181688,30,252,390,11
1734671703.918197,31,242,376,12
1734671703.9182255,30,242,361,12
1734671703.9182544,30,219,352,11
1734671703.9182825,31,221,369,10
1734671703.9183595,31,227,400,9
1734671703.918452,33,246,394,8
1734671703.9185467,32,244,374,7
1734671703.918639,32,222,337,7
1734671703.9187307,30,207,305,6
1734671703.918841,29,187,302,6
1734671703.919036,29,174,290,9
1734671703.9191432,29,191,300,8
1734671703.919237,30,218,343,7
1734671703.9193292,29,224,355,7
1734671703.9194214,27,214,333,6
1734671703.9195123,29,211,309,6
1734671703.9196045,29,200,304,5
1734671703.9196963,32,185,302,8
1734671703.9198108,31,175,286,14
1734671703.919912,29,165,269,13
1734671703.9200141,29,170,275,12
1734671703.9201143,28,167,262,11
1734671703.9202123,30,169,276,10
1734671703.9203053,31,190,312,8
1734671703.9203994,30,195,316,8
1734671703.9204922,30,188,330,7
1734671703.9205842,29,169,303,6
1734671703.9206765,28,148,281,7
1734671703.929282,31,133,268,7
1734671703.9394288,29,139,284,9
1734671703.9492893,30,161,299,8
1734671703.9591825,29,186,328,7
1734671703.969397,28,224,342,7
1734671703.9791884,28,210,329,6
1734671703.989178,29,252,336,6
1734671703.999229,29,243,316,6
1734671704.0093176,28,212,293,6
1734671704.0192745,29,187,274,5
1734671704.029741,29,229,297,6
1734671704.0398903,29,234,313,8
1734671704.049749,27,209,302,7
1734671704.059726,27,196,287,6
1734671704.0695262,27,227,303,6
1734671704.0796404,26,221,290,5
1734671704.0897722,25,196,294,6
1734671704.09965,25,172,267,6
1734671704.1097019,25,160,250,6
1734671704.1195424,24,162,271,6
1734671704.1296458,27,167,258,7
1734671704.139751,28,173,256,8
1734671704.1498423,27,153,257,8
1734671704.159755,26,147,237,7
1734671704.1695423,26,175,243,6
1734671704.1797073,26,162,231,6
1734671704.1895056,25,160,207,6
1734671704.1995115,26,166,261,6
1734671704.2096941,26,179,276,6
1734671704.2196696,25,187,267,7
1734671704.2297204,32,188,292,10
1734671704.2396002,36,175,302,9
1734671704.2499008,43,161,285,9
1734671704.2596781,42,165,274,8
1734671704.2696843,44,203,299,9
1734671704.279697,45,227,285,8
1734671704.2897604,52,203,269,7
1734671704.2997265,47,197,260,7
1734671704.3096006,44,178,265,6
1734671704.3197424,42,158,238,6
1734671704.3297257,41,173,236,5
1734671704.3395572,39,198,247,8
1734671704.3496795,36,192,252,10
1734671704.3595116,35,203,275,9
1734671704.3696868,33,182,258,8
1734671704.3795211,33,191,265,7
1734671704.389605,33,177,256,7
1734671704.399615,31,162,245,7
1734671704.409251,31,165,242,8
1734671704.419169,29,173,264,7
