timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671889.2665935,19,29,62,3
1734671889.2667847,20,28,58,3
1734671889.2669976,20,27,55,3
1734671889.2671726,20,26,52,3
1734671889.267342,20,28,52,3
1734671889.267512,20,44,55,3
1734671889.2676811,21,45,56,3
1734671889.2678614,21,42,55,3
1734671889.2680311,21,39,53,3
1734671889.2681952,21,37,51,3
1734671889.2683527,22,35,48,3
1734671889.26851,22,33,45,2
1734671889.268666,22,32,45,3
1734671889.2688322,21,31,42,3
1734671889.2689967,21,30,44,3
1734671889.2691646,22,29,49,2
1734671889.2693212,23,29,52,3
1734671889.2694807,22,30,53,3
1734671889.269638,22,29,51,3
1734671889.2698035,21,28,48,3
1734671889.2699602,19,27,47,3
1734671889.2701082,19,29,47,3
1734671889.2702553,18,28,46,2
1734671889.2704022,18,27,47,3
1734671889.2705505,19,26,46,3
1734671889.2706995,20,25,45,3
1734671889.270854,22,27,48,7
1734671889.2709997,24,34,48,7
1734671889.271158,30,46,51,11
1734671889.271317,30,52,53,10
1734671889.2714634,28,50,50,9
1734671889.2716124,27,51,53,8
1734671889.2717602,25,67,60,8
1734671889.27192,26,71,67,7
1734671889.2720664,31,88,72,8
1734671889.2722123,30,99,78,7
1734671889.2723942,35,109,118,11
1734671889.2725785,53,104,129,27
1734671889.2727613,57,108,125,26
1734671889.272956,58,111,130,24
1734671889.273235,60,123,145,25
1734671889.2734232,72,138,153,23
1734671889.2736108,73,146,162,28
1734671889.2738142,75,134,173,28
1734671889.2740004,86,186,192,26
1734671889.2741835,93,209,198,26
1734671889.2743661,95,225,217,24
1734671889.2745483,94,219,229,24
1734671889.2747307,92,228,237,29
1734671889.2749226,87,240,233,29
1734671889.2751055,88,243,231,27
1734671889.2752895,89,225,282,25
1734671889.2754745,98,285,260,33
1734671889.2756605,99,281,266,36
1734671889.2758536,95,258,266,33
1734671889.2760375,95,265,272,30
1734671889.276221,91,279,267,27
1734671889.2764056,86,255,242,25
1734671889.2765892,79,231,243,26
1734671889.276773,79,212,233,26
1734671889.2769644,76,210,226,24
1734671889.2771492,78,235,211,22
1734671889.277332,92,245,211,24
1734671889.2775164,88,241,215,23
1734671889.2777002,85,222,221,21
1734671889.2778988,91,220,210,19
1734671889.278084,83,235,223,17
1734671889.2782822,112,214,213,51
1734671889.2784824,117,197,201,51
1734671889.2786825,108,191,247,46
1734671889.2788982,103,201,255,42
1734671889.2790859,93,197,276,36
1734671889.2792873,106,230,267,49
1734671889.2794874,104,311,266,47
1734671889.2796755,95,291,271,41
1734671889.2798786,85,258,247,36
1734671889.280066,91,233,249,32
1734671889.280255,83,204,248,29
1734671889.2804434,90,187,269,37
1734671889.2806463,119,189,255,47
1734671889.2808602,129,191,258,44
1734671889.2810614,138,171,235,39
1734671889.2812605,128,166,229,34
1734671889.2814631,139,172,233,30
1734671889.2816768,135,185,239,30
1734671889.2818947,138,172,228,30
1734671889.2820983,132,185,213,27
1734671889.2823002,130,173,208,24
1734671889.2824934,115,161,207,22
1734671889.2826853,106,165,232,20
1734671889.28288,95,162,212,18
1734671889.2830908,89,150,198,17
1734671889.283265,86,157,203,16
1734671889.2834356,91,160,205,17
1734671889.2835994,89,156,192,16
1734671889.283764,88,157,183,16
1734671889.283932,88,177,187,15
1734671889.2840967,85,160,178,13
1734671889.2842672,81,145,181,18
1734671889.2844238,89,162,178,22
1734671889.2845752,82,175,171,22
1734671889.284736,74,164,162,20
1734671889.2935805,79,152,163,19
1734671889.3034418,77,173,189,16
1734671889.3135133,74,200,186,19
1734671889.3234909,98,188,183,30
1734671889.3336265,98,166,173,30
1734671889.3436582,92,151,184,27
1734671889.3539035,85,151,187,24
1734671889.3638241,78,155,182,21
1734671889.3739164,71,136,163,19
1734671889.383835,65,121,148,16
1734671889.3939004,94,132,180,35
1734671889.4038668,112,152,208,44
1734671889.413654,102,134,191,40
1734671889.4235523,91,118,170,35
1734671889.4335313,84,108,160,30
1734671889.4437215,81,130,209,26
1734671889.453705,89,154,210,42
1734671889.4637678,90,172,198,46
1734671889.4734035,79,154,181,41
1734671889.4834013,71,156,195,36
1734671889.4935822,66,143,203,31
1734671889.503568,59,126,191,27
1734671889.513664,53,111,174,23
1734671889.5236087,69,124,193,38
1734671889.533557,80,130,188,46
1734671889.5435462,81,138,182,41
1734671889.553549,75,125,168,36
1734671889.5636432,68,111,174,32
1734671889.5736666,61,102,166,27
1734671889.583552,65,141,186,27
1734671889.5935879,67,174,193,27
1734671889.6035724,67,164,186,25
1734671889.613601,75,171,184,27
1734671889.6236424,75,166,172,25
1734671889.6335654,69,147,157,23
1734671889.643853,68,143,163,21
1734671889.6536124,66,146,165,20
1734671889.663642,61,134,161,17
1734671889.6735601,68,155,164,21
1734671889.683496,69,169,159,21
1734671889.69359,71,190,174,20
1734671889.7035549,73,180,163,19
1734671889.7135577,69,164,156,16
1734671889.7236013,65,148,144,14
1734671889.733596,58,155,144,13
1734671889.7435226,62,172,140,17
1734671889.753554,59,156,148,18
1734671889.7635016,68,145,156,17
1734671889.7735357,67,129,150,15
