timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734671005.0977237,22,26,64,3
1734671005.097991,22,26,63,3
1734671005.098213,21,36,72,3
1734671005.0984325,21,42,78,3
1734671005.0986514,20,39,75,3
1734671005.0988665,21,39,72,3
1734671005.0992107,20,36,70,3
1734671005.0993226,21,35,74,3
1734671005.0994256,20,42,72,3
1734671005.0995274,21,76,77,3
1734671005.0996203,21,74,76,3
1734671005.099713,20,68,76,3
1734671005.0998344,22,65,78,3
1734671005.099945,21,107,92,3
1734671005.1000557,21,113,103,3
1734671005.1001673,21,127,122,3
1734671005.1002774,26,183,131,3
1734671005.1003904,27,208,145,3
1734671005.1004994,29,246,166,3
1734671005.100604,31,239,167,3
1734671005.100703,31,237,174,3
1734671005.100818,33,253,201,3
1734671005.1009219,33,251,197,6
1734671005.1010213,31,242,207,7
1734671005.1011207,30,273,202,6
1734671005.10122,30,314,253,6
1734671005.1013184,29,300,235,5
1734671005.101416,30,345,235,5
1734671005.101515,30,356,219,5
1734671005.1016178,31,379,261,5
1734671005.1017106,32,355,272,7
1734671005.1018207,37,371,277,10
1734671005.1019115,35,377,264,9
1734671005.102003,36,351,280,8
1734671005.1021,39,359,372,10
1734671005.1021981,42,337,365,12
1734671005.1022947,42,311,353,12
1734671005.1023927,40,296,367,11
1734671005.10249,38,290,373,10
1734671005.1025815,41,281,395,9
1734671005.1026707,40,323,404,8
1734671005.1027555,43,313,391,7
1734671005.1028502,43,288,376,7
1734671005.102941,42,289,361,10
1734671005.1030252,41,288,340,9
1734671005.1031094,39,270,351,8
1734671005.1031954,41,271,343,7
1734671005.1032798,38,286,365,7
1734671005.1033628,36,300,334,6
1734671005.1034486,34,275,319,5
1734671005.1035323,37,287,369,6
1734671005.103617,37,286,338,5
1734671005.1037014,37,264,332,9
1734671005.1037815,37,275,343,8
1734671005.1038682,35,271,334,7
1734671005.103948,35,289,336,7
1734671005.1040304,35,266,334,6
1734671005.1041093,36,255,316,6
1734671005.104188,35,247,294,6
1734671005.1042674,37,281,364,9
1734671005.1043456,37,266,348,9
1734671005.104425,36,268,337,7
1734671005.1045036,33,265,341,7
1734671005.1045837,31,262,335,7
1734671005.1046631,31,254,325,6
1734671005.104743,31,277,320,6
1734671005.1048322,32,265,328,5
1734671005.1049147,30,248,309,7
1734671005.1049883,32,275,319,7
1734671005.1050637,29,283,357,6
1734671005.1051385,27,286,334,5
1734671005.1052122,28,308,355,5
1734671005.1052861,28,315,366,5
1734671005.105362,26,300,333,5
1734671005.1054366,30,295,329,6
1734671005.1055124,32,303,373,8
1734671005.105587,31,308,357,7
1734671005.1056664,30,288,331,7
1734671005.1057405,29,276,306,6
1734671005.1057928,35,301,369,6
1734671005.1058218,33,316,405,6
1734671005.1058502,31,303,386,5
1734671005.1058798,29,287,357,5
1734671005.105905,30,315,362,5
1734671005.1059313,30,305,330,6
1734671005.105957,30,313,328,7
1734671005.1059828,33,302,314,6
1734671005.1060076,32,309,321,6
1734671005.1060328,32,342,387,5
1734671005.1060584,33,305,361,6
1734671005.106084,32,270,324,5
1734671005.1061096,33,253,296,5
1734671005.1061351,33,286,310,4
1734671005.1061606,32,296,304,6
1734671005.1061862,32,265,288,7
1734671005.106212,31,295,296,6
1734671005.106237,31,350,321,6
1734671005.1062622,32,350,345,5
1734671005.1062877,29,311,304,5
1734671005.106313,28,274,281,5
1734671005.1063385,29,259,288,4
1734671005.1141267,30,299,312,7
1734671005.1240342,30,283,311,7
1734671005.1339426,28,254,280,6
1734671005.1439855,27,244,270,6
1734671005.1540003,31,281,313,5
1734671005.1640089,32,299,337,5
1734671005.174015,30,280,305,5
1734671005.1843407,27,259,273,4
1734671005.194303,31,273,284,4
1734671005.2043412,35,325,303,7
1734671005.2143848,36,341,326,8
1734671005.2243626,34,314,303,8
1734671005.2343624,31,285,268,8
1734671005.2443373,30,252,249,7
1734671005.254335,27,227,223,7
1734671005.2644284,28,240,265,5
1734671005.274238,27,256,295,5
1734671005.2842908,28,271,306,5
1734671005.2943027,27,255,320,5
1734671005.3042858,27,228,308,5
1734671005.3144886,31,205,284,8
1734671005.3245096,31,184,253,8
1734671005.3342674,29,165,227,7
1734671005.344376,29,175,222,7
1734671005.3543558,30,195,271,6
1734671005.3642986,29,201,298,6
1734671005.3742712,29,244,303,5
1734671005.3842363,28,248,285,5
1734671005.3942719,26,222,260,4
1734671005.4042056,28,197,233,4
1734671005.4140246,30,199,229,9
1734671005.4240482,32,235,239,10
1734671005.4339483,35,277,292,9
1734671005.4439526,33,281,282,8
1734671005.4539814,33,281,312,7
1734671005.4638376,32,300,327,7
1734671005.4740324,31,278,310,6
1734671005.4841096,28,272,283,6
1734671005.494161,29,244,259,6
1734671005.5043762,28,220,240,9
1734671005.514136,28,263,275,9
1734671005.524115,28,254,292,8
1734671005.5341768,26,247,303,7
1734671005.5442076,26,256,334,7
1734671005.5542076,24,246,328,6
1734671005.5642128,24,235,311,5
1734671005.5742033,24,216,305,5
1734671005.5841708,26,193,278,5
1734671005.5941906,27,201,267,7
1734671005.6041427,29,204,260,9
