timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734673370.1584246,97,296,920,146
1734673370.1586506,102,360,982,166
1734673370.1588883,147,609,982,281
1734673370.159094,138,575,982,260
1734673370.1592975,148,636,982,292
1734673370.1595016,151,654,982,301
1734673370.1596918,146,635,982,296
1734673370.1598938,139,600,982,277
1734673370.1600845,135,566,982,264
1734673370.1602774,123,516,982,238
1734673370.1604693,119,481,982,228
1734673370.160657,115,463,982,215
1734673370.1608427,110,433,968,199
1734673370.161024,104,404,919,184
1734673370.161193,98,384,859,170
1734673370.1613631,96,370,846,162
1734673370.1615329,93,349,819,154
1734673370.1617043,90,337,828,151
1734673370.161881,87,318,784,141
1734673370.1620517,84,304,743,132
1734673370.1622224,81,298,708,126
1734673370.1623938,78,273,665,116
1734673370.1625636,80,264,673,112
1734673370.162734,82,266,678,111
1734673370.163048,85,258,668,108
1734673370.163188,78,244,635,103
1734673370.1632686,82,235,602,91
1734673370.163347,76,238,580,92
1734673370.163425,71,224,538,86
1734673370.1635034,69,209,525,82
1734673370.1635816,67,204,511,81
1734673370.1636603,66,196,476,80
1734673370.163738,71,196,463,71
1734673370.1638315,76,192,456,69
1734673370.16391,73,198,438,65
1734673370.1639886,72,192,408,63
1734673370.1640668,73,187,411,61
1734673370.1641464,69,178,413,60
1734673370.164225,70,184,468,58
1734673370.1643028,69,173,446,54
1734673370.1643796,68,170,451,54
1734673370.1644578,67,170,446,49
1734673370.1645358,65,190,449,50
1734673370.1646137,68,184,468,49
1734673370.1646912,70,176,435,48
1734673370.1647685,69,171,480,50
1734673370.1648495,72,176,599,57
1734673370.164929,67,175,570,53
1734673370.165007,67,179,600,56
1734673370.1650848,69,182,663,58
1734673370.1651633,67,191,644,53
1734673370.1652417,71,177,627,50
1734673370.1653197,67,169,610,49
1734673370.165399,65,164,628,46
1734673370.1654766,62,172,586,46
1734673370.1655538,60,168,558,42
1734673370.1656313,58,169,535,41
1734673370.165709,56,162,498,40
1734673370.1657867,59,145,486,37
1734673370.165869,67,128,482,34
1734673370.1659505,69,119,448,32
1734673370.1660285,71,168,474,32
1734673370.1661057,68,168,474,33
1734673370.166184,62,152,447,33
1734673370.1662624,56,134,432,31
1734673370.1663425,56,121,421,30
1734673370.16642,62,141,469,29
1734673370.1664977,60,135,502,28
1734673370.1665752,57,123,503,27
1734673370.1666527,54,117,474,26
1734673370.1667304,56,104,440,24
1734673370.1668115,53,103,409,25
1734673370.1668913,50,101,413,25
1734673370.166965,48,93,412,24
1734673370.1670427,72,128,728,54
1734673370.167127,102,169,982,89
1734673370.1672049,95,155,919,82
1734673370.1672835,87,138,849,75
1734673370.1673667,107,166,982,99
1734673370.167445,99,167,982,93
1734673370.1675344,100,204,982,101
1734673370.167612,90,200,968,92
1734673370.1676905,86,189,965,93
1734673370.1677694,92,192,944,93
1734673370.1678658,114,239,982,134
1734673370.1679568,154,290,982,192
1734673370.1680458,204,395,981,272
1734673370.1681342,213,402,982,277
1734673370.1682222,215,399,982,290
1734673370.1683102,207,393,982,280
1734673370.1683986,195,378,982,264
1734673370.1684878,179,344,982,240
1734673370.168576,171,339,982,223
1734673370.1686661,166,322,982,217
1734673370.168755,157,293,982,203
1734673370.1688535,143,276,982,189
1734673370.168942,141,272,982,185
1734673370.1690311,133,254,982,171
1734673370.1691196,131,251,982,169
1734673370.1692085,117,245,982,158
1734673370.1692984,113,256,982,148
1734673370.1710637,112,247,982,143
1734673370.1810544,105,227,982,137
1734673370.1909957,105,210,982,129
1734673370.2010312,105,206,983,122
1734673370.2109158,97,194,982,115
1734673370.2209241,93,181,982,108
1734673370.2308974,90,190,982,101
1734673370.2408042,86,197,936,99
1734673370.251139,80,177,917,95
1734673370.2611237,79,162,898,90
1734673370.271089,78,161,853,84
1734673370.2810538,74,200,827,83
1734673370.291051,75,178,810,79
1734673370.3011756,75,160,776,74
1734673370.3112113,75,151,752,68
1734673370.3210375,73,143,723,67
1734673370.3309865,71,134,679,66
1734673370.341053,66,119,683,63
1734673370.3511217,68,118,659,60
1734673370.3609664,75,133,641,58
1734673370.3711429,74,131,638,56
1734673370.3807728,69,116,634,54
1734673370.3906345,66,112,623,52
1734673370.4006104,71,122,584,48
1734673370.4106154,72,114,540,47
1734673370.4205508,70,111,546,45
1734673370.4305851,73,109,607,50
1734673370.4406338,90,129,729,59
1734673370.4506674,104,131,892,69
1734673370.4606159,102,129,946,73
1734673370.470517,95,122,906,69
1734673370.4806666,88,111,841,64
1734673370.4907544,87,119,860,68
1734673370.500859,85,123,855,64
1734673370.5106554,80,113,802,61
1734673370.52064,77,101,774,57
1734673370.5306044,76,96,715,52
1734673370.5407288,81,117,757,60
1734673370.550694,96,120,890,70
1734673370.5611713,112,118,957,77
1734673370.5710464,106,109,920,71
1734673370.5809433,108,117,918,70
1734673370.5910933,101,108,870,66
1734673370.60088,97,101,830,62
1734673370.6108592,98,104,854,62
1734673370.6210258,139,130,982,106
1734673370.6310546,157,131,983,125
1734673370.6411068,168,194,982,171
1734673370.6510067,221,331,982,255
1734673370.660934,277,436,982,319
