timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734655064.7027595,48,91,201,79
1734655064.7028723,50,97,232,98
1734655064.7029696,49,117,266,112
1734655064.7030652,46,115,262,108
1734655064.7031603,45,108,245,103
1734655064.7032564,43,107,250,107
1734655064.7033505,39,107,242,100
1734655064.703447,39,109,261,106
1734655064.7035394,40,109,252,107
1734655064.7036235,38,101,239,99
1734655064.703706,39,103,233,97
1734655064.7037995,37,116,259,99
1734655064.7038822,38,110,263,97
1734655064.7039597,39,99,242,89
1734655064.7040381,36,92,228,82
1734655064.704116,35,89,224,81
1734655064.7041938,35,86,210,77
1734655064.704273,34,88,223,76
1734655064.7043507,33,84,268,72
1734655064.7044272,31,76,260,65
1734655064.704504,38,77,257,65
1734655064.7045796,37,77,254,65
1734655064.7046523,37,76,257,68
1734655064.7047255,35,72,252,64
1734655064.7048032,35,75,257,64
1734655064.704877,34,70,266,64
1734655064.7049499,33,69,248,61
1734655064.705023,34,67,262,62
1734655064.705095,33,63,266,61
1734655064.7051685,40,64,305,58
1734655064.7052414,46,62,309,53
1734655064.7053154,46,61,293,54
1734655064.7053883,43,61,305,52
1734655064.705462,46,58,301,52
1734655064.7055368,44,55,283,51
1734655064.7056096,41,57,278,50
1734655064.7056828,40,56,300,50
1734655064.7057557,39,54,277,48
1734655064.705834,39,53,304,44
1734655064.705908,37,79,359,45
1734655064.705981,36,78,377,47
1734655064.7060544,36,79,442,45
1734655064.706128,36,74,437,44
1734655064.7062006,39,83,480,41
1734655064.7062728,38,85,488,40
1734655064.7063463,38,86,459,39
1734655064.7064188,37,87,452,36
1734655064.7064922,39,92,460,34
1734655064.7065647,38,94,466,33
1734655064.7066376,39,93,490,32
1734655064.7067099,45,98,519,29
1734655064.7067933,44,104,493,28
1734655064.7068717,49,101,472,28
1734655064.7069473,46,97,457,28
1734655064.7070258,44,123,452,27
1734655064.7071054,41,124,447,26
1734655064.7071834,38,135,475,23
1734655064.707262,38,150,486,22
1734655064.7073398,38,146,476,21
1734655064.707418,39,136,474,20
1734655064.7074955,42,130,471,24
1734655064.7075756,41,127,465,23
1734655064.7076542,44,136,614,24
1734655064.7077324,40,124,568,23
1734655064.707817,39,138,549,20
1734655064.707896,37,132,510,18
1734655064.707974,35,136,479,18
1734655064.7080522,34,160,463,18
1734655064.7081296,33,156,434,18
1734655064.7082088,37,145,428,16
1734655064.7082872,35,142,409,16
1734655064.7083647,37,134,384,21
1734655064.7084427,35,127,375,20
1734655064.7085211,38,156,466,19
1734655064.7085996,37,153,432,17
1734655064.7086782,34,146,437,16
1734655064.7087562,32,153,426,14
1734655064.7088456,34,165,433,15
1734655064.7089245,36,159,423,14
1734655064.7090025,35,157,389,15
1734655064.709081,38,151,374,18
1734655064.70916,35,141,378,16
1734655064.709238,33,141,422,15
1734655064.7093165,34,170,423,12
1734655064.7093952,35,165,492,11
1734655064.7094738,33,164,448,11
1734655064.709553,34,173,423,11
1734655064.7096314,33,164,386,11
1734655064.7096798,34,148,345,10
1734655064.7097056,38,168,360,11
1734655064.709731,39,187,398,10
1734655064.7097552,36,179,417,9
1734655064.7097807,33,175,396,8
1734655064.7098057,36,182,410,7
1734655064.7098298,34,169,414,8
1734655064.7098558,37,151,398,11
1734655064.7098818,37,142,374,10
1734655064.70991,38,130,369,11
1734655064.709941,40,155,376,11
1734655064.7099667,38,164,365,10
1734655064.709991,37,157,351,9
1734655064.716546,35,143,352,9
1734655064.7264445,33,129,353,8
1734655064.7365296,30,118,338,7
1734655064.7466,30,138,329,7
1734655064.756698,32,152,327,7
1734655064.7666569,31,140,336,6
1734655064.7767246,30,152,337,6
1734655064.7869518,32,161,312,6
1734655064.7971473,29,163,311,6
1734655064.8070743,28,149,287,5
1734655064.8171856,29,144,278,5
1734655064.8269215,30,134,283,9
1734655064.837159,30,166,297,9
1734655064.8471382,29,158,305,8
1734655064.8571455,28,145,293,8
1734655064.8671901,27,131,300,7
1734655064.8768134,27,127,296,6
1734655064.887182,26,121,299,6
1734655064.8971534,26,120,376,5
1734655064.9069886,25,115,352,5
1734655064.9170732,25,106,343,5
1734655064.926805,25,102,347,5
1734655064.9369473,25,106,326,7
1734655064.9466257,26,102,307,9
1734655064.9568732,27,149,358,8
1734655064.966598,27,146,332,7
1734655064.97661,26,132,355,7
1734655064.9865205,25,123,383,7
1734655064.9966366,25,114,355,6
1734655065.006697,25,141,372,6
1734655065.016683,26,170,392,5
1734655065.0269856,26,162,369,8
1734655065.0366213,24,146,381,9
1734655065.0466027,24,141,413,8
1734655065.0567276,26,141,385,8
1734655065.0667553,25,128,360,8
1734655065.0767424,25,139,352,7
1734655065.0867133,24,153,333,6
1734655065.096613,24,141,325,6
1734655065.106709,25,127,311,5
1734655065.1168292,28,125,297,6
1734655065.1265588,27,135,317,5
1734655065.136905,27,122,298,7
1734655065.146923,27,115,289,7
1734655065.1570618,26,111,322,6
1734655065.1669562,24,104,336,6
1734655065.17687,27,146,340,6
1734655065.1866524,27,175,380,5
1734655065.1966949,26,162,348,5
1734655065.2068748,24,145,357,5
