timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734655462.820957,23,40,90,3
1734655462.821148,24,38,91,3
1734655462.8213315,24,36,85,3
1734655462.821514,24,33,82,3
1734655462.8216934,24,32,88,3
1734655462.821886,25,30,87,3
1734655462.82206,25,29,84,3
1734655462.8222265,24,29,79,3
1734655462.8223934,24,37,79,3
1734655462.8225622,25,35,77,3
1734655462.8227286,25,33,77,3
1734655462.8229032,28,32,74,3
1734655462.8230617,27,35,70,3
1734655462.8232167,27,37,72,3
1734655462.8233714,26,36,73,3
1734655462.8235257,25,44,77,3
1734655462.8236809,27,67,86,3
1734655462.8238418,30,68,83,4
1734655462.823994,33,63,83,4
1734655462.8241398,46,58,86,7
1734655462.8242855,47,53,86,7
1734655462.8244421,52,48,100,6
1734655462.8245873,54,44,96,6
1734655462.824744,55,42,108,5
1734655462.824907,61,55,119,8
1734655462.82506,65,57,132,9
1734655462.825206,63,52,150,8
1734655462.825364,61,52,175,11
1734655462.8255227,62,57,189,10
1734655462.8256695,59,55,187,9
1734655462.8258224,60,53,224,9
1734655462.825979,58,50,240,10
1734655462.826116,63,49,230,9
1734655462.8262544,63,67,269,9
1734655462.8263907,58,82,294,8
1734655462.8265276,56,85,282,8
1734655462.826664,52,85,289,9
1734655462.8268077,50,84,283,9
1734655462.8269458,58,77,264,8
1734655462.8270802,55,76,274,7
1734655462.8272102,52,73,294,8
1734655462.8273408,54,74,286,9
1734655462.8274238,56,76,289,8
1734655462.8274822,55,90,270,8
1734655462.8275406,50,92,257,7
1734655462.8275993,49,97,254,6
1734655462.8276575,46,91,246,7
1734655462.8277154,49,95,246,5
1734655462.8277762,52,98,242,5
1734655462.8280036,49,88,250,5
1734655462.8280334,52,86,241,4
1734655462.828058,50,82,227,4
1734655462.8280842,49,74,208,4
1734655462.828114,44,81,234,4
1734655462.8281379,45,84,244,4
1734655462.828163,45,82,235,4
1734655462.8281872,50,76,216,4
1734655462.8282132,54,81,280,12
1734655462.8282394,51,93,328,11
1734655462.8282652,50,88,302,10
1734655462.8282914,60,82,283,11
1734655462.8283176,65,77,273,10
1734655462.8283417,59,71,256,9
1734655462.8283658,58,79,254,8
1734655462.82839,54,79,249,7
1734655462.8284216,50,76,225,7
1734655462.8284557,52,69,214,6
1734655462.8284798,51,81,214,6
1734655462.828504,53,93,201,5
1734655462.8285308,50,84,197,5
1734655462.8285608,47,79,197,5
1734655462.8285854,47,73,205,5
1734655462.8286202,44,72,191,6
1734655462.8286443,43,69,206,6
1734655462.82867,39,68,192,6
1734655462.8286982,42,62,189,6
1734655462.828723,41,56,179,5
1734655462.828749,40,79,185,5
1734655462.8287814,39,82,199,5
1734655462.8288052,39,76,188,6
1734655462.8288395,40,68,178,7
1734655462.8288753,47,70,188,10
1734655462.828904,44,69,177,9
1734655462.828928,42,64,182,8
1734655462.8289547,43,59,175,9
1734655462.8289807,58,55,163,11
1734655462.8290071,56,73,196,10
1734655462.8290315,52,80,189,9
1734655462.8290555,51,76,183,8
1734655462.8290908,52,72,189,7
1734655462.829115,48,68,179,7
1734655462.8291395,51,68,194,6
1734655462.8291638,49,61,217,6
1734655462.8291886,49,55,221,5
1734655462.8292131,53,51,212,5
1734655462.8292372,58,49,200,5
1734655462.8292618,55,46,196,5
1734655462.829286,49,43,185,6
1734655462.8293102,46,40,174,5
1734655462.8293343,44,49,174,5
1734655462.8293586,45,79,219,5
1734655462.8387654,44,81,233,4
1734655462.848652,41,77,233,4
1734655462.8585944,44,71,221,4
1734655462.8689134,50,72,215,4
1734655462.8788314,48,64,209,4
1734655462.8886156,44,61,191,4
1734655462.8986514,47,56,180,5
1734655462.9087195,58,63,242,6
1734655462.9188485,59,64,253,6
1734655462.9287567,53,60,234,5
1734655462.9386754,46,56,208,5
1734655462.948868,46,76,203,5
1734655462.9588616,47,96,196,4
1734655462.968812,51,91,194,4
1734655462.9788222,53,82,184,4
1734655462.988649,50,74,175,4
1734655462.9988174,47,86,187,4
1734655463.008826,46,92,186,4
1734655463.0187438,43,89,171,4
1734655463.028614,40,90,173,4
1734655463.0386705,39,87,173,4
1734655463.0487397,38,80,168,4
1734655463.0584462,36,75,155,4
1734655463.0685337,33,70,162,4
1734655463.0783021,32,65,163,3
1734655463.0881681,32,59,155,3
1734655463.098277,37,59,158,4
1734655463.1084716,40,69,157,6
1734655463.1184876,38,78,147,5
1734655463.128654,35,72,133,5
1734655463.138931,33,82,172,5
1734655463.1487012,40,80,179,4
1734655463.158837,43,74,170,4
1734655463.1687698,40,67,160,4
1734655463.1788142,36,60,144,4
1734655463.1885433,34,55,131,4
1734655463.1986713,37,55,161,4
1734655463.2087214,51,60,188,5
1734655463.2187355,51,67,191,5
1734655463.2286844,48,65,175,5
1734655463.238762,44,59,156,5
1734655463.2486188,41,59,146,4
1734655463.2587578,41,57,137,5
1734655463.268644,52,80,133,5
1734655463.278559,54,86,132,4
1734655463.2885513,53,84,127,4
1734655463.2986283,49,77,130,4
1734655463.3085816,47,72,134,4
1734655463.3186119,45,65,137,5
1734655463.328551,42,60,130,5
