timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734656630.4871693,45,43,104,3
1734656630.4872816,43,46,129,3
1734656630.4873898,43,43,122,3
1734656630.4874976,43,40,120,3
1734656630.487611,43,37,118,3
1734656630.4877179,44,35,114,3
1734656630.4878683,44,32,117,3
1734656630.4879746,43,30,117,3
1734656630.4880707,42,29,116,3
1734656630.488168,41,27,113,3
1734656630.4882665,40,26,111,3
1734656630.488363,39,25,108,3
1734656630.4884596,39,25,110,3
1734656630.4885592,39,24,112,3
1734656630.4886563,39,24,109,3
1734656630.4887497,40,24,108,3
1734656630.4888835,40,25,110,3
1734656630.4889734,38,24,105,3
1734656630.489057,37,27,98,3
1734656630.489147,35,30,103,3
1734656630.4892356,34,36,100,3
1734656630.4893246,33,40,100,3
1734656630.4894137,31,39,109,3
1734656630.4895039,30,38,101,3
1734656630.489592,29,41,115,3
1734656630.4896817,28,60,108,3
1734656630.4897707,28,63,110,3
1734656630.489866,28,63,107,3
1734656630.4899483,26,63,124,3
1734656630.4900308,26,85,135,3
1734656630.490114,27,86,148,3
1734656630.4901962,26,95,145,3
1734656630.4902787,26,98,139,3
1734656630.490369,26,105,128,3
1734656630.490452,27,99,132,3
1734656630.4905415,28,101,154,3
1734656630.4906242,28,96,144,3
1734656630.4907074,29,97,134,3
1734656630.490805,30,90,132,3
1734656630.4908884,30,113,137,3
1734656630.490972,32,116,151,3
1734656630.491056,32,121,144,3
1734656630.4911413,34,128,154,3
1734656630.4912384,35,154,177,3
1734656630.4913208,35,167,175,3
1734656630.4914038,36,216,184,3
1734656630.4914863,35,235,192,3
1734656630.4915695,35,260,230,3
1734656630.4916532,38,321,271,3
1734656630.4917328,39,338,305,3
1734656630.4918215,40,365,331,3
1734656630.4918985,42,425,385,3
1734656630.4919763,45,489,448,3
1734656630.492055,45,513,525,3
1734656630.4921339,46,550,531,4
1734656630.4922113,49,531,568,4
1734656630.4922888,52,496,551,4
1734656630.4923658,51,510,535,4
1734656630.4924433,53,511,523,3
1734656630.4925208,53,513,553,3
1734656630.4925976,52,524,503,3
1734656630.4926746,50,498,479,3
1734656630.492752,50,485,435,3
1734656630.4928393,49,490,427,3
1734656630.4929166,46,511,427,3
1734656630.4929943,44,537,422,3
1734656630.4930727,45,546,394,3
1734656630.4931507,41,515,352,3
1734656630.4932296,40,497,342,3
1734656630.4933069,39,487,328,3
1734656630.4933867,37,442,304,3
1734656630.493464,37,407,276,3
1734656630.493542,35,418,313,3
1734656630.493621,33,435,314,3
1734656630.4936996,32,409,300,3
1734656630.4937851,30,366,269,3
1734656630.4938672,35,434,330,5
1734656630.4939492,35,432,392,5
1734656630.494028,33,405,360,4
1734656630.4941053,30,362,324,4
1734656630.494183,28,325,289,4
1734656630.4942608,27,327,262,4
1734656630.4943378,27,332,274,4
1734656630.4943748,26,308,317,3
1734656630.494401,24,283,284,4
1734656630.494427,23,259,261,3
1734656630.494452,26,262,257,4
1734656630.4944777,30,358,308,4
1734656630.4945033,29,365,325,4
1734656630.4945285,28,336,300,4
1734656630.4945538,26,301,264,4
1734656630.4945793,26,273,249,4
1734656630.4946046,26,270,248,4
1734656630.4946306,26,276,253,4
1734656630.4946566,25,277,245,3
1734656630.494682,24,250,229,3
1734656630.4947102,25,231,229,3
1734656630.494738,27,248,245,3
1734656630.494764,27,251,284,3
1734656630.494797,28,310,302,3
1734656630.494822,27,302,279,3
1734656630.5034232,28,273,283,3
1734656630.5133493,27,250,286,3
1734656630.5235057,27,262,273,3
1734656630.5334864,27,261,250,3
1734656630.5433018,27,243,251,3
1734656630.5533457,29,245,269,3
1734656630.5633724,28,241,258,3
1734656630.573518,29,237,275,3
1734656630.5835214,30,237,281,3
1734656630.5938253,29,224,269,3
1734656630.6037455,27,214,241,3
1734656630.6137173,29,198,258,3
1734656630.6237137,31,227,302,3
1734656630.6337273,29,239,291,3
1734656630.643724,27,235,266,3
1734656630.6537385,29,229,263,3
1734656630.66372,30,223,251,3
1734656630.6738257,29,226,228,5
1734656630.6838696,30,238,213,7
1734656630.6938393,30,274,261,6
1734656630.7037601,30,302,284,6
1734656630.7139134,31,297,281,5
1734656630.7238758,31,288,313,5
1734656630.7340555,31,333,296,5
1734656630.7437272,31,314,288,5
1734656630.7537513,30,292,278,4
1734656630.7638626,29,267,271,4
1734656630.77398,30,278,278,4
1734656630.7838182,29,269,265,4
1734656630.7937236,29,279,262,4
1734656630.803675,29,266,246,4
1734656630.81371,29,263,257,4
1734656630.8237,29,272,288,3
1734656630.833712,28,247,278,3
1734656630.8437202,28,236,250,3
1734656630.8538392,28,237,251,3
1734656630.8636363,28,228,226,3
1734656630.8736389,29,235,225,3
1734656630.883587,31,267,250,3
1734656630.8935246,31,256,244,3
1734656630.9035797,31,238,236,3
1734656630.9137475,30,222,230,3
1734656630.923736,31,294,215,3
1734656630.9337375,31,262,252,3
1734656630.9437249,30,236,244,3
1734656630.9536977,31,224,228,3
1734656630.963744,29,228,227,3
1734656630.973643,29,257,220,3
1734656630.9835832,29,240,213,3
1734656630.9935925,30,217,201,3
