timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734656471.5000432,46,46,99,3
1734656471.5001264,46,42,90,3
1734656471.5003042,46,39,82,3
1734656471.500379,46,36,79,3
1734656471.5004501,43,38,75,3
1734656471.500522,42,45,78,3
1734656471.5005941,40,48,80,3
1734656471.5006657,38,51,80,3
1734656471.5007362,36,47,85,3
1734656471.5008204,34,53,98,3
1734656471.500891,32,54,93,3
1734656471.5009615,31,59,92,3
1734656471.5010278,30,54,90,3
1734656471.5010998,29,80,100,3
1734656471.5011659,29,77,98,3
1734656471.5012374,27,75,104,3
1734656471.5013146,25,103,135,3
1734656471.501392,25,113,140,3
1734656471.5014696,24,102,132,3
1734656471.5015416,24,91,120,3
1734656471.5016136,24,81,108,3
1734656471.50168,23,72,97,3
1734656471.5017447,22,65,92,3
1734656471.5018132,25,61,86,3
1734656471.501875,26,69,97,3
1734656471.5019374,25,65,94,3
1734656471.5019996,25,64,94,3
1734656471.5020618,25,59,85,3
1734656471.5021238,26,53,88,3
1734656471.502186,25,49,83,3
1734656471.5022485,25,45,87,3
1734656471.5023112,25,42,84,3
1734656471.5023735,25,38,78,3
1734656471.5024366,25,36,75,3
1734656471.502499,27,34,72,3
1734656471.5025616,29,32,73,2
1734656471.5026238,36,29,69,3
1734656471.502686,34,28,65,3
1734656471.5027475,31,27,60,3
1734656471.5028148,29,26,57,3
1734656471.502877,26,24,55,3
1734656471.5029395,25,24,58,3
1734656471.5030017,24,23,57,3
1734656471.5030642,22,23,59,3
1734656471.5031266,21,23,61,3
1734656471.5031893,19,22,60,3
1734656471.5032516,18,22,60,3
1734656471.5033138,18,22,57,3
1734656471.5033758,17,23,65,3
1734656471.503438,17,24,69,3
1734656471.5035005,16,24,66,3
1734656471.5035627,15,25,64,3
1734656471.503625,15,24,61,3
1734656471.5036883,14,24,61,3
1734656471.5037508,14,24,59,3
1734656471.5038185,14,24,59,3
1734656471.503881,14,24,60,3
1734656471.5039432,14,24,59,3
1734656471.5040054,14,24,57,3
1734656471.504068,14,24,60,3
1734656471.50413,15,24,65,3
1734656471.504192,15,23,66,3
1734656471.5042539,14,24,64,3
1734656471.5043163,17,24,63,3
1734656471.5043786,17,24,63,3
1734656471.5044413,22,24,63,3
1734656471.5045037,24,24,65,3
1734656471.5045657,24,24,67,3
1734656471.504628,28,25,66,3
1734656471.50469,29,24,67,3
1734656471.5047522,37,26,65,3
1734656471.5048194,44,26,67,3
1734656471.5048816,42,26,70,3
1734656471.5049446,40,27,68,3
1734656471.5050066,38,29,72,3
1734656471.5050473,35,32,76,3
1734656471.505068,34,32,78,3
1734656471.5050902,35,32,81,3
1734656471.5051107,39,33,81,3
1734656471.505131,40,33,82,3
1734656471.5051515,42,33,88,3
1734656471.505172,42,33,85,3
1734656471.5051928,44,33,85,5
1734656471.505215,46,33,87,11
1734656471.5052376,45,32,85,10
1734656471.50526,46,33,89,15
1734656471.5052817,48,32,92,17
1734656471.505304,48,35,87,15
1734656471.5053267,50,38,89,13
1734656471.5053492,52,37,93,12
1734656471.5053716,54,38,96,13
1734656471.5053957,56,42,103,18
1734656471.5054202,58,45,105,19
1734656471.5054476,61,48,102,32
1734656471.5054734,69,63,120,37
1734656471.5054984,69,61,120,36
1734656471.5055265,68,66,149,35
1734656471.5055535,74,84,148,37
1734656471.5055792,81,80,149,38
1734656471.5056052,84,77,138,41
1734656471.5069835,85,79,129,44
1734656471.5169704,86,81,122,43
1734656471.5269117,92,78,127,52
1734656471.5370245,92,75,119,50
1734656471.5470521,99,74,115,45
1734656471.5571425,102,81,118,54
1734656471.5670192,100,77,126,55
1734656471.5770557,96,74,127,52
1734656471.5870173,91,72,134,46
1734656471.5970554,94,68,133,47
1734656471.607067,91,65,124,48
1734656471.6171036,88,72,118,44
1734656471.6271582,89,71,114,47
1734656471.6372697,96,66,108,44
1734656471.6472998,93,63,106,46
1734656471.6573699,89,60,115,42
1734656471.667377,88,57,114,40
1734656471.6772282,82,54,106,35
1734656471.68727,76,52,98,38
1734656471.697201,73,48,93,37
1734656471.707228,74,47,93,50
1734656471.7173746,78,45,100,46
1734656471.7271652,72,46,107,41
1734656471.73733,75,46,101,42
1734656471.74728,76,43,96,39
1734656471.7571049,74,43,99,39
1734656471.767104,77,42,108,37
1734656471.7773604,80,40,108,34
1734656471.7871637,72,39,102,30
1734656471.7972665,68,36,95,28
1734656471.807181,67,35,92,24
1734656471.8173218,72,33,100,23
1734656471.8271515,73,34,94,26
1734656471.837376,70,33,92,28
1734656471.8470218,73,34,88,27
1734656471.8570457,79,34,85,25
1734656471.8671374,73,34,80,22
1734656471.8770545,72,33,83,26
1734656471.8870373,71,32,91,27
1734656471.8970761,70,32,86,24
1734656471.907079,67,30,89,25
1734656471.917031,74,30,92,30
1734656471.9270313,73,29,92,27
1734656471.937127,72,30,93,24
1734656471.9469547,70,29,90,26
1734656471.9572031,70,31,87,25
1734656471.967267,68,31,87,26
1734656471.977259,66,31,84,23
1734656471.9870796,68,30,84,24
1734656471.9970777,75,30,81,23
1734656472.0071616,79,31,79,26
