timestamp,emg_value_sensor1,emg_value_sensor2,emg_value_sensor3,emg_value_sensor4
1734656988.510484,50,26,69,3
1734656988.510675,50,25,65,3
1734656988.5108943,50,27,65,3
1734656988.511077,49,26,62,3
1734656988.5112498,49,25,67,3
1734656988.5114172,49,24,68,3
1734656988.5115833,48,26,68,3
1734656988.5117486,49,32,68,3
1734656988.5119245,49,30,67,3
1734656988.5121877,48,28,67,3
1734656988.5123415,49,28,71,3
1734656988.512495,49,27,72,3
1734656988.5126493,49,26,70,3
1734656988.5128114,49,26,69,3
1734656988.5129664,49,33,70,3
1734656988.5131133,48,31,69,3
1734656988.5132585,47,29,67,3
1734656988.5134041,47,29,73,3
1734656988.5135474,48,27,70,3
1734656988.5136907,48,26,69,3
1734656988.5138407,49,25,67,3
1734656988.5139832,49,26,69,3
1734656988.5141218,51,25,70,3
1734656988.514254,52,24,68,3
1734656988.5143876,51,23,68,3
1734656988.5145228,51,23,75,3
1734656988.5146573,53,22,75,3
1734656988.5147972,52,21,74,3
1734656988.5149326,50,22,73,3
1734656988.5150676,54,26,93,3
1734656988.5152092,73,27,109,3
1734656988.5153475,82,37,131,3
1734656988.5154853,84,39,145,3
1734656988.515623,77,44,139,3
1734656988.515761,71,52,144,3
1734656988.5159068,64,50,149,3
1734656988.5160427,58,47,150,3
1734656988.51618,55,44,157,3
1734656988.5163176,52,43,159,3
1734656988.5164547,61,39,169,3
1734656988.5165915,61,37,174,4
1734656988.516729,59,52,183,4
1734656988.516875,65,50,191,5
1734656988.5170138,65,48,197,4
1734656988.5171516,72,49,193,4
1734656988.5172892,84,59,189,4
1734656988.5174274,79,66,228,4
1734656988.5175269,86,82,233,4
1734656988.517585,99,86,236,4
1734656988.5176525,104,109,229,4
1734656988.5177197,102,116,235,4
1734656988.5177896,150,112,220,4
1734656988.5178573,178,124,224,4
1734656988.5179253,188,164,212,4
1734656988.5179927,186,242,265,4
1734656988.5180597,187,291,267,5
1734656988.518127,170,268,261,5
1734656988.5181942,177,264,251,4
1734656988.518262,195,242,272,5
1734656988.5183291,181,242,268,4
1734656988.5183961,170,224,261,4
1734656988.5184634,160,208,252,4
1734656988.5185313,153,190,253,4
1734656988.518598,157,180,257,4
1734656988.5186658,147,170,255,4
1734656988.5187345,141,175,257,4
1734656988.518804,134,182,243,4
1734656988.5188715,139,172,229,4
1734656988.5189388,148,181,220,3
1734656988.519006,153,175,216,4
1734656988.5190732,149,164,203,4
1734656988.519141,142,158,213,4
1734656988.5192082,136,143,201,4
1734656988.5192761,138,155,212,4
1734656988.5193439,141,151,205,4
1734656988.519412,133,136,204,4
1734656988.5194795,124,127,196,3
1734656988.5195494,115,127,185,4
1734656988.5196168,111,117,188,3
1734656988.5196848,106,118,181,3
1734656988.5197518,110,113,169,3
1734656988.5198224,117,106,163,3
1734656988.5198932,124,105,151,3
1734656988.5199609,121,103,140,4
1734656988.5200284,134,101,157,4
1734656988.5200915,126,98,175,4
1734656988.5201552,116,97,164,4
1734656988.5202184,112,89,150,4
1734656988.5202816,117,85,139,4
1734656988.5203445,112,87,142,3
1734656988.520413,104,111,144,3
1734656988.520476,91,102,129,3
1734656988.520535,86,95,118,3
1734656988.5205948,89,87,112,3
1734656988.520653,91,82,126,3
1734656988.5207121,84,92,143,3
1734656988.5207705,85,86,137,3
1734656988.5208323,81,76,124,3
1734656988.5208917,81,70,117,3
1734656988.5209506,78,66,110,3
1734656988.5210097,88,60,112,3
1734656988.5223167,93,63,122,3
1734656988.5322986,85,60,116,3
1734656988.5422544,80,60,113,3
1734656988.5522234,75,57,118,3
1734656988.562302,72,63,120,3
1734656988.5723855,68,67,128,3
1734656988.5823538,69,68,119,3
1734656988.5925083,62,67,116,3
1734656988.6027594,67,66,111,3
1734656988.6128979,81,74,121,3
1734656988.6224637,80,71,114,3
1734656988.6326377,76,66,108,2
1734656988.642429,71,60,101,3
1734656988.6526473,64,55,103,3
1734656988.6626804,69,51,106,3
1734656988.672676,65,52,102,3
1734656988.6826162,59,49,101,3
1734656988.6929114,60,45,96,3
1734656988.702826,73,48,97,3
1734656988.7126534,72,44,94,3
1734656988.72245,69,41,87,3
1734656988.7325947,64,53,91,3
1734656988.7426255,72,51,89,3
1734656988.7527428,71,46,85,3
1734656988.7626245,67,43,92,3
1734656988.7729,60,46,101,3
1734656988.7824538,66,58,97,3
1734656988.7927415,71,58,118,3
1734656988.8026931,69,56,121,3
1734656988.812651,77,52,109,3
1734656988.8223667,80,49,110,3
1734656988.8325577,74,56,105,3
1734656988.8423965,68,50,99,3
1734656988.8524873,66,47,94,3
1734656988.862619,63,50,107,3
1734656988.8728504,62,60,105,3
1734656988.882648,61,64,103,3
1734656988.892448,57,57,96,3
1734656988.9026456,70,53,92,3
1734656988.9126194,72,51,94,3
1734656988.9223893,85,50,91,3
1734656988.9326093,84,48,84,3
1734656988.9425726,77,48,82,3
1734656988.9525778,74,47,86,3
1734656988.962466,74,45,84,3
1734656988.9727037,79,51,91,3
1734656988.982952,77,51,88,3
1734656988.9927435,80,49,88,3
1734656989.002486,74,45,95,3
1734656989.0124621,73,41,90,3
